10000e	10000:a
Atlantide	Atlantis
Atlantique	Atlanten
Atlantique Nord	Nordatlanten
Atlas	Atlas
Attila	Attila
Attique	Attika
Aube	Aube
Aude	Aude
Australasie	Australasien
Australie	Australien
Australie-Occidentale	Western Australia
Australien	Australien
Autriche	Österrike
Autriche-Hongrie	Österrike-Ungern
Autrichien	österrikare
Avent	advent
Aveyron	Aveyron
Avignon	Avignon
Ay	Ay
Azerbaïdjan	Azerbajdzjan
Azerbaïdjanais	azerier
Azerbaïdjanaise	azeriska
Açores	Azorerna
Aÿ	Ay
BDSM	BDSM
BS	brorson
Babylone	Babylon
Babylonien	babylonier
Bachkirie	Basjkirien
Bagdad	Bagdad
Bahamas	Bahamas
Bahaméen	bahaman
Bahreïn	Bahrain
Bakou	Baku
Balance	Vågen
Bali	Bali
Balkans	Balkan
Balthazar Picsou	Joakim von Anka
Bamako	Bamako
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Banjul	Banjul
Bantou	bantu
Barbade	Barbados
Barbadien	barbadier
Barcelone	Barcelona
Bari	Bari
Barthélémy	Bartolomeus
Basse-Bavière	Niederbayern
Basse-Normandie	Basse-Normandie
Basse-Saxe	Niedersachsen
Bastia	Bastia
Bavarois	bayrare
Bavière	Bayern
Beaujolais	Beaujolais
Bebhionn	Bebhionn
Belfast	Belfast
Belge	belgare
Belgique	Belgien
Belgrade	Belgrad
Belém	Belém
Bengale	Bengalen
Benghazi	Benghazi
Benjamin	Benjamin
Benoît	Bengt
Bergame	Bergamo
Bergelmir	Bergelmir
Bergen	Bergen
Berlin	Berlin
Bermudes	Bermuda
Bernard	Bernhard
Berne	Bern
Besançon	Besançon
Bestla	Bestla
Bethléem	Betlehem
Beyrouth	Beirut
Bhoutan	Bhutan
Bianca	Bianca
Biarritz	Biarritz
Bible	bibel
Bichkek	Bisjkek
Big Bang	Big Bang
Bilbao	Bilbao
Birmane	burmesiska
Birmanie	Burma
Birmingham	Birmingham
Biscaye	Biscaya
Biélorusse	vitryss
Biélorussie	Vitryssland
Blanche-Neige	Snövit
Bogota	Bogotá
Bohémien	bömare
Bohême	Böhmen
Bolivie	Bolivia
Bolivien	bolivian
Bologne	Bologna
Bombay	Bombay
Bonaire	Bonaire
Bonifacio	Bonifacio
Bordeaux	Bordeaux
Bordurie	Bordurien
Bornholm	Bornholm
Bornéo	Borneo
Bosnie-Herzégovine	Bosnien och Hercegovina
Bosnien	bosniska
Bosnienne	bosniska
Bosphore	Bosporen
Boston	Boston
Botnie	Botten
Botswana	Botswana
Bouches-du-Rhône	Bouches-du-Rhône
Bouddha	Buddha
Boukhara	Buchara
Bourgas	Burgas
Bourges	Bourges
Bourgogne	Bourgogne
Bouriatie	Burjatien
Bouvier	Björnvaktaren
Brahmâ	Brahma
Brasilia	Brasília
Bratislava	Bratislava
Bretagne	Bretagne
Brigitte	Birgitta
Britannique	britt
Brno	Brno
Bruges	Brygge
Brunei	Brunei
Bruxelles	Bryssel
Brésil	Brasilien
Brésilien	brasilianare
Brême	Bremen
Bucarest	Bukarest
Bucéphale	Bukefalos
Budapest	Budapest
Buenos Aires	Buenos Aires
Bulgare	bulgariska
Bulgarie	Bulgarien
Burkina Faso	Burkina Faso
Burkinabé	burkinier
Burundi	Burundi
Bâle	Basel
Bégonia	Begonior
Bélier	Väduren
Bélinda	Belinda
Bélize	Belize
Bénin	Benin
Béotie	Boiotien
Bételgeuse	Betelgeuse
CECA	EKSG
CEE	EEC
CQFD	VSB
CSIFA	Scifa
CSP	Pesco
Cadix	Cadix
Cadix	Cádiz
Caen	Caen
Cafrerie	Kaffraria
Calabre	Kalabrien
Caliban	Caliban
Californie	Kalifornien
Calisota	Calisota
Callisto	Callisto
Calvados	Calvados
Calypso	Calypso
Cambodge	Kambodja
Cambodgien	kambodjanska
Cambrai	Cambrai
Cambrien	Kambrium
Cameroun	Kamerun
Camerounais	kamerunare
Campanie	Kampanien
Canada	Kanada
Canadien	kanadensare
Canaries	Kanarieöarna
Canberra	Canberra
Cancer	Kräftan
Cannes	Cannes
Canterbury	Canterbury
Cantique des Cantiques	Höga Visan
Cap-Vert	Kap Verde
Capoue	Capua
Capricorne	Stenbocken
Caracas	Caracas
Carbonifère	karbon
Carcassonne	Carcassonne
Cardiff	Cardiff
Caroline	Karolina
Caroline du Nord	North Carolina
Caroline du Sud	Sydkarolina
Carpates	Karpaterna
Carélie	Karelen
Carême	Påskfastan
Casablanca	Casablanca
Catalogne	Katalonien
Catherine	Katarina
Cattégat	Kattegatt
Caucase	Kaukasus
Cayenne	Cayenne
Caïn	Kain
Celtibère	Keltiberer
Cendrillon	Askungen
Ceuta	Ceuta
Chac	Chac
Chandeleur	kyndelsmässa
Charlemagne	Karl den store
Charles	Karl
Charleville-Mézières	Charleville-Mézières
Charlotte	Charlotta
Charon	Charon
Chaudière	Chaudière
Chicago	Chicago
Chili	Chile
Chilien	chilenare
Chine	Kina
Chinois	kines
Christ	Kristus
Christian	Kristian
Christophe	Kristoffer
Chroniques	Andra Krönikeboken
Chronos	Kronos
Chypre	Cypern
Chypriote	cypriot
Cicéron	Cicero
Cingalais	singales
Cisjordanie	Västbanken
Cité de Londres	City of London
Claire	Klara
Claude	Claudius
Clermont-Ferrand	Clermont-Ferrand
Clio	Klio
Clèves	Kleve
Coccinelle	Bubbla
Cologne	Köln
Colombie	Colombia
Colombie-Britannique	British Columbia
Colossiens	Kolosserbrevet
Commission européenne	Europeiska kommissionen
Commode	Commodus
Commonwealth	Samväldet
Communauté européenne du charbon et de l’acier	Europeiska kol- och stålgemenskapen
Communauté économique européenne	Europeiska gemenskapen
Commune	Pariskommunen
Comores	Komorerna
Conakry	Conakry
Confédération suisse	Schweiziska edsförbundet
Congo	Kongo
Congo-Brazzaville	Kongo-Brazzaville
Congo-Kinshasa	Kongo-Kinshasa
Connacht	Connacht
Connemara	Connemara
Conseil de l’Europe	Europarådet
Conseil de l’Union européenne	Europeiska unionens råd
Conseil européen	Europeiska rådet
Constance	Konstanz
Constantin	Konstantin
Constantinople	Konstantinopel
Copenhague	Köpenhamn
Copenhaguois	köpenhamnare
Coran	koranen
Cordoue	Córdoba
Cordélia	Cordelia
Coreper	Coreper
Corfou	Korfu
Corinthe	Korinth
Corne de l’Afrique	Afrikas horn
Corneille	Cornelius
Cornouailles	Cornwall
Corse	Korsika
Corée	Korea
Corée du Nord	Nordkorea
Corée du Sud	Sydkorea
Coréen	korean
Coréenne	koreanska
Cosaque	kosack
Costa Rica	Costa Rica
Courlande	Kurland
Cracovie	Kraków
Cressida	Cressida
Crimée	Krim
Criméen	Krimbo
Croate	kroat
Croatie	Kroatien
Croix-Rouge	Röda Korset
Crète	Kreta
Crémone	Cremona
Crésus	Krösus
Crétacé	Krita
Crétois	kretensare
Cthulhu	Cthulhu
Cuba	Kuba
Cubaine	kubanska
Cujavie	Kujavien
Cupidon	Cupid
Cyclades	Kykladerna
Cénozoïque	Kenozoikum
Céphalonie	Kefalinia
Cérès	Ceres
Cérès	Ceres
Côte d’Azur	Franska rivieran
Côte d’Ivoire	Elfenbenskusten
DDT	DDT
DJ	disc-jockey
Dakar	Dakar
Dalmatie	Dalmatien
Dalécarlie	Dalarna
Damas	Damaskus
Danemark	Danmark
Danemark du Sud	Syddanmark
Daniel	Daniel
Danois	dansk
Danube	Donau
Daphnis	Daphnis
Dardanelles	Dardanellerna
Darfour	Darfur
David	David
Delhi	Delhi
Denys	Dennis
Desdémone	Desdemona
Despina	Despina
Deutéronome	Femte Moseboken
Diane	Diana
Dieppe	Dieppe
Dieu	Gud
Dieu le Père	Gud Fader
Dingo	Långben
Dioné	Dione
Diourbel	Diourbel
Djibouti	Djibouti
Dniepr	Dnepr
Dnipro	Dnipro
Dodoma	Dodoma
Dodécanèse	Dodekanisos
Doha	Doha
Dominicaine	dominikanska
Dominique	Dominica
Don	Don
Don	Don
Donald Duck	Kalle Anka
Donaldville	Ankeborg
Dorothée	Dorotea
Douai	Douai
Doubs	Doubs
Douchanbé	Dusjanbe
Douvres	Dover
Dresde	Dresden
Dubaï	Dubai
Dublin	Dublin
Déimos	Deimos
Démosthène	Demosthenes
Dévonien	Devon
EPI	skyddsutrustning
Ecclésiaste	Predikaren
Edwin	Edvin
Elbe	Elbe
Elseneur	Helsingör
Empire centrafricain	Centralafrikanska kejsardömet
Empire ottoman	Osmanska riket
Empédocle	Empedokles
Encelade	Enceladus
Endymion	Endymion
Erevan	Jerevan
Erica	Erika
Erquinvillers	Erquinvillers
Erriapo	Erriapo
Erriapus	Erriapo
Eschyle	Aischylos
Esdras	Esra
Espagne	Spanien
Espagnol	spanjor
Esquimau	eskimå
Est-Allemand	östtysk
Este	est
Esther	Ester
Estonie	Estland
Estonien	est
Ethernet	Ethernet
Euphrate	Eufrat
Eurasie	Eurasien
Euripide	Euripides
Europe	Europa
Europe centrale	Centraleuropa
Europe du Nord	Nordeuropa
Europe du Sud	Sydeuropa
Européen	europé
Exode	Andra Moseboken
Extrême-Orient	Fjärran östern
FM	UKV
FZ	faster
Fabrice	Fabricius
Farbauti	Farbauti
Februa	Februus
Fenrir	Fenrir
Ferdinand	Ferdinand
Fidji	Fiji
Fils de l’homme	människosonen
Finlandais	finländare
Finlande	Finland
Finlande propre	Egentliga Finland
Finnmark	Finnmark
Finnois	finländare
Fionie	Fyn
Flamand	flamländare
Flandre	Flandern
Flessingue	Vlissingen
Florence	Florens
Floride	Florida
Force	Kraften
Fornjot	Fornjot
Forêt-Noire	Schwarzwald
Foudjaïrah	Fujairah
Foulques	Folke
France	Frankrike
Franche-Comté	Franche-Comté
Francisco	Francisco
Français	fransman
Française	fransyska
François	Frans
Françoise	Franciska
Frioul	Friuli
Frédéric	Fredrik
Fès	Fez
Fédération de Russie	Ryska federationen
Félix	Felix
Féroïen	färing
Gabon	Gabon
Gaborone	Gaborone
Galatée	Galatea
Galice	Galicien
Galicie	Galizien
Galicien	galicier
Galicienne	galiciska
Galilée	Galileen
Gallois	walesare
Gambie	Gambia
Gand	Gent
Ganymède	Ganymedes
Gargamel	Gargamel
Garonne	Garonne
Gaïa	Gaia
Genèse	Första Moseboken
Genève	Genève
Georges	Göran
Gertrude	Gertrud
Ghana	Ghana
Gibraltar	Gibraltar
Gilles	Egidius
Glasgow	Glasgow
Gondwana	Gondwana
Gonthier	Gunnar
Gotland	Gotland
Grand Londres	Storlondon
Grand-Duché de Luxembourg	Storhertigdömet Luxemburg
Grande Baie australienne	Stora Australbukten
Grande Colombie	Storcolombia
Grande Ourse	Karlavagen
Grande-Bretagne	Storbritannien
Grande-Pologne	Storpolen
Grands Lacs	Stora sjöarna
Granny Smith	Granny Smith
Grec	grek
Grecque	grekinna
Grenade	Granada
Grenoble	Grenoble
Groenland	Grönland
Groenlandais	grönländare
Groenlandaise	grönländska
Groupe local	Lokala galaxhopen
Grèce	Grekland
Grégoire	Greger
Guadalajara	Guadalajara
Guadeloupe	Guadeloupe
Guadeloupéen	guadeloupier
Guam	Guam
Guatemala	Guatemala City
Guatémaltèque	guatemalan
Guernesey	Guernsey
Guillaume	Villem
Guillaumette	Vilhelmina
Guinée	Guinea
Guinée équatoriale	Ekvatorialguinea
Guinée-Bissau	Guinea-Bissau
Gujarati	Gujarati
Gustave	Gustav
Guy	Guido
Guyana	Guyana
Guyane	Franska Guyana
Gwynedd	Gwynedd
Gémeaux	Tvillingarna
Géorgie	Georgien
Géorgie du Sud-et-les îles Sandwich du Sud	Sydgeorgien och Sydsandwichöarna
Géorgien	georgier
Gérone	Girona
Gênes	Genua
Göteborg	Göteborg
Habacuc	Habackuk
Hadès	Hades
Halimède	Halimede
Hambourg	Hamburg
Hambourgeois	hamburgare
Han	Han
Hanko	Hangö
Hanoukka	chanukka
Hanovre	Hannover
Hanse	Hansan
Hati	Hati
Haut-Palatinat	Oberpfalz
Haute-Bavière	Oberbayern
Haute-Volta	Övre Volta
Haute-Égypte	Övre Egypten
Hautes-Alpes	Hautes-Alpes
Hawaï	Hawaii
Haïti	Haiti
Haïtien	haitier
Hel	Hel
Helsinki	Helsingfors
Henri	Henrik
Hesse	Hessen
Himalia	Himalia
Hollande	Holland
Holyoke	Holyoke
Homère	Homeros
Honduras	Honduras
Hong Kong	Hongkong
Hongrie	Ungern
Hongrois	ungrare
Hydra	Hydra
Hygie	Hygieia
Hypérion	Hyperion
Hyrrokkin	Hyrokkin
Hébrides	Hebriderna
Hégire	Hijra
Hélène	Helena
Hélène	Helene
Hérodote	Herodotos
Hésiode	Hesiodos
Iakoutsk	Jakutsk
Ibiza	Ibiza
Icare	Ikaros
Iekaterinbourg	Jekaterinburg
Ienisseï	Jenisej
Ijiraq	Ijiraq
Ile de Beauté	Korsika
Iliade	Iliaden
Ille-et-Vilaine	Ille-et-Vilaine
Immaculée Conception	Immaculata conceptio
Inde	Indien
Indien	indier
Indochine	Indokina
Indonésie	Indonesien
Indus	Indus
Ingrid	Ingrid
Ingrie	Ingermanland
Internationale	Internationalen
Io	Io
Iran	Iran
Iranien	iranier
Iranienne	iranska
Iraq	Irak
Irkoutsk	Irkutsk
Irlandais	irländare
Irlandaise	irländska
Irlande	Irland
Irlande du Nord	Nordirland
Irène	Irene
Isaïe	Jesaja
Isis	Isis
Islamabad	Islamabad
Islandaise	isländska
Islande	Island
Israélien	israel
Israël	Israel
Istanbul	Istanbul
Italie	Italien
Italien	italienare
Italienne	italienska
Ixion	Ixion
Jacques	Jakob
Jakarta	Jakarta
Jamaïque	Jamaica
Jan Mayen	Jan Mayen
Janus	Janus
Japet	Iapetus
Japon	Japan
Japonais	japan
Jean	Johan
Jeanne	Johanna
Jersey	Jersey
Jessica	Jessica
Jeux olympiques	Olympiska spelen
Jeux paralympiques	Paralympiska spelen
Joachim	Joakim
Job	Job
Jonas	Jonas
Jonas	Jonas
Jordanie	Jordanien
Joseph	Josef
Josué	Josua
Josué	Josua
Joël	Joel
Juda	Juda
Judas	Judas
Judée	Judeen
Juges	Domarboken
Juif	jude
Juive	judinna
Juliette	Juliet
Jupiter	Jupiter
Jupiter	Jupiter
Jurassique	Jura
Jutland	Jylland
Jutland central	Mittjylland
Jutland du Nord	Nordjylland
Jéricho	Jeriko
Jérusalem	Jerusalem
Jérémie	Jeremia
Jésus	Jesus
Jésus-Christ	Jesus Kristus
Jéthou	Jethou
Kaboul	Kabul
Kabylie	Kabylien
Kalmoukie	Kalmuckien
Kamtchatka	Kamtjatka
Karachi	Karachi
Kari	Kari
Kaunas	Kaunas
Kazakhstan	Kazakstan
Kazan	Kazan
Kenya	Kenya
Khartoum	Khartoum
Kiel	Kiel
Kiev	Kiev
Kirghizistan	Kirgizistan
Kiribati	Kiribati
Kiviuq	Kiviuq
Klaipėda	Klaipėda
Klingon	klingon
Komodo	Komodo
Kosovo	Kosovo
Koweït	Kuwait
Koweïtienne	kuwaitiska
Košice	Košice
Kraken	Kraken
Kremlin	Kreml
Krk	Krk
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kurde	kurd
Kurdistan	Kurdistan
Kyoto	Kyoto
La Havane	Havanna
La Haye	Haag
La Mecque	Mekka
La Nouvelle-Orléans	New Orleans
La Rochelle	La Rochelle
La Valette	Valletta
Lahore	Lahore
Lamentations	Klagovisorna
Landskrona	Landskrona
Laocoon	Laokoon
Laomédie	Laomedeia
Laos	Laos
Laponie	Lappland
Larissa	Larissa
Lattaquié	Latakia
Laurasie	Laurasien
Laurent	Lars
Lausanne	Lausanne
Le Caire	Kairo
Le Cap	Kapstaden
Le Havre	Le Havre
Le Mans	Le Mans
Leeds	Leeds
Leinster	Leinster
Leipzig	Leipzig
Lesotho	Lesotho
Letton	lette
Lettonie	Lettland
Lev	Lev
Lhassa	Lhasa
Liban	Libanon
Libourne	Libourne
Libye	Libyen
Libyen	libyer
Libéria	Liberia
Liechtenstein	Liechtenstein
Ligurie	Ligurien
Lilith	Lilit
Lille	Lille
Lima	Lima
Limerick	Limerick
Lion	Lejonet
Lisbonne	Lissabon
Liselotte	Lise-Lott
Lituanie	Litauen
Lituanien	litauer
Liverpool	Liverpool
Livonie	Livland
Liège	Liège
Ljubljana	Ljubljana
Loge	Loge
Loire	Loire
Loki	Loke
Lolland	Lolland
Lombardie	Lombardiet
Lomé	Lomé
Londonien	Londonbo
Londres	London
Lorelei	Lorelei
Lorient	Lorient
Lorraine	Lorraine
Los Angeles	Los Angeles
Louis	Ludvig
Louisiane	Louisiana
Lourdes	Lourdes
Louxor	Luxor
Luc	Lukas
Lucas	Lukas
Lucerne	Luzern
Lucie	Lucia
Lucky Luke	Lucky Luke
Lund	Lund
Lune	månen
Lusace	Lausitz
Luxembourg	Luxemburg
Luxembourgeois	luxemburgare
Luxembourgeoise	luxemburgska
Lyon	Lyon
Lysithéa	Lysithea
Léda	Leda
Légion étrangère	främlingslegion
Léna	Lena
Lénine	Lenin
Léningrad	Leningrad
Léon	Leo
Léonard	Lennart
Lésotho	Lesotho
Léthé	Lethe
Lévantine	Leventina
Lévitique	Tredje Moseboken
Lübeck	Lybeck
L’Aquila	L’Aquila
MZ	moster
Mab	Mab
Macao	Macao
Macchabée	mackabé
Machine pneumatique	Luftpumpen
Machrek	Mashriq
Macédoine	Makedonien
Macédoine du Nord	Nordmakedonien
Macédonienne	makedonska
Madagascar	Madagaskar
Mademoiselle	fröken
Madrid	Madrid
Maghreb	Maghreb
Main	Main
Maison Blanche	Vita huset
Majorque	Mallorca
Malachie	Malaki
Malaisie	Malaysia
Malawi	Malawi
Maldives	Maldiverna
Malgache	madagask
Mali	Mali
Malmö	Malmö
Maltais	maltes
Malte	Malta
Manche	Manche
Manchester	Manchester
Mandchourie	Manchuriet
Manille	Manila
Manitoba	Manitoba
Mantoue	Mantua
Marathon	Marathon
Marc	Markus
Marches	Marche
Marguerite	Margareta
Marguerite	Margaret
Maria	Maria
Marie	Maria
Maroc	Marocko
Marocain	marockan
Marrakech	Marrakech
Mars	Mars
Marseille	Marseille
Marsupilami	Marsupilami
Martien	marsian
Martin	Martin
Martinique	Martinique
Mascareignes	Maskarenerna
Matthieu	Mattias
Mauritanie	Mauretanien
Mauritanien	mauretanier
Maximilien	Maximilian
Mayence	Mainz
Mayotte	Mayotte
Mazovie	Masovien
Mazurie	Masurien
Melbourne	Melbourne
Melchisédech	Melkisedek
Melilla	Melilla
Menton	Menton
Mercure	Merkurius
Mercure	Merkurius
Messine	Messina
Metz	Metz
Meuse	Maas
Mexique	Mexiko
Miami	Miami
Michaël	Mikael
Michel	Mikael
Michée	Mika
Mickey Mouse	Musse Pigg
Micronésie	Mikronesien
Milan	Milano
Milos	Milos
Mimas	Mimas
Mingan	Mingan
Minorque	Menorca
Minsk	Minsk
Miranda	Miranda
Misrata	Misratah
Mlle	Frk.
Modène	Modena
Mogadiscio	Mogadishu
Moires	Moirerna
Moldave	moldavier
Moldavie	Moldavien
Monaco	Monaco
Mongol	mongol
Mongolie	Mongoliet
Mongolie intérieure	Inre Mongoliet
Monique	Monika
Monopoly	monopol
Monsieur	herr
Montevideo	Montevideo
Montréal	Montréal
Montserrat	Montserrat
Monténégrin	montenegrin
Monténégro	Montenegro
Monégasque	monegask
Moravie	Mähren
Morbihan	Morbihan
Mort	död
Moscou	Moskva
Mourmansk	Murmansk
Mouscron	Mouscron
Moyen Âge	medeltid
Moyen-Orient	Mellanöstern
Mozambique	Moçambique
Moïse	Mose
Mulhouse	Mulhouse
Mumbai	Mumbai
Mundilfari	Mundilfari
Munich	‌Munich
Muse	Musa
Myanmar	Myanmar
Médie	Medien
Méditerranée	Medelhavet
Mékong	Mekong
Mélissa	Melissa
Méphistophélès	Mefistofeles
Mésoamérique	Mesoamerika
Mésopotamie	Mesopotamien
Mésozoïque	Mesozoikum
Méthone	Methone
Métis	Metis
Nahum	Nahum
Nairobi	Nairobi
Namibie	Namibia
Namibien	namibier
Nancy	Nancy
Nankin	Nanjing
Nantes	Nantes
Naples	Neapel
Narcisse	Narkissos
Narva	Narva
Narvi	Narvi
Nathalie	Natalia
Nauru	Nauru
Navarre	Navarra
Naïade	Naiad
Ndjamena	N’Djamena
Nefertoum	Nefertum
Nemrod	Nimrod
Neptune	Neptunus
New Delhi	New Delhi
New York	New York
Niamey	Niamey
Nicaragua	Nicaragua
Nice	Nice
Nicolas	Nikolaus
Niger	Niger
Nigeria	Nigeria
Nijni-Taguil	Nizjnij Tagil
Nil	Nilen
Nil Blanc	Vita Nilen
Nil Bleu	Blå Nilen
Nioué	Niue
Nix	Nix
Nombres	Fjärde Moseboken
Normand	Nordbo
Normandie	Normandie
Norvège	Norge
Norvégien	norrman
Notre Père	Herrens bön
Nouakchott	Nouakchott
Nouméa	Nouméa
Nouveau Testament	Nya Testamentet
Nouveau-Brunswick	New Brunswick
Nouveau-Mexique	New Mexico
Nouvelle-Angleterre	New England
Nouvelle-Calédonie	Nya Kaledonien
Nouvelle-Espagne	Nya Spanien
Nouvelle-France	Nya Frankrike
Nouvelle-Galles du Sud	New South Wales
Nouvelle-Guinée	Nya Guinea
Nouvelle-Zemble	Novaja Zemlja
Nouvelle-Zélande	Nya Zeeland
Nouvelle-Écosse	Nova Scotia
Novossibirsk	Novosibirsk
Noé	Noah
Noël	jul
Nunavut	Nunavut
Néandertalien	neandertalare
Néerlandais	holländare
Néfertiti	Nefertiti
Néhémie	Nehemja
Néo-Zélandais	nyzeeländare
Néo-Zélandaise	nyzeeländska
Néogène	Neogen
Néoprotérozoïque	Neoproterozoikum
Népal	Nepal
Népalais	nepales
Néron	Nero
Néréide	Nereid
Néso	Neso
Nîmes	Nîmes
ONU	FN
OTAN	NATO
Ob	Ob
Obéron	Oberon
Océanie	Oceanien
Odanak	Odanak
Odessa	Odessa
Odile	Ottilia
Odin	Oden
Odyssée	Odysséen
Ogmios	Ogmios
Oise	Oise
Olivier	Oliver
Olmèque	Olmeker
Olympus Mons	Olympus Mons
Oman	Oman
Ombrie	Umbrien
Omsk	Omsk
Ophélie	Ophelia
Opéra	opera
Orcades	Orkneyöarna
Ordovicien	Ordovicium
Organisation des Nations Unies	Förenta nationerna
Organisation du traité de l’Atlantique Nord	Nordatlantiska fördragsorganisationen
Organisation mondiale de la santé	Världshälsoorganisationen
Orion	Orion
Orléans	Orléans
Oscar	Oscar
Osiris	Osiris
Oslo	Oslo
Ossétie du Sud	Sydossetien
Ostrogoths	Ostrogoter
Osée	Hosea
Ottawa	Ottawa
Ouagadougou	Ouagadougou
Oudmourtie	Udmurtien
Ouest-Allemand	västtysk
Oufa	Ufa
Ouganda	Uganda
Ougandais	ugandier
Oui-Oui	Nicke
Oulan-Bator	Ulaanbaatar
Oural	Uralbergen
Ouzbek	uzbek
Ouzbékistan	Uzbekistan
Oxford	Oxford
PCI	Peripheral Component Interconnect
PSDC	GSFP
Paaliaq	Paaliaq
Padoue	Padua
Pakistan	Pakistan
Palaois	palauer
Palaos	Palau
Palerme	Palermo
Palestine	Palestina
Palestinien	palestinier
Palestinienne	palestinska
Pallène	Pallene
Palmyre	Palmyra
Paléogène	paleogen
Paléozoïque	paleozoikum
Pan	Pan
Panama	Panama City
Pandore	Pandora
Pangée	Pangea
Pannonie	Pannonien
Papeete	Papeete
Papouasie-Nouvelle-Guinée	Papua Nya Guinea
Paraguay	Paraguayfloden
Parallel ATA	Parallell ATA
Paris	Paris
Paris ne s’est pas fait en un jour	Rom byggdes inte på en dag
Parisien	parisare
Parisienne	parisiska
Parlement européen	Europaparlamentet
Parme	Parma
Parques	Parcer
Pasiphaé	Pasiphae
