Afrika	Africa
artig	courteous
artighet	politeness
artikel	article
artilleri	artillery
artist	artist
arton	eighteen
artonde	eighteenth
artär	artery
arv	inheritance
arvinge	heir
arvode	salary
as	cadaver
asiat	Asian
asiatisk	Asian
ask	ash
aska	ash
asketisk	ascetic
askkopp	ashtray
asp	aspen
assurans	insurance
aster	aster
astronomi	astronomy
ateism	atheism
ateist	atheist
ateljé	atelier
atlas	atlas
atmosfär	atmosphere
atom	atom
atombomb	atom bomb
atomkraft	atomic energy
attack	access
attest	certificate
attestera	attest
attraktion	attraction
auditorium	auditory
augusti	August
auktion	auction
auktor	author
australier	Australian
australisk	Australian
autentisk	authentic
automat	automoton
automatisk	automatic
av	from
avbetala	pay off
avbetalning	acquittal
avbryta	interrupt
avgiftsfri	free
avgrund	abyss
avgränsa	abridge
avgud	idol
avhämta	fetch
avhängig	dependent
avi	ad
avla	cultivate
avleverera	deliver
avlida	die
avliden	dead
avliva	kill
avlopp	sewer
avlöning	salary
avrätta	kill
avsked	farewell
avskicka	dismiss
avskrift	copy
avsky	abhor
avstånd	distance
avtagsväg	by‐way
avträde	toilet
avund	envy
avundas	envy
avundsam	envious
avväg	by‐way
avyttra	dispose of
av adel	of noble birth
av misstag	by mistake
av siden	silk
av trä	wooden
axel	axis
babian	baboon
babord	port side
baby	baby
backe	hill
bad	bath
baddräkt	bathing suit
badhytt	bathing box
badkar	bath
badort	spa
badstuga	sauna
bagage	baggage
bagagevagn	luggage‐van
bagarbod	baker's shop
bagare	baker
bageri	bakery
bagge	ram
bajersk	Bavarian
bajonett	bayonet
bajrare	Bavarian
bak	back
baka	bake
bakdanta	slander
bakefter	behind
baklykta	rear‐lamp
baktala	slander
bakterie	bacterium
baktill	behind
bakåt	backward
bal	ball
balans	equilibrium
balett	ballet
balk	beam
balkong	balcony
ballast	ballast
ballong	balloon
balsam	balm
baltisk	Baltic
balustrad	balustrade
bambu	bamboo
bana	path
banal	commonplace
banan	banana
band	band
bandage	bandage
bandit	bandit
baneman	murderer
bank	bank
banka	beat
bankett	banquet
bankir	bank clerk
bankrutt	bankruptcy
bar	bare
bara	exclusively
barack	barrack
barbar	barbarian
bark	bark
barlast	ballast
barnbarn	grandchild
barnlös	childless
barnmorska	midwife
barnsängskvinna	lying‐in woman
barometer	barometer
baron	baron
baronessa	baroness
barrträd	conifer
basera	base
bassäng	basin
bast	bast
bastu	sauna
batalj	action
bataljon	battalion
batteri	accumulator
beakta	advert
bebåda	advertise
bebådelsedag	Annunciation
becksvart	pitch black
bedja	ask
bedra	cheat
bedraga	cheat
bedragare	cheat
bedrägeri	swindle
bedräglig	deceitful
bedröva	afflict
bedrövelse	grief
bedöma	judge
befalla	command
befallning	command
befinna sig	be found
befolkning	population
befordra	advance
befordran	advancement
befria	release
befrämja	favor
befäl	command
befälhavare	commander
befängd	foolish
befästa	attach
begagna	employ
begagnande	use
begrava	bury
begravning	burial
begrepp	notion
begripa	understand
begriplig	understandable
begrunda	think
begränsa	abridge
begynna	begin
begynnelse	beginning
begär	avidity
begära	covet
begäran	avidity
begärlig	acquisitive
begåvning	aptitude
behag	pleasure
behaga	please
behagfull	charming
behaglig	agreeable
behandla	deal with
behandling	treatment
behjälplig	accommodating
behjärtad	brave
behov	need
behärska sig	control oneself
behöva	need
behövande	miserable
behövlig	necessary
behå	bra
behåll	safety
behålla	conserve
behållare	tank
bejaka	affirm
bekant	well‐known
bekantgörande	advice
beklaglig	regrettable
beklädnad	clothes
bekomma	get
bekosta	bear the cost of
bekväm	comfortable
bekänna	acknowledge
bekännelse	acknowledgement
belgier	Belgian
belgisk	Belgian
belopp	amount
belysa	illuminate
belysning	lighting
belägra	besiege
belägring	siege
belöna	compensate
belöning	compensation
belåten	contented
bemärkelsedag	meaning
bemödande	attempt
ben	leg
benkläder	pants
benrangel	skeleton
bensin	gasolene
bensinstation	filling station
benämna	call
benåda	forgive
benådning	absolution
bepröva	examine
bereda	prepare
beredelse	preparation
berg	mountain chain
bergklyfta	ravine
bergskred	avalanche
berlinsk	Berlin
beroende	dependent
berudsad	drunk
beryktad	famous
beräkna	calculate
beräkning	calculation
berätta	narrate
berättelse	account
beröm	praise
berömd	famous
berömlig	commendable
berömma	commend
beröra	touch
beröring	touch
besegra	defeat
besegrare	victor
besiktiga	inspect
besiktningsman	inspector
besinna	think
besittning	property
besk	acerbic
besked	answer
beskriva	describe
beskrivning	account
beskydd	protection
beskydda	protect
beskyddare	patron
beskylla	accuse
beskyllning	accusal
beskärm	protection
besluta	decide
besläktad	affined
best	animal
bestjäla	rob
bestraffa	punish
besvikelse	disappointment
besättning	crew
besök	visit
besökande	caller
betala	pay
betalning	payment
betalningsbevis	receipt
beteckna	imply
beteende	behavior
bete sig	behave
betjäningsavgift	tip
betjänt	boy
betong	concrete
betrakta	account
betrygga	affirm
beträffa	concern
bett	teeth
betyda	imply
betydelse	meaning
betyga	attest
betäcka	cover
betänka	think
beundra	admire
beundran	admiration
beundrare	admirer
bevis	proof
bevisa	prove
bevista	attend
beväpna	arm
be om ursäkt	ask forgiveness
bi	bee
bibel	bible
bibliotek	library
bibliotekarie	librarian
bifall	acclaim
biff	steak
biffstek	steak
bifoga	add
bikt	confession
bikta	confess
bikupa	beehive
bil	car
bila	axe
bild	image
bilda	form
bildhuggare	sculptor
bildstod	statue
bilist	motorist
biljard	billiards
biljett	bill
billig	cheap
billyftare	jack
binamn	byname
binda	bind
biodlare	apiarist
biograf	cinema
biskop	bishop
bistånd	aid
bit	bit
bita	bite
biträda	accomodate
biträde	aid
bitter	acerbic
bittida	early
bjuda	invite
bjudning	invitation
bjälke	beam
björk	birch
björn	bear
björnbär	blackberry
björnhona	she‐bear
björninna	she‐bear
blad	leaf
blanda	blend
bli	become
blid	advantageous
blind	blind
bliva	become
blixt	lightning
blixtlås	zipper
blixttåg	fast train
bli förälskad i	fall in love with
bli kär i	fall in love with
block	block
blockad	blockade
blockera	block
blod	blood
blodbrist	anaemia
blodigel	leech
blodsfrånde	relative
blodsförvant	relative
blomkål	cauliflower
blomma	bloom
blomster	bloom
blond	blond
bloss	torch
blott	exclusively
blus	blouse
bly	lead
blyertspenna	pencil
blyg	abashed
blygas	be ashamed
blyghet	bashfulness
blygsam	modest
blygsel	shame
bläck	ink
bläckhorn	well
bläddra	bladder
blända	dazzle
blöda	bleed
blå	blue
blåbär	blueberry
blåklint	cornflower
blåsa	blow
bo	dwell
bobba	cockroach
bock	he‐goat
boddisk	counter
bohag	furniture
bok	beech
bokförare	book‐keeper
bokhandlare	bookseller
bokhållare	book‐keeper
bokskåp	bookcase
bokslut	balance sheet
bokstav	letter
boll	ball
bom	barrier
bomb	bomb
bomull	cotton
bonde	farmer
bondgård	estate
boning	abode
bord	table
bordduk	table‐cloth
bordell	brothel
borg	castle
borgmästare	mayor
borr	bore
borra	bore
borsta	brush
borste	brush
bostad	abode
botanik	botany
botten	bottom
bottenvåning	ground‐floor
boxa	box
bo ihop	cohabit
bra	good
brasiliansk	Brazilian
braxen	bream
bredd	width
bredvid	beside
brev	letter
brevbärare	postman
brevkort	postcard
brevlåda	letterbox
brigad	brigade
brinna	burn
bris	breeze
brist	absence
britt	Briton
brittisk	British
bro	bridge
broder	brother
broms	brake
bromsa	brake
brons	bronze
bror	brother
brorsdotter	niece
brorson	nephew
brorsson	nephew
brosch	brooch
broschyr	leaflet
brottslig	criminal
brottsling	criminal
brud	bride
brudgum	bridegroom
bruk	use
bruka	employ
bruklig	accustomed
brun	brown
brunn	spa
brydd	abashed
bryderi	bashfulness
brysselkål	Brussels‐sprouts
bryta	break
brytbar	breakable
bräcklig	breakable
bräde	board
brännmaterial	fuel
brännvin	brandy
brännässla	nettle
bränsle	fuel
bröd	bread
bröllop	wedding
bröst	bosom
bråk	ado
buffel	buffalo
buk	abdomen
bulevard	boulevard
buljong	bouillon
bulle	roll
buller	ado
bulletin	bulletin
bullra	make a noise
bur	cage
buske	bush
buss	friend
butelj	bottle
butik	boutique
butiksinnehavare	shopkeeper
by	village
bygdemål	dialect
bygga	build
byggmästare	architect
byggnad	building
byggnadstomt	building‐plot
byrå	office
bytta	bucket
byx	pants
byxa	pants
byxor	pants
bäck	stream
bädd	bed
bägare	goblet
bägge	both
bälte	belt
bänk	bench
bär	berry
bära	carry
bärare	porter
bäst	best
bättra	improve
bättre	better
bäva	quiver
bäver	beaver
bödel	hangman
bölja	undulate
bön	request
böna	bean
böra	have to
börd	birth
börja	begin
början	beginning
börs	stock exchange
böter	fine
båda	both
båge	arc
båt	boat
båtledes	by ship
ceder	cedar
cedere	cede
cell	cell
cement	cement
censur	censor
censurera	censor
center	centre
centimeter	centimetre
central	central
ceremoni	ceremony
ceremoniell	formal
cession	bankruptcy
champagne	champagne
champignon	mushroom
chaufför	chauffeur
check	check
checkbok	cheque‐book
chef	boss
choklad	chocolate
cigarr	cigar
cigarrett	cigarette
cirka	about
cirkel	circle
cirkus	circus
citat	citation
citera	cite
citron	lemon
civilstånd	civil status
cykel	bike
cyklon	cyclone
cylinder	cylinder
cynisk	cynical
cypress	cypres
dadel	date
dadelpalm	date palm
dag	day
dagblad	daily paper
dagg	dew
dagning	dawn
dagsböter	fine
dal	valley
dala	ascend
dallra	quiver
dam	lady
damm	dike
dammsugare	vacuum cleaner
dana	form
dans	dance
dansa	dance
dansk	Danish
dansös	dancer
darra	quiver
datamaskin	computer
datera	date
dator	computer
datum	date
december	December
deg	dough
dekan	blanket
deklamera	declaim
dekret	decree
del	part
dela	divide
delta	delta
dentist	dentist
departementschef	minister
deponera	deposit
deprimerad	depressed
desinficera	disinfect
desperat	desperate
despotisk	despotic
desslikes	still
destillera	distil
detalj	detail
detektiv	detective
det var synd	alas
devis	motto
dialekt	dialect
diamant	diamond
diarium	diary
diarré	diarrhoea
diet	diet
diger	bold
dikt	poem
diktare	poet
diktera	dictate
dimma	fog
dimmig	fuzzy
diplom	diploma
direktion	direction
direktör	director
disciplin	discipline
disig	fuzzy
diskont	discount
diskret	discrete
diskutera	discuss
distans	distance
distrikt	district
dit	that way
djup	deep
djuphet	depth
djuplek	depth
djur	animal
djurisk	animal
djävul	devil
docka	doll
doft	odor
dofta	give off an odour
dogm	dogma
dok	veil
doktor	doctor
dokument	document
dold	hidden
dolk	dagger
dolsk	false
dom	judgment
domare	judge
dop	baptism
dosa	box
dotter	daughter
dotterdotter	granddaughter
dotterson	grandson
dra	drag
drabba	beat
draga	drag
drake	dragon
dram	drama
drama	drama
dregel	saliva
dregla	salivate
dricks	tip
drickspengar	tip
drink	cocktail
drinkare	boozer
driva	chase
dromedar	dromedary
droppa	drip
droppe	drip
droskbil	taxi
drottning	queen
drucken	drunk
drukna	drown
druva	grape
dryck	beverage
dryckenskap	drunkenness
dräktig	pregnant
dräng	boy
dränka	drown
dräpa	kill
dröm	dream
drömma	dream
dråp	murder
dråpare	murderer
dubbel	double
dubblera	double
duk	table‐cloth
dum	addled
dumbom	fool
dumhuvud	fool
dunkelhet	darkness
dunst	steam
dunstkrets	atmosphere
duo	pair
dusch	shower
duscha	shower
dussin	dozen
duva	dove
dvärg	dwarf
dy	mud
dyka	dive
dyna	cushion
dynamit	dynamite
dynga	fertilizer
dyr	dear
dyrbar	dear
däld	valley
dö	die
död	dead
dödlig	deadly
döma	judge
döpa	baptize
döpelse	baptism
dörr	door
dörvakt	porter
dörvaktare	porter
döv	deaf
dövstum	deaf and dumb
dåd	accomplishment
dålig	bad
dån	ado
dåraktig	crazy
dåre	lunatic
ebb	low tide
ed	oath
effekt	effect
efter	from
efterbilda	imitate
eftermiddag	afternoon
efternamn	surname
efterrätt	dessert
egendom	possession
egendomlig	odd
egenskap	property
ehuru	though
ehuruväl	though
ej	not
ek	oak
eko	echo
ekollon	acorn
ekonomi	economy
ekorre	squirrel
ekvator	equator
elastisk	elastic
eld	fire
elefant	elephant
elektricitet	electricity
elektrisk	electric
element	element
elementär	elemental
elfenben	ivory
elfte	eleventh
elva	eleven
emblem	emblem
emellan	among
emellanåt	several times
emma	armchair
emot	across from
en	one
ena	join
encyklopedi	encyclopaedia
endast	exclusively
energi	energy
engagera	employ
engelsk	English
engelsman	Englishman
enhet	unity
enplansvilla	bungalow
ensam	alone
ensamstående	living alone
entonig	monotonous
entré	access
entusiasm	alacrity
episod	episode
epok	age
era	era
erkänna	acknowledge
erlägga	pay
ernå	accomplish
erövra	conquer
eskimå	Eskimo
eskort	escort
etisk	ethical
ett	one
ettrig	poisonous
ett hundra	hundred
ett tusen	thousand
eunuck	eunuch
europeisk	European
europé	European
examen	investigation
exempel	example
exemplar	copy
existens	existence
explikation	account
explodera	explode
exponera	exhibit
exposition	exhibition
extas	ecstasy
extra	additional
fabrik	factory
fack	branch
fackla	torch
fader	father
faderlös	fatherless
faktisk	actual
faktum	fact
faktura	account
fakultet	faculty
falk	falcon
falla	drop
fallissemang	bankruptcy
fallskärm	parachute
falsk	false
familj	family
famna	embrace
fan	devil
fanatisk	fanatical
fantasi	fantasy
far	father
fara	danger
farbroder	uncle
farbror	uncle
farfader	grandfather
farfar	grandfather
farföräldrar	grandparents
farlig	dangerous
farmor	grandmother
fars	gag
fart	speed
fartyg	ship
fasad	façade
fasan	pheasant
faster	aunt
fastland	continent
fastän	though
fat	barrel
fatta	get
fattig	miserable
fattigdom	poverty
fattlig	understandable
feber	ague
februar	February
fel	aberration
fela	err
fem	five
femte	fifth
femti	fifty
femtio	fifty
femton	fifteen
femtonde	fifteenth
fena	fin
fenomen	phenomenon
ferier	vacation
fernissa	varnish
fest	celebration
festa	celebrate
fet	bold
fett	fat
fiber	fiber
ficka	pocket
fickkniv	pen‐knife
fiende	adversary
fiendskap	enmity
fientlig	adverse
fiffig	clever
figur	figure
fikon	fig
fil	file
fila	file
filosof	philosopher
filt	felt
filtrera	filter
finansiell	financial
finger	finger
finna	find
finne	Finn
finsk	Finnish
fira födelsedagen	celebrating one's birthday
fisk	fish
fiska	fish
fiskare	fisherman
fiskmås	seagull
fiskmåse	seagull
fjord	fjord
fjorton	fourteen
fjortonde	fourteenth
fjäder	feather
fjäll	scale
fjärde	fourth
fjäril	butterfly
flack	even
flagg	banner
flagga	banner
flamländare	Flemming
flamma	flame
flanell	flannel
flank	side
flaska	bottle
flicka	mend
flod	high tide
flodhäst	hippo
flotta	fleet
flotte	raft
fluga	fly
fly	flee
flyga	fly
flygfält	aerodrome
flyghamn	airport
flygmaskin	aeroplane
flygplan	aircraft
flykt	flight
flyta	float
flytande	fluent
flytta	move
flyttbil	furniture van
flyttning	removal
fläck	blot
fläder	elder
flädermus	bat
fläkta	blow
fläsk	bacon
flöde	river
flöjt	flute
folk	folk
folkmål	dialect
folkvälde	democracy
fond	fund
fontän	fountain
fordon	vehicle
forell	trout
forma	form
formel	formula
formell	formal
formera	form
formulär	blank
forsla	transport
forvänta	abide
fosfor	phosphorus
fotfolk	infantry
fotgängare	pedestrian
fotogen	paraffin‐oil
fotograf	photographer
fotografera	photograph
fotografi	photography
fotografiapparat	camera
fotsula	sole
fradga	foam
frakt	burden
frakta	transport
framgång	achievement
framtid	future
frans	frindge
fransk	French
franska	French
fransman	Frenchman
fransyska	Frenchwoman
fred	peace
freda	protect
fredag	Friday
frejdad	famous
fria	release
friherre	baron
frihet	freedom
frimurare	freemason
frimärke	stamp
fris	Frisian
fristående	detached
fristående hus	detached house
frisör	barber
frost	freezing cold
fru	lady
frukt	fruit
fruktan	agony
fruktbar	fertile
fruktträd	fruit‐tree
frysa	freeze
fräck	impertinent
frälsningsamé	Salvation Army
främling	foreigner
främmande	alien
frände	relative
frö	seed
fröjd	fun
fröjda	be glad
fråga	ask
frågvis	agog
från	from
frånskild	divorced
frånvarande	absent
frånvaro	absence
fråvarande	absent
fuktig	moist
ful	nasty
full	drunk
fullborda	accomodate
fullvuxen	adult
fur	pine
fura	pine
furste	prince
furstendöme	principality
furstinna	princess
furstlig	regal
fylla	fill
fylla år	celebrating one's birthday
fyr	lighthouse
fyra	four
fyrhörning	quadrangle
fyrsprång	gallop
fyrti	forty
fyrtio	forty
fyrtorn	lighthouse
fysik	physics
fädernesland	fatherland
fällkniv	pen‐knife
fält	field
fältflaska	canteen
fängelse	jail
färd	journey
färdas	travel
färdig	finished
färg	dye
färga	paint
färglös	achromatic
färja	ferry
fästa	attach
fästman	fiancé
fästmö	bride
födelse	birth
födelsedag	birthday
födelseort	cradle
följa	follow
fönster	window
för	for
föra	conduct
förakt	contempt
förakta	despise
föranleda	activate
förarga	aggravate
förargelse	offence
förband	bandage
förbanna	curse
förbereda	prepare
förberedelse	preparation
förbli	remain
förblinda	dazzle
förbliva	remain
förblända	dazzle
förbruka	use up
förbrytare	criminal
förbrytelse	crime
förbränna	burn down
fördel	advantage
fördelaktig	advantageous
fördom	prejudice
fördubbla	double
fördämning	dike
fördölja	conceal
fördöma	curse
förebild	example
förebrå	blame
förebråelse	reproach
föredöme	example
förenkla	simplify
förevita	blame
förevändning	pretext
författare	author
förfäringssätt	procedure
förfärlig	alarmed
förfölja	chase
förföljande	persecution
förföljelse	persecution
förföra	entice
förförelse	temptation
förgasare	carburettor
förgifta	poison
förgätmigej	forget‐me‐not
förgäves	in vain
förgången	last
förgås	perish
förhindra	bar
förhoppning	hope
förhänge	curtain
förhållande	relation
förinta	destroy
förjaga	chase away
förklara	declare
förklaring	declaration
förklarlig	accountable
förkylning	cold
förlama	paralyse
förleda	entice
förlora	lose
förlova sig	become engaged
förlova sig med	become engaged with
förlovning	betrothal
förlust	loss
förlägen	abashed
förlägenhet	bashfulness
förläggare	publisher
förlänga	lengthen
förlåt	excuse me
förlåta	forgive
förlåtelse	absolution
förnamn	first name
förnedra	abase
förneka	deny
förnärma	abuse
förnärmelse	abuse
förnödenhet	need
förolämpning	abuse
förord	recommendation
förorda	commend
förorena	soil
förorsaka	activate
förort	suburb
förpakta	farm out
förplikta	compel
förryckt	crazy
förrädisk	treacherous
förrän	before
förråda	betray
församla	collect
församling	assemblage
försiktig	careful
förskräcklig	abysmal
förslag	account
första	first
förstad	suburb
förstora	aggrandize
förstöra	destroy
försvar	defence
försvara	defend
försvinna	disappear
försäkra	insure
försäkring	insurance
försälja	dispose of
försäljning	sale
försämra	blow up
försök	experiment
försöka	attempt
förtal	backbiting
förtala	slander
förtjäna	earn
förtretlig	bleak
förtroende	confidence
förtrytelse	offence
förtvivlad	desperate
förtvivlan	despair
förundran	astonishment
förutan	without
förvalta	administer
förvaltare	manager
förvandla	alter
förvara	conserve
förvaringsställe	box‐room
förvillelse	aberration
förväntan	expectation
förvärra	blow up
förvärv	accession
förvärva	achieve
förväxla	change
förvåna	amaze
förvåna sig	marvel
förvåning	astonishment
föräldrar	parents
förälska sig i	fall in love with
förändra	change
förändras	alter
förändring	about‐face
förära	adore
förödmjuka	abase
förödmjukelse	abasement
förölämpa	abuse
fösa	chase
få	get
fågel	bird
fåne	idiot
fånga	capture
fångst	prey
får	sheep
fårkött	mutton
gadd	sting
gaffel	fork
gagn	advantage
gagna	avail
galen	crazy
galenskap	craziness
galla	bile
galleri	gallery
galning	lunatic
galopp	gallop
galosch	galosh
gam	vulture
gammal	old
gammaldags	old‐fashioned
gammalmodig	old‐fashioned
gap	abyss
gapa	gape
gapskratta	roar with laughter
garantera	guarantee
garde	guard
garderob	cloakroom
garn	thread
garnison	garrison
gas	gas
gasell	gazelle
gast	ghost
gastrampa	accelerator
gata	street
ge	give
gebit	region
gedigen	pure
gemak	chamber
gemen	accustomed
gemenligen	ordinarily
gemensam	common
gemenskap	community
gen	short
general	general
genever	gin
genklang	echo
genljud	echo
genljuda	echo
genmäle	answer
genom	through
genomtrött	exhausted
gensvarig	rude
geografi	geography
geologisk	geological
geometri	geometry
germansk	Germanic
gest	gesture
gestalt	figure
get	she‐goat
geting	wasp
gevär	gun
ge sig iväg	absent onself
gid	handbook
gift	married
gifta sig	marry
gifta sig med	become the wife of
giftig	poisonous
gift par	couple
gikt	arthritis
ginst	greenweed
giraff	giraffe
girig	avaricious
girland	garland
gissa	guess
gisslan	hostage
gitarr	guitar
gitta	be able to
giva	give
givande	fertile
given	certain
givmild	generous
gjuta	pour
glad	cheerful
gladlynt	cheerful
glansslipa	polish
glas	glass
glass	ice
glasyr	glaze
glasögon	glasses
glatt	smooth
gles	airy
glida	glide
glob	ball
glugg	hole
glöd	glow
glöda	glow
glömma	forget
glömsk	forgetful
glåmig	pale
gnaga	gnaw
gnida	rub
gnidare	miser
gnista	spark
gno	rub
gnugga	rub
gnägga	neigh
god	good
goddag	good afternoon
godhet	goodness
godhjärtad	good‐hearted
godkänna	approve
godkännande	acclaim
godmodig	good‐hearted
godvillig	voluntary
god afton	good evening
god kväll	good evening
god morgon	good morning
golv	floor
gosse	boy
grad	degree
graf	grave
gram	gram
grammatik	grammar
grammatika	grammar
gran	fir
granat	grenade
granit	granite
granne	neighbour
gratis	free
gratulera	congratulate
grav	pole
gravitation	mortgage
grek	Greek
grekinna	Greek woman
grekisk	Greek
gren	bough
grep	fork
greve	count
grina	cry
gris	hog
gro	accrue
groda	frog
grotta	cave
grubbla	puzzle over
grund	bottom
grunda	erect
grupp	group
gruva	mine
gruvarbetare	miner
gruvlig	agonizing
grym	cruel
gräl	quarrel
gräla	quarrel
grämelse	sadness
gränd	alley
gräns	boundary
gränslös	absolute
gräs	grass
gräshoppa	grasshopper
gräslig	abysmal
gräslök	chive
gräsmatta	lawn
gräva	dig
grävling	badger
grävsvin	badger
gröda	harvest
grön	green
grönsaker	vegetable
grå	grey
gråsparv	sparrow
gråta	cry
gud	god
gudlig	pious
gudomlig	divine
gudsförmädelse	blasphemy
gudsförnekare	atheist
gul	yellow
guld	gold
guldfisk	goldfish
guldgruva	gold‐mine
guldsmed	goldsmith
gummi	rubber
gumse	ram
gunst	favor
gunstig	advantageous
gurka	gherkin
gutår	cheers
gymnasium	high school
gymnastik	gymnastics
gynna	advance
gynnsam	advantageous
