-aktig	-âtre
Salvins hocko	hocco de Salvin
Samuel	Samuel
San Marino	Saint-Marin
San Salvador	San Salvador
Sanaa	Sanaa
Sankt Petersburg	Saint-Pétersbourg
Santo Domingo	Saint-Domingue
Sarajevo	Sarajevo
Saskatoon	Saskatoon
Saturnus	Saturne
Saudiarabien	Arabie saoudite
Schlesien	Silésie
Schweiz	Suisse
Scout	scout
Sebastian	Sébastien
Sedna	Sedna
Selene	Séléné
Senegal	Sénégal
Serbien	Serbie
Seychellerna	Seychelles
Shetland	îles Shetland
Shetlandsöarna	îles Shetland
Sicilien	Sicile
Sierra Leone	Sierra Leone
Singapore	Singapour
Skagerrak	Skagerrak
Skandinavien	Scandinavie
Skandinaviska halvön	péninsule Scandinave
Skottland	Écosse
Skåda inte en given häst i munnen.	À cheval donné on ne regarde pas la denture.
Skåne	Scanie
Slovakien	Slovaquie
Slovenien	Slovénie
Sofia	Sofia
Somalia	Somalie
Sovjetunionen	Union Soviétique
Spanien	Espagne
Spanska Sahara	Sahara espagnol
Spanskamerika	Amérique hispanique
Sri Lanka	Sri Lanka
Stefan	Étienne
Stilla havet	Pacifique
Stockholm	Stockholm
Stockholmssyndrom	syndrome de Stockholm
Stora barriärrevet	grande barrière de corail
Storbritannien	Royaume-Uni
Strasbourg	Strasbourg
Sucre	Sucre
Sudan	Soudan
Sumatra	Sumatra
Surinam	Suriname
Susanna	Suzanne
Svarta havet	mer Noire
Svenskar äro vi inte längre, ryssar vilja vi inte bli, låt oss alltså bli finnar.	Nous ne sommes plus Suédois, nous ne voulons pas devenir Russes, restons donc Finlandais.
Sverige	Suède
Svärdfisken	Dorade
Swaziland	Swaziland
Sydafrika	Afrique du Sud
Sydamerika	Amérique du Sud
Sydeuropa	Europe du Sud
Sydkorea	Corée du Sud
Sydsudan	Sud-Soudan
Syrien	Syrie
Södra fisken	Poisson austral
Södra korset	Croix du Sud
Södra kronan	Couronne australe
Södra triangeln	Triangle austral
Söul	Séoul
T-shirt	tee-shirt
T-tröja	T-shirt
Tadzjikistan	Tadjikistan
Taiwan	Taïwan
Tala är silver, tiga är guld.	La parole est d'argent, le silence est d'or.
Tallinn	Tallinn
Tanzania	Tanzanie
Tasmanien	Tasmanie
Tbilisi	Tbilissi
Tchad	Tchad
Tellus	Terre
Teneriffa	Ténérife
Thailand	Thaïlande
Themsen	Tamise
Thrakien	Thrace
Tiden läker alla sår.	Le temps guérit toutes les blessures.
Titan	Titan
Tjeckien	Tchéquie
Tjeckoslovakien	Tchécoslovaquie
Tjernobyl	Tchernobyl
Tjetjenien	Tchétchénie
Tjotahejti	Pétaouchnoque
Tjuvasjien	Tchouvachie
Togo	Togo
Tokelauöarna	Tokelau
Tokyo	Tokyo
Tourettes syndrom	syndrome de la Tourette
Tripoli	Tripoli
Triton	Triton
Tunis	Tunis
Tunisien	Tunisie
Turin	Turin
Turkiet	Turquie
Turkmenistan	Turkménistan
Tvillingarna	Gémeaux
Tyskland	Allemagne
US-amerikansk	américain
USA	US
USB-minne	clé USB
Uganda	Ouganda
Ukraina	Ukraine
Ungern	Hongrie
Uranus	Uranus
Uzbekistan	Ouzbékistan
Vaduz	Vaduz
Valletta	La Valette
Vattumannen	Verseau
Vega	Véga
Venedig	Venise
Venndiagram	diagramme de Venn
Venus	Vénus
Victoriafallen	chutes Victoria
Vietnam	Viêt Nam
Vilhelm	Guillaume
Vilnius	Vilnius
Vintergatan	Voie lactée
Väck inte den björn som sover.	il ne faut pas réveiller le chat qui dort
Väduren	Bélier
Vänern	Vänern
Västbanken	Cisjordanie
Västsahara	Sahara occidental
Västtyskland	Allemagne de l'Ouest
Västvärlden	Occident
Vättern	Vättern
Vågen	balance
Wales	pays de Galles
Warszawa	Varsovie
Warszawapakten	pacte de Varsovie
Wien	Vienne
Wikipedia	Wikipédia
Wikisource	Wikisource
Wiktionary	Wiktionnaire
X-kromosom	chromosome X
Y-kromosom	chromosome Y
York	York
Zagreb	Zagreb
Zambia	Zambie
Zaragoza	Saragosse
Zimbabwe	Zimbabwe
a-moll	la mineur
aba	aba
abakus	abaque
abasi	abasie
abazinska	abaza
abbedissa	abbesse
abborre	perche
abbot	abbé
abbotskloster	abbaye
abbreviera	abréger
abbé	abbé
abc-bok	abécédaire
abchazier	Abkhaze
abchaziska	abkhaze
abdikation	abdication
abdikera	abdiquer
abdomen	abdomen
abelsk	abélien
abenakiska	abénaquis
abessinsk	abyssinien
abietinsyra	acide abiétique
abiogenes	abiogenèse
abiotisk	abiotique
ablation	ablation
ablativ	ablatif
abnorm	anormal
abnormitet	anomalie
abolitionism	abolitionnisme
abominabel	abominable
abonnemang	abonnement
abonnent	abonné
abonnera	abonner
abort	avortement
abortera	avorter
abortör	avorteur
abrahamitisk	abrahamique
abrahamitisk religion	religion abrahamique
abrasion	abrasion
absens	absence
absint	absinthe
abskissa	abscisse
absolut	absolu
absolut majoritet	majorité absolue
absoluta nollpunkten	zéro absolu
absolutism	abstinence
absolvera	absoudre
absorbera	absorber
absorption	absorption
absorptionsfaktor	facteur d'absorption
abstinens	abstinence
abstinensbesvär	manque
abstrahera	abstraire
abstrakt	abstrait
abstraktion	abstraction
abstrus	abstrus
absurd	absurde
absurditet	absurdité
abundans	abondance
abundant	abondant
acceleration	accélération
accelerator	accélérateur
accelerera	accélérer
accent	accent
accentuera	accentuer
accentuering	accentuation
acceptabel	acceptable
acceptera	accepter
access	accès
accessoar	accessoire
accis	accise
acehnesiska	aceh
acetamid	acétamide
aceton	acétone
acetonitril	acétonitrile
acetylen	acétylène
acetylklorid	chlorure d'acétyle
acetylsalicylsyra	acide acétylsalicylique
aciditet	acidité
ack	ah
acklamation	acclamation
acklimatisera	s'acclimater
acklimatisering	acclimatation
ackommodation	accommodation
ackompanjatris	accompagnatrice
ackompanjatör	accompagnateur
ackompanjemang	accompagnement
ackompanjera	accompagner
ackord	accord
ackreditera	accréditer
ackreditering	accréditation
ackumulation	accumulation
ackumulator	accumulateur
ackumulera	accumuler
ackusativ	accusatif
ackuschör	accoucheur
ackuschörska	accoucheuse
adamsdräkt	tenue d’Adam
adamsäpple	pomme d'Adam
adaptation	adaptation
adapter	adaptateur
adaptera	adapter
adaption	adaptation
addera	additionner
adderare	additionneur
addition	addition
additionell	additionnel
additiv	additif
additiv	additif
additivitet	additivité
adekvat	adéquat
adel	noblesse
adelsdam	noble
adelskap	noblesse
adelsman	noble
adelstitel	titre de noblesse
adenin	adénine
adenokarcinom	adénocarcinome
adenosindifosfat	adénosine diphosphate
adenosinmonofosfat	adénosine monophosphate
adenosintrifosfat	adénosine triphosphate
adept	adepte
adiabatisk	adiabatique
adjektiv	adjectif
adjektivfras	locution adjectivale
adjektivisk	adjectival
adjoint	adjoint
adjungera	adjoindre
adjö	adieu
adla	anoblir
adlig	noble
administration	administration
administrativ	administratif
administratör	administrateur
administrera	administrer
admirabel	admirable
admittans	admittance
adoptera	adopter
adoption	adoption
adoptiv	adoptif
adoptivbarn	enfant adoptif
adoptivfader	père adoptif
adoptivfar	père adoptif
adoptivförälder	parent adoptif
adoptivmoder	mère adoptive
adoptivmor	mère adoptive
adrenalin	adrénaline
adress	adresse
adressat	destinataire
adressbok	carnet d'adresses
adressbuss	bus d’adresse
adressera	adresser
adressland	pays de destination
adrätt	adroit
adsorbera	adsorber
advent	avent
adventist	adventiste
adventistisk	adventiste
adventskalender	calendrier de l’Avent
adventsljusstake	couronne de l'Avent
adverb	adverbe
adverbfras	locution adverbiale
adverbiell	adverbial
advokat	avocat
adygeiska	adyguéen
aerob	aérobique
aerodrom	aérodrome
aerodynamik	aérodynamique
aerofobi	aérophobie
aerosol	aérosol
aerosolförpackning	bombe aérosol
afar	Afar
afasi	aphasie
affektation	affectation
afficiera	affecter
affidavit	attestation
affin	affine
affirmation	affirmation
affisch	affiche
affischpelare	colonne Morris
affix	affixe
affrikata	affriquée
affär	magasin
affärskvinna	femme d'affaires
affärsman	homme d'affaire
affärsresa	voyage d'affaires
afghan	lévrier afghan
afoni	aphonie
aforism	aphorisme
aforistiker	aphoriste
aforistisk	aphoristique
afrikaans	afrikaans
afrikan	Africain
afrikanisera	africaniser
afrikansk	africain
afrikanska	Africaine
afrikanskt tulpanträd	tulipier du Gabon
afroamerikan	Afro-Américain
afroamerikansk	afro-américain
afrodisiakum	aphrodisiaque
afrodisisk	aphrodisiaque
afrokubansk	afro-cubain
afte	aphte
afterski	après-ski
afton	soir
aftonfalk	faucon kobez
aftonklänning	robe de soirée
agat	agate
agave	agave
agent	agent
agentur	agence
agera	agir
agg	rancune
aggregat	agrégat
aggregationstillstånd	état de la matière
aggression	agression
aggressiv	agressif
aggressivitet	agressivité
aggressivt	agressivement
aggressor	agresseur
agitator	propagandiste
agnat	agnat
agnatisk	agnatique
agnostiker	agnostique
agoni	agonie
agrar	agraire
agrarisk	agraire
agrikultur	agriculture
agrolog	agrologue
agronom	agronome
agronomi	agronomie
agronomisk	agronomique
aguti	agouti
aids	SIDA
aikido	aïkido
ailurofobi	ailurophobie
ainu	aïnou
aioli	aïoli
aj	aïe
ajournera	ajourner
akacia	acacia
akademi	académie
akademiledamot	académicien
akademisk	académique
akan	akan
akilleshäl	talon d'Achille
akkadiska	akkadien
akkalasamiska	same d’Akkala
akleja	ancolie
akne	acné
akrobat	acrobate
akrobatik	acrobatie
akrobatisk	acrobatique
akrofobi	acrophobie
akromatisk	achromatique
akromegali	acromégalie
akromion	acromion
akronym	acronyme
akrylsyra	acide acroléique
akt	acte
akter	poupe
akterdäck	pont arrière
akterstäv	étambot
aktie	action
aktiebolag	société anonyme
aktieägare	actionnaire
aktin	actine
aktinium	actinium
aktion	action
aktionspotential	potentiel d'action
aktionär	actionnaire
aktiv	actif
aktivera	rendre actif
aktivering	activation
aktivism	activisme
aktivist	activiste
aktivitet	activité
aktivitetsfält	barre des tâches
aktivt	activement
aktivt kol	charbon actif
aktning	respect
aktsam	soigneux
aktualisera	actualiser
aktualisering	actualisation
aktualitet	actualité
aktuell	à jour
aktör	acteur
akupunktur	acupuncture
akustik	acoustique
akustiker	acousticien
akustisk	acoustique
akut accent	accent aigu
akvamarin	aigue-marine
akvamarin	aigue-marine
akvarell	aquarelle
akvarellist	aquarelliste
akvarellmålare	aquarelliste
akvarist	aquariophile
akvarium	aquarium
akvatisk	aquatique
akvavit	aquavit
akvedukt	aqueduc
al	aulne
al dente	al dente
alabaster	albâtre
aladåb	œufs en gelée
alanin	alanine
alar	aulne
alarm	alarme
alarmera	alarmer
alarmist	alarmiste
alaskier	Alaskain
alban	Albanais
albansk	albanais
albanska	albanais
albatross	albatros
albinism	albinisme
albino	albino
album	album
aldehyd	aldéhyde
aldrig	jamais
aldrig i livet	jamais de la vie
aleatorisk	aléatoire
alemanniska	alémanique
alert	alerte
aleutiska	aléoute
alfa och omega	l’alpha et l’oméga
alfabet	alphabet
alfabetisera	alphabétiser
alfabetisering	alphabétisation
alfabetiskt	alphabétiquement
alfahona	femelle dominante
alfanumerisk	alphanumérique
alfågel	harelde boréale
alförrädare	eider de Steller
alg	algue
algebra	algèbre
algebraiker	algébriste
algebraisk	algébrique
algerier	Algérien
algerisk	algérien
algeriska	Algérienne
algofobi	algophobie
algonkinska	algonquin
algoritm	algorithme
algoritmisk	algorithmique
alibi	alibi
alimentär	alimentaire
alka	pingouin
alkalie	alcali
alkalimetall	métal alcalin
alkalisk	alcalin
alkan	alcane
alkekung	mergule nain
alkemi	alchimie
alkemisk	alchimique
alkemist	alchimiste
alkis	pochetron
alkohol	alcool
alkoholdryck	boisson alcoolisée
alkoholhalt	teneur en alcool
alkoholhaltig	alcoolisé
alkoholism	alcoolisme
alkoholist	alcoolique
alkoholpåverkad	alcoolisé
alkov	alcôve
alkylering	alkylation
alkyn	alcyne
all	tout
alla	tout
alla helgons dag	Toussaint
alla hjärtans dag	Saint-Valentin
allaredan	déjà
allas	tout le monde
allativ	allatif
alldaglig	journalier
alldeles	complètement
allegori	allégorie
allegorisk	allégorique
allel	allèle
allena	seulement
allergen	allergène
allergi	allergie
allergisk	allergique
allergologi	allergologie
allestädesnärvaro	ubiquité
allians	alliance
allierad	allié
allierad	allié
alligator	alligator
allihop	tout le monde
allitteration	allitération
allitterera	allitérer
allmakt	toute-puissance
allmosa	aumône
allmän	public
allmän plats	lieu public
allmänbildning	culture générale
allmänhet	public
allmänläkare	médecin généraliste
allmänt val	élections générales
allofon	allophone
allograf	allographe
