ABC	alfabet
acrimony	skärpa
across	emot
act	gärning
action	gärning
activate	föranleda
active	aktiv
actor	aktör
actress	aktris
actual	faktisk
acuity	skärpa
ad	anmälan
adage	ordspråk
add	addera
adder	huggorm
addition	addition
additional	extra
addled	rutten
address	adressera
address	adresskalender
add	addera
adherents	anhang
adieu	adjö
adjective	adjektiv
adjournment	anstånd
adjudication	dom
adjustment	inredning
adjutant	adjutant
administer	förvalta
administration	regering
administrator	administratör
admiral	amiral
admiration	beundran
admire	beundra
admirer	beundrare
admission	accept
admission	inträdesbiljett
admit	medge
admittance	entré
admixture	röra
admonition	maning
ado	bråk
adopt	adoptere
adore	förära
adorer	tillbedjare
adorn	smycka
adroit	livaktig
adult	myndig
advance	nalkas
advancement	befordran
advantage	fördel
advantageous	fördelaktig
adventure	äventyr
adventurous	äventyrlig
adverb	adverb
adversary	vedersakare
adverse	motsatt
advert	beakta
advertence	väntan
advertency	väntan
advertise	anmäla
advertisement	anmälan
advice	råd
advise	rå
advocate	advokat
aerodrome	flygfält
aeroplane	flygmaskin
affable	snäll
affair	affär
affect	påverka
affectation	affektation
affection	kärlek
affiliation	släkt
affined	anhörig
affinity	släkt
affirm	betrygga
affirmation	löfte
affix	befästa
afflict	bedröva
affluence	rikedom
affluent	rik
afford	alstra
afraid	rädd
afresh	ånyo
after	efter
afternoon	eftermiddag
again	ånyo
against	emot
age	ålder
agency	agentur
agent	agent
aggrandize	förstora
aggravate	förarga
aggravating	anstötlig
aggression	anfall
aggressive	offensiv
aggressor	angripare
agile	livaktig
agitated	nervös
agitation	agitation
agog	frågvis
agonize	martera
agonizing	gruvlig
agony	fruktan
agrarian	jordbrukare
agreeable	angenäm
agreement	överenskommelse
agree	varaenigmed
agriculture	jordbruk
ague	feber
ah	ack
aid	hjälpare
aide	adjutant
ailment	sjuka
air	luft
aircraft	flygplan
airdrome	flygfält
airfield	flygfält
airplane	flygmaskin
airport	flyghamn
airy	gles
akin	anhörig
alacrity	entusiasm
alarm	alarmere
alarmclock	väckarur
alarmed	förfärlig
alas	detvarsynd
alcohol	alkohol
alcoholic	drinkare
alder	al
alderman	rådman
ale	öl
alert	livaktig
alga	alg
alien	främmande
alike	liknande
alimony	underhålla
alive	levande
all	allvetande
all	allrådande
all	allehanda
allegoric	allegorisk
alley	gränd
alliance	allians
alloy	legering
allude	alludera
allusion	anspelning
all	allestädes
all	ånyo
all	varjehanda
all	varjehanda
all	all
all	oavlåtlig
almanac	almanacka
almighty	allrådande
almond	mandel
almost	nästan
alms	allmosa
alone	ensam
alongside	bredvid
alphabet	alfabet
already	allaredan
also	också
altar	altare
alter	förvandla
alteration	ändring
alternative	alternativ
although	ehuru
altitude	höjd
altogether	allting
alum	alun
always	alltid
amateur	amatör
amaze	förvåna
ambassador	sändebud
ambiguous	tvetydig
ambition	ambition
ambitious	ambitiös
ambulance	ambulansbil
ammunition	ammunition
among	emellan
amount	antal
amphitheatre	amfiteatro
ample	omfångsrik
anaemia	anemi
analogy	analogi
analysis	analys
anarchist	anarkist
anatomical	anatomisk
anchor	ankare
anchorage	redd
anchovy	ansjovis
and	och
anecdote	anekdot
anemone	sippa
anew	ånyo
angel	ängel
angle	hörn
angry	arg
anguish	fruktan
animal	djurisk
anise	anis
ankle	ankel
annotation	anteckning
announce	anmäla
announcement	bekantgörande
annoy	förarga
annul	arbeställa
anonymous	anonym
another	annan
answer	svara
ant	myra
anthem	hymn
antidote	motgift
antique	antikvitetshandlare
antithesis	motsats
anvil	städ
any	någon
anybody	någon
anything	någonting
anywhere	någonstans
apart	särskild
apartment	lägenhet
apartment	höghus
apart	utom
ape	apa
apiarist	biodlare
apologize	ursäktesig
apostle	apostel
apparatus	apparat
appeal	appell
appeal	anropa
appear	synas
appearance	anblick
appear	synas
appellation	namn
appetite	aptit
applaud	applådera
apple	äppelmos
apple	äppelkaka
apple	apel
apple	äpple
appraise	beräkna
appraiser	värderingsman
appreciate	värdesätta
apprehension	häkte
approach	annalkande
approval	applåd
approve	godkänna
approximately	cirka
apricot	aprikos
aptitude	begåvning
aqueduct	akvedukt
arc	båge
archangel	ärkeängel
archbishop	ärkebiskop
archipelago	arkipelag
architect	arkitekt
archive	arkiv
archives	arkiv
archivist	arkivarie
are	flock
area	areal
arithmetic	aritmetik
arm	beväpna
armchair	emma
armpit	armhåla
army	armé
around	kring
arouse	väcka
arrange	arrangera
arrangement	inredning
arrest	anhålla
arrival	ankomst
arrive	ankomma
arrow	pil
art	konst
artery	artär
arthritis	gikt
artichoke	kronärtskocka'ärtskocka
article	artikel
artificial	artificiell
artillery	artilleri
artist	artist
as	hur
ascend	dala
ascetic	asketisk
ash	aska
ashtray	askkopp
ask	fråga
ask	anmoda
ask	beomursäkt
asparagus	sparris
aspect	anblick
aspen	asp
asphalt	jordbeck
ass	åsna
assailant	angripare
assault	anfalla
assemblage	församling
assemble	montera
assent	bejaka
assert	hävda
assertion	påstående
asset	ackvisition
assist	biträda
assistent	hjälpare
associate	para
associate	haettförhållandemed
assortment	sortiment
assure	betrygga
aster	aster
astonishment	förvåning
astrologer	stjärntydare
astronaut	rymdpilot
astronomy	astronomi
as	lika...som
at	på
atelier	ateljé
atheism	ateism
atheist	ateist
atlas	atlas
atmosphere	atmosfär
atom	atom
atomic	atomkraft
atom	atombomb
attach	befästa
attack	anfalla
attacker	angripare
attain	förvärva
attempt	bemödande
attend	ansa
attention	väntan
attest	attestera
attic	loft
attitude	hållning
attraction	attraktion
attractive	lockande
at	alldeles
at	hemma
at	omnatten
at	nu
at	någonsin
at	där
at	isänder
at	oenig
auction	auktion
audience	auditorium
audit	besiktiga
auditory	auditorium
augment	förstora
aunt	faster
authentic	autentisk
author	auktor
automatic	automatisk
automoton	automat
autumn	höst
avail	gagna
avalanche	bergskred
avaricious	girig
avenge	hämna
avenge	hämna
avenue	allé
average	medeltal
avidity	begär
avoid	kringgå
await	forvänta
awaken	väcka
awareness	medvetande
axe	bila
axis	axel
axle	axel
a	somliga
a	någorlunda
a	länge
baboon	babian
baby	baby
baby	nappflaska
bachelor	ungkarl
back	bak
backbiting	förtal
backpack	ryggsäck
backside	stjärt
backward	bakåt
backwards	bakåt
back	nacke
bacon	fläsk
bacterium	bakterie
bad	arg
badger	grävling
bad	otur
bag	säck
baggage	bagage
bairn	barn
bait	agn
bake	baka
baker	bagare
bakery	bageri
baker	bagarbod
balance	saldo
balance	bokslut
balcony	altan
bale	packe
ball	glob
ball	bal
ballast	ballast
ballet	balett
balloon	ballong
balm	balsam
balsam	balsam
balustrade	balustrad
bamboo	bambu
banana	banan
band	band
bandage	bandage
bandit	bandit
banisters	balustrad
bank	sedel
bank	bank
bankruptcy	bankrutt
bank	bankir
bank	bankir
banner	flagg
banquet	bankett
baptism	dop
baptize	döpa
bar	förhindra
barbarian	barbar
barbaric	barbarisk
barber	frisör
bare	bar
barely	knappast
bark	bark
barley	korn
barn	barack
barometer	barometer
baron	baron
baroness	baronessa
barrack	barack
barracks	kasern
barrel	fat
barren	ofruktbar
barrier	bom
barrister	advokat
barrister	advokat
base	basera
basement	källare
bashfulness	blyghet
basin	bassäng
basket	korg
bass	abborre
bast	bast
bat	flädermus
bath	badkar
bathing	baddräkt
bathing	badhytt
bathing	baddräkt
bathroom	badhus
baton	stav
battalion	bataljon
battery	batteri
battle	batalj
bay	vik
bayonet	bajonett
bazaar	krambod
be	vara
beach	strand
beak	näbb
beam	stråle
bean	böna
bear	alstra
beard	skägg
bear	bekosta
bear	attestera
beast	best
beast	rovdjur
beat	banka
beautiful	skön
beauty	skönhet
beaver	bäver
because	på
become	bli
become	förlovasig
become	förlovasigmed
become	förlovasigmed
become	förlovasigmed
become	giftasigmed
become	giftasigmed
bed	bädd
bedroom	sovrum
bee	biodlare
bee	biodlare
bee	bi
beech	bok
beef	nötkött
beefsteak	biff
beehive	bikupa
beer	öl
beetle	skalbagge
before	förrän
beg	tigga
beggar	tiggerska
beggar	tiggare
begging	tiggeri
begin	begynna
beginner	nybörjare
beginning	begynnelse
behave	betesig
behavior	beteende
behaviour	beteende
behind	efter
belief	övertygelse
believe	tro
believe	tropå
belly	buk
below	nedan
belt	bälte
bench	bänk
bend	krok
beneath	under
benefit	fördel
bent	krokig
berry	bär
beside	bi
besides	utöver
besiege	belägra
best	bäst
bet	tippa
betray	förråda
betrothal	förlovning
better	bättre
between	emellan
beverage	dryck
bevy	flock
bewitch	trolla
be	gitta
be	varaborta
be	känna
be	vararädd
be	leva
be	blygas
be	görakonkurs
be	töras
be	heta
be	varatokigi
be	befinnasig
be	mätta
be	fröjda
be	hungra
be	harmas
be	retasigpå
be	befalla
be	saknas
be	befinnasig
be	hatur
be	giftasig
be	varaborta
be	bevista
be	tiga
be	varasläktmed
be	likna
be	ångra
be	insjukna
be	vilja
be	gälla
biased	partisk
bible	bibel
bicycle	cykel
bid	anmoda
big	stor
bike	cykel
bile	galla
bill	anslagstavia
bill	näbb
billiards	biljard
bind	binda
birch	björk
bird	fågel
birth	börd
birthday	födelsedag
bishop	biskop
bit	bit
bite	bita
bitter	besk
black	svart
blackberry	björnbär
blackberry	björnbär
blackbird	koltrast
bladder	blåsa
blade	klinga
blame	skuld
blank	blank
blanket	dekan
blaspheme	svära
blasphemer	hädare
blasphemy	gudsförmädelse
bleak	förtretlig
bleed	blöda
blend	blanda
bless	signa
blessing	välsignelse
blind	blind
blister	blåsa
block	blockera
blockade	blockad
block	höghus
blond	blond
blood	släkt
blood	blod
bloom	blomma
blot	fläck
blotter	läskpapper
blotting	läskpapper
blouse	blus
blow	hugg
blow	försämra
blue	blå
blueberry	blåbär
blunt	ovass
blushing	röd
board	bräde
boarding	pension
boarding	pension
boast	skryta
boat	båt
bodily	kroppslig
body	kroppslig
body	kroppslig
boil	koka
bold	diger
bolt	regla
bomb	bomb
bone	ben
book	bokförare
bookcase	bokskåp
bookseller	bokhandlare
boon	välsignelse
boot	stövel
boozer	drinkare
border	brädd
bore	borra
borrow	låna
bosom	bröst
boss	anförare
botany	botanik
both	båda
bottle	butelj
bottom	botten
bough	gren
bouillon	buljong
boulevard	bulevard
boundary	gräns
boutique	affär
bovine	nöt
bovine	nöt
bow	båge
bowl	skål
box	förvaringsställe
box	boxa
boy	gosse
bra	behå
brace	spasm
bracelet	armband
bracket	spasm
brag	skryta
brain	hjärna
brake	bromsa
bramble	björnbär
branch	gren
brandish	svinga
brandy	akvavit
brass	mässing
brave	behjärtad
bread	bröd
bread	smörgås
break	paus
breakable	brytbar
break	slopa
bream	braxen
breast	bröst
breath	anda
breathe	andas
breathless	andlös
breed	uppfostra
breeze	bris
brick	tegelsten
bride	fästmö
bridegroom	brudgum
bridge	bro
brief	gen
brief	portfölj
brigade	brigad
bright	ljus
brim	brädd
brimstone	svavel
bring	medbringa
bring	uppfostra
brink	brädd
brisk	livaktig
brittle	brytbar
broad	vid
broadcast	utskicka
broken	kaputt
broker	mäklare
bronze	brons
brooch	brosch
broom	kvast
brothel	bordell
brother	svåger
brother	broder
brothers	syskon
brow	ögonbryn
brown	brun
brush	borsta
brutal	ovänlig
bubble	blåsa
bucket	bytta
bud	knopp
buddy	kamrat
buffalo	buffel
bug	insekt
build	bygga
builder	byggmästare
building	byggnadstomt
building	byggnadstomt
building	byggnad
building	byggmästare
build	snickra
bulk	omfång
bulky	omfångsrik
bull	tjur
bullet	kula
bulletin	bulletin
bumblebee	humla
bump	puckel
bunch	knippa
bundle	knippa
bungalow	enplansvilla
bunker	kasematt
burden	ladda
burdensome	tung
bureau	byrå
burglar	inbrottstjuv
burial	begravning
burn	brinna
burn	förbränna
burst	rämna
bury	begrava
bush	buske
business	affär
businessman	affärsman
business	affär
business	affärsvän
business	affärsförbindelse
but	utom
butcher	slaktare
butcher	slakteri
butter	smör
butterfly	fjäril
button	knapp
buy	anskaffa
buyer	köpare
buzz	surra
by	statut
by	avtagsväg
by	bi
bye	adjö
byname	binamn
by	händelsevis
by	händelsevis
by	per
by	avmisstag
by	omnatten
by	allaredan
by	ingalunda
by	båtledes
by	apropå
cabbage	kål
cabin	hydda
cabinet	kabinett
cable	kabel
cactus	kaktus
cadaver	as
cadger	snyltgäst
caf	kafé
cage	bur
cake	kaka
calculate	beräkna
calculation	beräkning
calendar	kalender
calf	kalv
call	benämna
caller	besökande
call	telefonhytt
camel	kamel
camera	fotografiapparat
camphor	kamfer
camping	kampingplats
camping	kampingplats
canal	grav
canary	kanariefågel
cancel	arbeställa
cancer	kräfta
candidate	sökande
candle	ljus
cane	stav
canker	kräfta
cannibal	kannibal
cannon	kanon
canoe	kanot
canteen	fältflaska
cap	huv
cape	kap
capital	kapital
capital	huvudstad
caprice	hugskott
capsule	kapsyl
captain	kapten
capture	fånga
car	bil
carafe	karaff
caravan	karavan
carburettor	förgasare
card	karta
cardboard	kartong
cardiac	hjärtlig
care	omtanke
career	karriär
careful	försiktig
careless	oaktsam
caress	smeka
carnation	nejlika
carnival	karneval
carp	karp
carpenter	snickare
carrot	morot
carry	bära
case	affär
cashier	kassör
cashier	kassa
casino	kasino
castigate	aga
castigation	aga
castle	borg
cat	katt
catalogue	katalog
catarrh	katarr
catastrophe	katastrof
catch	fånga
category	kategori
caterpillar	larv
cathedral	dom
cauliflower	blomkål
cause	föranleda
cause	bedröva
cause	bedröva
caution	varna
cautious	försiktig
cavalier	riddare
cavalry	kavalleri
cave	grotta
caviar	kaviar
ceaselessly	oavlåtlig
cedar	ceder
cede	cedere
ceiling	tak
celebrate	festa
celebrating	firafödelsedagen
celebration	fest
celery	selleri
celestial	himmelsk
cell	cell
cellar	källare
cello	violoncell
cement	cement
cemetery	kyrkogård
censor	censurera
centennial	århundrade
centimetre	centimeter
centipede	tusenfoting
central	central
centre	center
century	århundrade
ceremony	ceremoni
certain	given
certainly	ju
certainty	visshet
certificate	aktstycke
chain	kedja
chair	stol
chairman	president
chalk	krita
chamber	gemak
champagne	champagne
champion	mästare
chance	slump
change	förvandla
channel	grav
chaos	kaos
chapter	kapitel
character	art
characteristic	karakterisk
characterize	karakterisera
charge	frakt
charity	allmosa
charm	behag
charming	behagfull
chase	driva
chase	förjaga
chasm	avgrund
chaste	kysk
chastise	aga
chastisement	aga
chat	prata
chatter	prata
chauffeur	chaufför
cheap	billig
cheat	niding
check	besiktiga
checker	besiktningsman
check	besiktiga
cheek	kind
cheerful	glad
cheers	gutår
cheese	ost
chemist	apotekare
chemistry	kemi
chemist	apotek
cheque	checkbok
cheque	check
cherry	körsbär
chess	schackbräde
chessboard	schackbräde
chest	bröst
chestnut	kastanje
chewing	tuggummi
chew	idissla
chick	kyckling
chicken	kyckling
chief	anförare
chief	kommissarie
child	telning
childless	barnlös
chilly	kall
chimney	skorsten
chin	haka
chisel	mejsel
chive	gräslök
chlorine	klor
chocolate	choklad
choice	val
choke	strypa
choose	kora
chop	hugga
chord	ackord
chorus	kor
chrestomathy	urval
christen	döpa
christening	dop
chromium	krom
chronicle	krönika
chuck	smeka
church	kyrka
church	kyrka
cigar	cigarr
cigarette	cigarrett
cinder	aska
cinema	biograf
circle	cirkel
circumstances	situation
circus	cirkus
citation	anförande
cite	anföra
citizen	medborgare
city	världsstad
city	rådhus
civil	civilstånd
clamp	spasm
clap	applådera
clarify	förklara
clasp	häkta
class	klass
classic	klassisk
classical	klassisk
claw	klo
clay	ler
clean	lutter
cleanse	luttra
clear	ljus
clef	klav
clergyman	präst
clerk	skrivare
clever	fiffig
client	köpare
client	klientel
climate	klimat
climb	kliva
clinic	klinik
cloak	kappa
cloakroom	garderob
clock	klocka
close	intim
closet	skåp
clothes	garderob
clothes	beklädnad
clothing	beklädnad
cloud	moln
clover	klöver
club	klubb
cluster	knippa
co	sambo
co	medverka
coal	kol
coast	kust
coat	paletå
cock	tupp
cockroach	bobba
cocktail	drink
cocoa	kakao
coconut	kokosnöt
cod	kabeljo
coddle	kela
code	kod
codfish	kabeljo
coffee	kafé
coffee	kaffe
coffin	likkista
cognac	konjak
cohabit	boihop
coin	mynt
coir	kor
cold	kall
collar	krage
colleague	kollega
collect	församla
collection	flock
college	kollegium
colonel	överste
colony	koloni
colossal	kolossal
colour	färg
column	pelare
comb	kamma
combine	ansluta
come	härstamma
comedy	komedi
comet	komet
come	bli
come	möta
come	nalkas
come	nalkas
come	nalkas
come	para
come	sluta
comfort	trösta
comfortable	bekväm
comic	komisk
comical	komisk
coming	ursprunglig
comma	komma
command	befalla
commander	befälhavare
commence	begynna
commencement	begynnelse
commend	berömma
commendable	berömlig
commerce	affär
commission	kommission
committee	kommitté
commodity	artikel
common	gemensam
commonplace	banal
commotion	agitation
communication	bekantgörande
communism	kommunism
community	gemenskap
companion	kamrat
company	affärshus
compare	jämföra
comparison	jämförelse
compartment	fack
compass	kompass
compassion	medlidande
compel	förplikta
compensate	belöna
compensation	belöning
competent	kompetent
competition	konkurrens
complain	klaga
complete	komplett
compliment	komplimang
compose	komponera
composer	kompositör
computation	beräkning
computer	datamaskin
comrade	kamrat
conceal	fördölja
concede	medge
concept	koncept
concern	beträffa
concerning	angående
concert	konsert
conclusion	konklusion
concord	ackord
concrete	betong
concurrence	överenskommelse
condemn	döma
condition	kondition
condom	kondom
conduct	föra
conduct	betesig
confectioner	konditor
confectionery	konditori
confess	bekänna
confession	bekännelse
confide	haförtroendeför
confidence	förtroende
confine	avgränsa
confiscate	konfiskera
conflict	konflikt
congratulate	gratulera
congress	kongress
conifer	barrträd
connect	ansluta
connect	ansluta
conquer	erövra
consciousness	medvetande
conservative	konservativ
conserve	behålla
consider	betrakta
consolation	tröst
console	trösta
consonant	konsonant
conspiracy	komplott
constant	konstant
construct	bygga
consul	konsul
consulate	konsulat
consult	konsultera
consume	förbruka
contact	kontakt
container	skål
contempt	förakt
contented	belåten
contention	påstående
contents	innehåll
contest	tävling
continent	fastland
continual	konstant
contract	kontrakt
contractor	byggmästare
contradistinction	motsats
contralto	altröst
contralto	altröst
contrary	motsatt
contrast	motsats
control	härska
controller	besiktningsman
control	behärskasig
convention	kongress
conversation	konversation
conversion	ändring
conviction	övertygelse
convince	överbevisa
cook	koka
cool	sval
cooperate	medverka
copper	koppar
copy	exemplar
cord	lina
cordial	hjärtlig
core	kärna
cork	kork
corkscrew	korkskruv
corn	liktorn
corner	hörn
cornflower	blåklint
coronation	kröning
corporal	kroppslig
corporeal	kroppslig
corpse	as
corpulent	diger
correct	korrekt
correspond	korespondera
cost	kosta
costly	dyr
costume	klädedräkt
cotton	vadd
cotton	bomull
couch	kanapé
cough	hosta
counsel	advokat
count	greve
counter	boddisk
countless	otalig
country	landsbygd
countryman	landsbo
countryside	landsbygd
count	addera
couple	äktapar
coupon	kupong
coup	kupé
courage	mandom
courageous	behjärtad
course	kurs
court	gård
courteous	artig
courtyard	gård
cousin	kusin
cover	betäcka
covet	begära
covetousness	begär
cow	ko
crab	krabba
crack	knaka
cradle	födelseort
cramped	smal
crane	kran
crawl	krypa
crayfish	kräfta
craziness	galenskap
crazy	dåraktig
cream	kräm
create	skapa
creature	skapelse
credit	kredit
creep	krypa
crew	besättning
cricket	syrsa
crime	förbrytelse
criminal	brottslig
crisis	kris
criticism	kritik
crocodile	krokodil
crook	niding
cross	arg
crossword	korsord
cross	vägkorsning
crow	kråka
crowd	hop
crucify	korstfästa
crude	nafta
cruel	grym
crush	anlopp
cry	skri
crystal	kristall
cry	hojta
cube	kub
cuckoo	gök
cucumber	gurka
cultivate	avla
culture	kultur
cunning	fiffig
cup	kopp
cupboard	skåp
curate	adjunkt
cure	hela
currant	vinbär
current	ström
currently	nutida
curry	kurry
curse	svära
curtain	förhänge
curve	krok
curved	krokig
cushion	dyna
cuss	svära
custom	tull
custom	vana
customary	bruklig
customer	kund
cut	meja
cutlet	kotlett
cycle	cykel
cyclone	cyklon
cylinder	cylinder
cynical	cynisk
cypres	cypress
czar	tsar
daffodil	narciss
dagger	dolk
daily	alldaglig
daily	dagblad
damage	haveri
dame	dam
dance	bal
dancer	dansös
dandruff	mjäll
danger	fara
dangerous	farlig
dare	töras
darkness	dunkelhet
darling	älskling
data	material
date	dadelpalm
date	dadel
date	dadelpalm
daughter	sonhustru
daughter	dotter
dawn	dagning
day	dag
daybreak	dagning
dazed	oredig
dazzle	blända
dead	avliden
deadly	dödlig
deaf	döv
deaf	dövstum
deal	behandla
dear	ansedd
death	död
debt	skuld
decanter	karaff
deceitful	bedräglig
deceive	bedra
deceiver	bedragare
decide	besluta
declaim	deklamera
declaration	förklaring
declaration	program
declare	betyga
decorate	smycka
decree	dekret
dedicate	ägna
deem	tro
deep	djup
deer	hjort
defeat	nederlag
defence	försvar
defend	försvara
defense	försvar
defiantly	trots
deformed	abnorm
defray	bekosta
degree	grad
delay	anstånd
deliver	avleverera
delivery	leverans
delta	delta
democracy	folkvälde
demolish	slopa
demonstrate	exponera
den	kyffe
dentist	dentist
deny	förneka
depart	gesigiväg
department	fack
dependant	beroende
dependence	beroende
dependent	avhängig
deportment	beteende
deposit	deponera
depository	lada
depressed	deprimerad
depression	kris
depth	djup
derive	härstamma
derrick	kran
describe	beskriva
description	beskrivning
desert	ödemark
deserving	värdig
design	rita
desire	önska
desk	skrivbord
desolate	tröstlös
despair	misströsta
desperate	desperat
despise	förakta
despite	trots
despotic	despotisk
dessert	efterrätt
destroy	förinta
detached	fristående
detached	friståendehus
detail	detalj
detective	detektiv
detention	häkte
determine	befästa
detrimental	ofördelaktig
device	apparat
devil	djävul
devote	ägna
dew	dagg
diabetes	sockersjuka
diagram	figur
dial	platta
dialect	allmogespråk
diamond	diamant
diarrhoea	diarré
diary	diarium
dictate	diktera
dictionary	ordbok
die	avlida
diet	diet
difference	olikhet
