άρχης	arch
Άδης	Hades
Άδωνης	Adonis
Άθως	Athos
Άκαμπα	Aqaba
Άκτωρ	Actor
Άλδος	Aldous
Άλιμος	Alimos
Άλκη	Alki
Άλκηστις	Alceste
Άλπεις	Alps
Άμλετ	Hamlet
Άμμων	Amun
Άμπελος	Abelos
Άμστερνταμ	Amsterdam
Άνδεις	Andes
Άνδρος	Andros
Άνεϋ	Aney
Άνθεια	Antheia
Άνθρωπος ο σοφός	Homo sapiens
Άννα	Ann
Άνναμπελ	Annabel
Άννυ	Annie
Άνοιξη	Anixi
Άνουβις	Anubis
Άνσλους	Anschluss
Άντρα Πραντές	Andhra Pradesh
Άνυα	Anya
Άνω Λιόσια	Ano Liosia
Άξονας	Axis
Άουγκσμπουργκ	Augsburg
Άπω	Far
Άπω Ανατολή	Far East
Άραβας	Arab
Άρβα	Arba
Άργος	Argos
Άρειος Πάγος	Areopagus
Άρης	Ares
Άρνεμ	Arnhem
Άρνος	Arno
Άρτεμις	Artemis
Άσκρη	Askri
Άσμα Ασμάτων	Song of Songs
Άστι	Asti
Άστρυφος	Astryfos
Άτλας	Atlas
Άφιδνα	Aphidna
Άφυτος	Afytos
Έκτορας	Hector
Έκτωρ	Hector
Έλατος	Elatos
Έλληνας	Greek
Έλσανη	Elsani
Έμιλυ	Emily
Έμπολα	Ebola
Ένωση Σοβιετικών Σοσιαλιστικών Δημοκρατιών	Union of Soviet Socialist Republics
Έξοδος	Exodus
Έρασμος	Erasmus
Έρις	Eris
Έρμος	Hermos
Έρουκα	Eruca
Έρως	Eros
Έρωτας	Eros
Έσδρας	Esdras
Έχιδνα	Echidna
Ήβη	Hebe
Ήλιος	Helios
Ήπειρος	Epirus
Ήρα	Hera
Ήφαιστος	Hephaestus
Ίαιρος	Jair
Ίβηρας	Iberian
Ίκαρος	Icarus
Ίλιον	Ilion
Ίμβρος	Imbros
Ίμια	Imia
Ίμολα	Imola
Ίνκας	Inca
Ίνσμπρουκ	Innsbruck
Ίντα	Ida
Ίος	Ios
Ίουλος	Iulus
Ίππαρχος	Hipparch
Ίστρια	Istria
Ίστρος	Ister
Όη	Oe
Όθρυς	Othrys
Όκλαντ	Auckland
Όλγα	Olga
Όλιβερ	Oliver
Όλυμπος	Olympus
Όμηρος	Homer
Όρεγκον	Oregon
Όσιρις	Osiris
Όσλο	Oslo
Όσσα	Ossa
Όστιν	Austin
Όφενμπαχ	Offenbach
Όφις	Serpens
Ύδρα	Hydra
Ύδρος	Hydrus
Ύψιστος	Most High
Ώλαντ	Åland
Ώρες	Horae
Ώρχους	Aarhus
Α1	GR-A1
Α2	GR-A2
Α΄ Παγκόσμιος Πόλεμος	World War I
ΑΕΠ	GDP
ΑΚΟ	no first name
ΑΠΘ	AUTH
ΑΤΙΑ	UFO
ΑΤΜ	ATM
Αίας	Ajax
Αίγινα	Aegina
Αίγισθος	Aegisthus
Αίγυπτος	Egypt
Αίθρα	Aethra
Αίμος	Haemus
Αίολος	Aeolus
Αίρμπας	Airbus
Αίσωπος	Aesop
Αίτνα	Etna
Ααρών	Aaron
Αβάνα	Havana
Αβαρνίδα	Abarnis
Αββακούμ	Habakkuk
Αβελλίνο	Avellino
Αβησσυνία	Abyssinia
Αβιλές	Avilés
Αβινιόν	Avignon
Αβλέμονας	Avlemonas
Αβορίγινες	Aborigines
Αβραάμ	Abraham
Αγάθη	Agatha
Αγάθων	Agathon
Αγία Άννα	Aghia Anna
Αγία Αικατερίνη	Saint Catherine
Αγία Βαρβάρα	Aghia Varvara
Αγία Γραφή	Holy Scripture
Αγία Ειρήνη	Aghia Irini
Αγία Λουκία	Saint Lucia
Αγία Παρασκευή	Aghia Paraskevi
Αγία Πελαγία	Aghia Pelaghia
Αγία Πετρούπολη	Saint Petersburg
Αγία Ρωμαϊκή Αυτοκρατορία	Holy Roman Empire
Αγία Σοφία	Aghia Sofia
Αγία Τράπεζα	altar
Αγία Τριάδα	Agia Triada
Αγίασμα	Agiasma
Αγαμέμνων	Agamemnon
Αγγαίος	Haggai
Αγγαράς	Angara
Αγγειόσπερμα	Αngiosperms
Αγγελή	Angele
Αγγλία	England
Αγγλίδα	Englishwoman
Αγγλικανική Εκκλησία	Anglican Church
Αγγλοσάξονας	Anglo-Saxon
Αγησίλαος	Agesilaus
Αγιά	Aghia
Αγιοταφίτης	Holy Sepulchre
Αγκίστρι	Angistri
Αγκριτζέντο	Agrigento
Αγκυλόσαυρος	Ankylosaurus
Αγνή	Agnes
Αγρίνιο	Agrinio
Αγριλίκι	Agriliki
Αγριλιά	Agrilia
Αγρυλή	Agryle
Αγρωστώδη	grasses
Αγχίσης	Anchises
Αγχεσμός	Anchesmus
Αδάμ	Adam
Αδάμες	Adames
Αδανσονία	Adansonia
Αδριατική	Adriatic
Αδόλφος	Adolph
Αετός	Aquila
Αζάνας	Azan
Αζέρος	Azerbaijani
Αζαρίας	Azariah
Αζερμπαϊτζάν	Azerbaijan
Αζηνία	Azenia
Αζοφική	Sea of Azov
Αζτέκος	Aztec
Αζόρες	Azores
Αζόφ	Azov
Αηδόνι	Aidoni
Αθήνα	Athens
Αθανάσιος	Athanasius
Αθηνά	Athena
Αθηνά η νυκτία	Athene noctua
Αθηναία	Athenian
Αθηναίος	Athenian
Αθμονία	Athmonia
Αιάντειο	Aianteio
Αιγάλεω	Aigaleo
Αιγέας	Aegeus
Αιγαίο Πέλαγος	Aegean Sea
Αιγαιοπελαγίτης	Aegean
Αιγειρούσες	Aigeirouses
Αιγιλία	Aegilia
Αιγινήτειο	Aiginiteio
Αιγινήτης	Aeginetan
Αιγόκερως	Capricornus
Αιγόσθενα	Aigosthena
Αιγύπτια	Egyptian
Αιγύπτιος	Egyptian
Αιθαλίδες	Aethalidae
Αιθιοπία	Ethiopia
Αικατερίνη	Catherine
Αιμίλιος	Emil
Αιμιλία	Emily
Αινείας	Aeneas
Αιξωνή	Aexone
Αισχύλος	Aeschylus
Ακάθιστος Ύμνος	Akathist
Ακίνδυνος	Akindynos
Ακαδημία	Academy
Ακαθάριστο Εγχώριο Προϊόν	gross domestic product
Ακαθάριστο Εθνικό Προϊόν	gross national product
Ακουιτανία	Aquitaine
Ακρωτήρι	Akrotiri
Ακρόπολη	Acropolis
Ακτή Ελεφαντοστού	Ivory Coast
Ακτινοπτερύγιοι	Actinopterygii
Ακτουάριος	Actuarius
Ακυλίνα	Aquilina
Ακύλας	Aquila
Αλάσκα	Alaska
Αλέξανδρος	Alexander
Αλέξης	Alex
Αλή	Ali
Αλίανθος	Alianthos
Αλίαρτος	Aliartos
Αλίκη	Alice
Αλαμάνα	Alamana
Αλαμπάμα	Alabama
Αλβέρτος	Albert
Αλβανία	Albania
Αλβανός	Albanian
Αλβιών	Albion
Αλγέρι	Algiers
Αλγερία	Algeria
Αλγερινός	Algerian
Αλεξάνδρα	Alexandra
Αλεξάνδρεια	Alexandria
Αλεξανδράδες	Alexandrades
Αλεξανδρούπολη	Alexandroupoli
Αλεποχώρι	Alepochori
Αλευρίτης	Aleurites
Αλιάκμονας	Haliacmon
Αλικάντε	Alicante
Αλιμούς	Halimus
Αλκμάν	Alcman
Αλλάχ	Allah
Αλλόσαυρος	Allosaurus
Αλμάτι	Almaty
Αλμπουκέρκη	Albuquerque
Αλοϊζιάνικα	Aloizianika
Αλσατία	Alsace
Αλσατός	Alsatian
Αλσούπολη	Alsoupoli
Αλωνάρης	July
Αλωπεκή	Alopeke
Αλώνια	Alonia
Αλώπηξ	Vulpecula
Αμάλφι	Amalfi
Αμάν	Amman
Αμάντα	Amanda
Αμάσεια	Amasya
Αμίριανη	Amiriani
Αμαζόνα	Amazon
Αμαζόνιος	Amazon
Αμαλίειο	Amalieio
Αμβέρσα	Antwerp
Αμβούργο	Hamburg
Αμβρόσιος	Ambrose
ΑμεΑ	persons with disabilities
Αμερική	America
Αμερικανική Σαμόα	American Samoa
Αμερικανικός Πρότυπος Κώδικας για Ανταλλαγή Πληροφοριών	American Standard Code for Information Interchange
Αμερικανοεβραίος	American
Αμερικανός	American
Αμιένη	Amiens
Αμμόχωστος	Famagusta
Αμοργός	Amorgos
Αμπάρες	Ambares
Αμπέλια	Abelia
Αμπέτειο	Ampeteio
Αμπελάκια	Ampelakia
Αμπελιά	Abelia
Αμπελόκηποι	Ampelokipoi
Αμπού Ντάμπι	Abu Dhabi
Αμπούζα	Abuja
Αμπχαζία	Abkhazia
Αμυγδαλέζα	Amygdaleza
Αμυγδαλιά	Amygdalia
Αμφίκλεια	Amphicleia
Αμφίπολη	Amphipolis
Αμφιάλη	Amphiali
Αμφιθέα	Amfithea
Αμφιτρίτη	Amphitrite
Αμφιτροπή	Amphitrope
Αμύνανδρος	Amynander
Αμώς	Amos
Ανάβρυτα	Anavryta
Ανάβυσσος	Anavyssos
Ανάκασα	Anakasa
Ανάληψη	Analipsi
Ανάμ	Annam
Ανάπολις	Annapolis
Ανάσταση	Resurrection
Ανάφη	Anafi
Ανάφλυστος	Anaphlystos
Αναΐς	Anaïs
Αναβρυτή	Anavryti
Αναγέννηση	Renaissance
Αναξίμανδρος	Anaximander
Αναξιμένης	Anaximenes
Αναργύρειος	Anargyreios
Αναστάσιος	Anastasios
Αναστασία	Anastasia
Ανατολή	Anatoli
Ανατολία	Anatolia
Ανατολίτης	Oriental
Ανατολικό Μπλοκ	Eastern Bloc
Αναφιώτικα	Anafiotika
Ανγκολέζος	Angolan
Ανγκουίλα	Anguilla
Ανγκόλα	Angola
Ανδαλουσία	Andalusia
Ανδαλουσιανός	Andalusian
Ανδορανός	Andorran
Ανδρέας	Andrew
Ανδριάνα	Andriana
Ανδροκλής	Androcles
Ανδρομάχη	Andromache
Ανδρομέδα	Andromeda
Ανδρόνικος	Andronicus
Ανδόρα	Andorra
Ανδόρα λα Βέλια	Andorra la Vella
Ανηφόρα	Anifora
Ανθεστήρια	Anthesteria
Ανθεστηριώνας	Anthesterion
Ανθηδόνα	Anthidona
Ανθοχώρι	Anthochori
Ανθούπολη	Anthoupoli
Ανθούσα	Anthousa
Ανθρωπίδης	hominid
Ανκόνα	Ancona
Αννίβας	Hannibal
Ανναμπέλα	Annabel
Αντίγκουα	Antigua
Αντίγκουα και Μπαρμπούντα	Antigua and Barbuda
Αντίλλες	Antilles
Αντίμπ	Antibes
Αντίνοος	Antinoos
Αντίπαρος	Antiparos
Αντίπατρος	Antipater
Αντίς Αμπέμπα	Addis Ababa
Ανταίος	Antaeus
Ανταναναρίβο	Antananarivo
Ανταρκτική	Antarctica
Αντιγκέα	Adygea
Αντιδραγονέρα	Antidragonera
Αντικύθηρα	Antikythira
Αντιόχεια	Antioch
Αντλία	Antlia
Αντχριμνίρ	Andhrímnir
Αντωνίκος	Antonick
Αντώνιος	Anthony
Ανόι	Hanoi
Απάτσι	Apache
Απέννινα	Apennines
Απαλάχια	Appalachians
Αποκάλυψη	Apocalypse
Απολυτάρες	Apolytares
Αποσπερίτης	Hesperus
Απουλήιος	Apuleius
Απουλία	Apulia
Απρίλιος	April
Απόλλων	Apollo
Απόστολος	Apostle
Αράλη	Aral Sea
Αράπικα	Arapika
Αρέτσο	Arezzo
Αρί	Ari
Αρίων	Arion
Αραβία	Arabia
Αραγονέζος	Aragonese
Αραγονία	Aragon
Αραιοί	Araioi
Αραράτ	Ararat
Αρβανίτης	Arvanites
Αργέαθοι	Argeathoi
Αργείος	Argive
Αργεντινή	Argentina
Αργεντινός	Argentinian
Αργιθέα	Argithea
Αργοσαρωνικός	Argosaronic
Αργυρούπολη	Argyroupoli
Αργύρι	Argyri
Αργώ	Argo
Αρδέννες	Ardennes
Αρδηττός	Ardittos
Αρετή	Arete
Αρεταίειο	Aretaieio
Αρεόπολη	Areopoli
Αρθούρος	Arthur
Αρθρόποδα	Arthropoda
Αριάδνη	Ariadne
Αριάνα	Ariana
Αριασσός	Ariassus
Αριζόνα	Arizona
Αριθμοί	Numbers
Αριστέας	Aristeus
Αριστογείτων	Aristogeiton
Αριστοτέλης	Aristotle
Αριστοφάνης	Aristophanes
Αρκάνσας	Arkansas
Αρκτίδες	Ursids
Αρκτική	Arctic
Αρλ	Arles
Αρμάμπελα	Armambela
Αρμένιος	Armenian
Αρμαγεδών	Armageddon
Αρμενία	Armenia
Αρμόδιος	Harmodius
Αρουμάνος	Aromanian
Αρουνάτσαλ Πραντές	Arunachal Pradesh
Αρούμπα	Aruba
Αρσάκειο	Arsakeio
Αρσένιος	Arsene
Αρσίδα	Arsida
Αρσινόη	Arsinoe
Αρτάκη	Artaki
Αρτέμιδα	Artemida
Αρχάγγελος	Archaghelos
Αρχάγγελσκ	Arkhangelsk
Αρωμάνος	Aromanian
Αρωμούνος	Aromanian
Αρωνιάδικα	Aroniadika
Ασένοβγκραντ	Asenovgrad
Ασία	Asia
Ασγκαμπάτ	Ashgabat
Ασιάτης	Asian
Ασκέλι	Askeli
Ασκραία	Askraia
Ασμάρα	Asmara
Ασμοδαίος	Asmodeus
Ασουάν	Aswan
Ασουνσιόν	Asunción
Ασπίς	Scutum
Ασπροπόταμος	Aspropotamos
Ασπροχώρι	Asprochori
Ασπρόρρευμα	Asprorevma
Ασσάμ	Assam
Ασσυρία	Assyria
Ασσύριος	Assyrian
Αστάνα	Astana
Αστέριος	Asterius
Αστεριάδης	Asteriades
Αστουριανός	Asturian
Αστούρια	Asturias
Αστραχάν	Astrakhan
Αστυάναξ	Astyanax
Αστόρια	Astoria
Ασύρματος	Asyrmatos
Ατακάμα	Atacama
Αταλάντη	Atalanta
Ατζαρία	Adjara
Ατθίς	Atthis
Ατιράου	Atyrau
Ατλάντα	Atlanta
Ατλαντικός Ωκεανός	Atlantic Ocean
Ατρείδης	Atreides
Ατροπατηνή	Atropatene
Αττάλεια	Αntalya
Αττίλας	Attila
Αττική	Attica
Αττικοβοιωτία	Attikovoiotia
Αυγή	Aurora
Αυγερινός	morning star
Αυγουστίνος	Augustine
Αυλάκι	Avlaki
Αυλίδα	Aulis
Αυλώνας	Avlon
Αυστρία	Austria
Αυστραλία	Australia
Αυστραλασία	Australasia
Αυστραλός	Australian
Αυστριακός	Austrian
Αυστροουγγαρία	Austria-Hungary
Αυτοκρατορία των Μουγκάλ	Mughal Empire
Αφίδνες	Afidnes
Αφγανιστάν	Afghanistan
Αφγανός	Afghan
Αφράτι	Afrati
Αφρική	Africa
Αφρικανοασιάτες	Afro-Asian
Αφρικανός	African
Αφροδίτη	Venus
Αχέρων	Acheron
Αχαΐα	Achaea
Αχαιός	Achaeus
Αχαρνές	Acharnes
Αχελώος	Achelous
Αχιλλέας	Achilles
Αχλαδιά	Achladia
Αχμέτ	Ahmet
Αχούρα Μάζντα	Ahura Mazda
Αχρίδα	Ohrid
Αϊδίνιο	Aydin
Αϊνστάιν	Einstein
Αϊντχόφεν	Eindhoven
Αϊτή	Haiti
Αϊτινός	Haitian
Αϊόβα	Iowa
Αύγουστος	August
Αύρα	Avra
Β΄ Παγκόσμιος Πόλεμος	World War II
ΒΛ	wikt
Βάδη	Baden
Βάδη-Βυρτεμβέργη	Baden-Württemberg
Βάι	Vai
Βάνδαλοι	Vandals
Βάνδαλος	Vandal
Βάρη	Vari
Βάρκιζα	Varkiza
Βάσκος	Basque
Βέλγιο	Belgium
Βέλγος	Belgian
Βέλος	Sagitta
Βένιζα	Veniza
Βέντζα	Ventza
Βέντζος	Ventzos
Βέρα	Vera
Βέρβερος	Berber
Βέρνη	Bern
Βέρνικο	Verniko
Βέρνον	Vernon
Βέροια	Berea
Βήσα	Besa
Βίβλος	Bible
Βίγλα	Vigla
Βίκη	Vicky
Βίκινγκ	Viking
Βίκτωρ	Victor
Βίλια	Vilia
Βίλνιους	Vilnius
Βίμποργκ	Viborg
Βίνιανη	Viniani
Βίνιτσα	Vinnytsia
Βίνταρ	Vidar
Βααλμελέκ	Baalmilk
Βαβέλ	Babel
Βαβυλωνία	Babylonia
Βαβυλώνα	Babylon
Βαβυλώνιος	Babylonian
Βαγγέλης	Vangelis
Βαγδάτη	Baghdad
Βαγιαζήτ	Bayezid
Βαγιονιά	Vagionia
Βαγιωνιά	Vagionia
Βαθύ	Vathy
Βακτριανή	Bactria
Βαλάρι	Valari
Βαλέτα	Valletta
Βαλαριό	Valario
Βαλδένσιοι	Waldensians
Βαλεαρίδες	Balearic Islands
Βαλεντίνος	Valentine
Βαλκάνια	Balkans
Βαλλιάνειο	Vallianeio
Βαλλονία	Wallonia
Βαλτική	Baltics
Βαλτική Θάλασσα	Baltic Sea
Βαλτιμόρη	Baltimore
Βανάτο	Banat
Βανέσσα	Vanessa
Βανκούβερ	Vancouver
Βανουάτου	Vanuatu
Βαντεμιέρ	Vendémiaire
Βαντούζ	Vaduz
Βαρβάκειο	Varvakeio
Βαρβάκειος	Varvakeios
Βαρκά	Varka
Βαρκελώνη	Barcelona
Βαρνάβας	Barnaby
Βαρούσι	Varoussi
Βαρσοβία	Warsaw
Βαρυμπόμπη	Varympompi
Βασίλειος	Basil
Βασίλης	Basil
Βασιλέσι	Vasilesi
Βασιλεία	Basel
Βασιλειών Α'	1 Kings
Βασιλειών Β'	2 Kings
Βασιλικά	Vasilika
Βασιλική	Vassiliki
Βασόρα	Basra
Βατή	Bate
Βατικανό	Vatican
Βατοπέδι	Vatopedi
Βατραχοειδή	Batrachoididae
Βατραχονήσι	Vatrachonisi
Βατώντας	Vatondas
Βαυαρία	Bavaria
Βαυαρός	Bavarian
Βαϊκάλη	Baikal
Βαϊμάρη	Weimar
Βεάκειο	Veakeio
Βεατρίκη	Beatrice
Βεγγάζη	Benghazi
Βεγγάλη	Bengal
Βεγγαλέζος	Bengali
Βεζούβιος	Mount Vesuvius
Βελίτσα	Velitsa
Βελανιδιά	Velanidia
Βελιγράδι	Belgrade
Βελισάριος	Belisarius
Βελισδόνι	Velisdoni
Βελλίδειο	Vellideio
Βελλερεφόντης	Bellerophon
Βελλιατζίκι	Velliatziki
Βελοπούλα	Velopoula
Βελοσιράπτορας	Velociraptor
Βελτσίστα	Veltsista
Βενέδικτος	Benedict
Βενεδικτίνη	Benedictine
Βενεζουέλα	Venezuela
Βενεράλια	Veneralia
Βενετία	Venice
Βενετός	Venetian
Βενιαμίν	Benjamin
Βεντόζ	Ventôse
Βερίγγειος Πορθμός	Bering Strait
Βερενίκη	Berenice
Βερμούδες	Bermuda
Βερμόντ	Vermont
Βερνόν	Vernon
Βεροιώτης	Berean
Βερολίνο	Berlin
Βερολινέζος	Berliner
Βερτσέλλι	Vercelli
Βερόνικα	Veronica
Βεσσαραβία	Bessarabia
Βεστφαλία	Westphalia
Βεστφαλός	Westphalian
Βηθεσδά	Bethesda
Βηθλεέμ	Bethlehem
Βηρυτός	Beirut
Βησιγότθος	Visigoth
Βιέννη	Vienna
Βιαράδικα	Viaradika
Βιεννέζος	Viennese
Βιεντιάν	Vientiane
Βιετνάμ	Vietnam
Βιθυνία	Bithynia
Βικιβιβλία	Wikibooks
Βικιείδη	Wikispecies
Βικιεπιστήμιο	Wikiversity
Βικιθήκη	Wikisource
Βικιλεξικό	Wiktionary
Βικιπαίδεια	Wikipedia
Βικιταξίδια	Wikivoyage
Βικιφθέγματα	Wikiquote
Βικτωρία	Victoria
Βιργινία	Virginia
Βιρτζίνια	Virginia
Βιστούλας	Vistula
Βλάσιος	Blaise
Βλάχικα	Vlachika
Βλαντίμιρ	Vladimir
Βλαχία	Wallachia
Βλαχαίικα	Vlacheika
Βλυχάδα	Vlychada
Βλυχό	Vlycho
Βλυχός	Vlychos
Βοημία	Bohemia
Βοιωτία	Boeotia
Βολίνη	Boline
Βολιβία	Bolivia
Βολιβιανός	Bolivian
Βοοειδή	Bovidae
Βορέειος	Voreeios
Βοσνία	Bosnia
Βοσνία Ερζεγοβίνη	Bosnia and Herzegovina
Βοτανικός	Votanikos
Βουδαπέστη	Budapest
Βουκουρέστι	Bucharest
Βουλγάρα	Bulgarian
Βουλγάτα	Vulgate
Βουλγαρία	Bulgaria
Βουλιαγμένη	Vouliagmeni
Βουνό	Vouno
Βουργουνδία	Burgundy
Βουρλά	Urla
Βουρλοπόταμος	Vourlopotamos
Βουτάδες	Butadae
Βουτζάς	Buca
Βοϊβοντίνα	Vojvodina
Βοϊδομάτης	Voidomatis
Βούδας	Buddha
Βούθουλας	Vouthoulas
Βούλα	Voula
Βούλγαρος	Bulgarian
Βούλπη	Voulpi
Βούτομο	Butomus
Βοώτης	Boötes
Βράχμα	Brahma
Βράχος	Vrachos
Βρέλος	Vrelos
Βρέμη	Bremen
Βραβάντη	Brabant
Βραγγιανά	Vrangiana
Βραζιλία	Brazil
Βρανάς	Vranas
Βρασίδας	Brasidas
Βρασταμίτες	Vrastamites
Βραυρώνα	Brauron
Βραχιόσαυρος	Brachiosaurus
Βραχνός	Vrachnos
Βραχώρι	Vrachori
Βρεκαίικα	Vrekaiika
Βρετάνη	Brittany
Βρετανία	Britain
Βρετανική Κολομβία	British Columbia
Βρετανική Ονδούρα	British Honduras
Βρετανός	British
Βρετόνος	Breton
Βριλήσσια	Vrilissia
Βροντόσαυρος	Brontosaurus
Βρούτιος	Bruce
Βρυξέλλες	Brussels
Βρυσούλα	Vryssoula
Βρωμοπούσι	Vromopousi
Βρύσες	Vrysses
Βυζάντιο	Byzantium
Βωμός	Ara
Βόθωνας	Vothonas
Βόλγας	Volga
Βόλος	Volos
Βόλφγκανγκ	Wolfgang
Βόρας	Voras
Βόρεια Αμερική	North America
Βόρεια Θάλασσα	North Sea
Βόρεια Ιρλανδία	Northern Ireland
Βόρεια Καρολίνα	North Carolina
Βόρεια Κορέα	North Korea
Βόρεια Μακεδονία	North Macedonia
Βόρεια Ντακότα	North Dakota
Βόρεια Ρηνανία-Βεστφαλία	North Rhine-Westphalia
Βόρειος Πόλος	North Pole
Βόσνιος	Bosnian
Βόσπορος	Bosphorus
Βύβλος	Byblos
Βύδι	Vidi
Βύρων	Byron
Βύρωνας	Vyronas
ΓΚΠΔ	GDPR
Γάβρινα	Gavrina
Γάζα	Gaza
Γάλλος	Frenchman
Γάνδη	Ghent
Γάσπαρης	Jasper
Γένεση	Genesis
Γέρακας	Gerakas
Γήινος	earthling
Γαία	Gaia
Γαβριήλ	Gabriel
Γαβρολισιάδα	Gavrolisiada
Γαλάτες	Galatians
Γαλάτσι	Galatsi
Γαλήνη	Galini
Γαλανιανά	Galaniana
Γαλαξίας	Milky Way
Γαλαξίδι	Galaxidi
Γαλατάς	Galata
Γαλικία	Galicia
Γαλλία	France
Γαλλίδα	Frenchwoman
Γαλλική Γουϊάνα	French Guiana
Γαλλική Πολυνησία	French Polynesia
Γαλλικός	Gallikos
Γαργαρέττα	Gargaretta
Γαργηττός	Gargittos
Γαστερόποδα	gastropod
Γαϊδουρονήσι	Gaidouronisi
Γεννάδειος	Gennadeios
Γενοβέφα	Genevieve
Γεράνεια	Geraneia
Γερακάρι	Gerakari
Γερακάριον	Gerakarion
Γεραλί	Gerali
Γερανός	Grus
Γερμανία	Germany
Γερμανός	German
Γερολιμένας	Gerolimenas
Γεροσακκούλι	Gerosakkouli
Γεσθημανή	Gethsemane
Γεφυραίοι	Gephyraei
Γεωργία	Georgia
Γεώργιος	George
Γη	Earth
Γηροκομείο	Girokomeio
Γιάννης	John
Γιαννιτσά	Giannitsa
Γιαπωνέζα	Japanese
Γιασεμής	Yiasemis
Γιαχβέ	Yahweh
Γιαχβιστής	Jahwist
Γιβραλτάρ	Gibraltar
Γιγανοτόσαυρος	Giganotosaurus
Γιερεβάν	Yerevan
Γιεχωβά	Yehowah
Γιοκοχάμα	Yokohama
Γιουγκοσλαβία	Yugoslavia
Γιουκατάν	Yucatán
Γιουτλάνδη	Jutland
Γιούρι	Yuri
Γιούτα	Utah
Γιώργος	George
Γκάμπια	Gambia
Γκάνα	Ghana
Γκίζα	Giza
Γκαζοχώρι	Gazochori
Γκαμπόν	Gabon
Γκιλγκαμές	Gilgamesh
Γκιώνα	Giona
Γκντανσκ	Gdańsk
Γκονέα	Gkonea
Γκοντάρ	Godard
Γκοριτσά	Goritsa
Γκορυτσά	Gorytsa
Γκουανταλκανάλ	Guadalcanal
Γκούλντα	Gulda
Γκούρα	Goura
Γκούρα	Goura
Γκράβα	Grava
Γκρατς	Graz
Γκρενόμπλ	Grenoble
Γκότσε Ντέλτσεφ	Gotse Delchev
Γκύζη	Gkyzi
Γλούνιτσα	Glounitsa
Γλυφάδα	Glyfada
Γλυφείον	Caelum
Γλύπτης	Sculptor
Γνώμων	Norma
Γοδεφρείδος	Godfrey
Γολγοθάς	Golgotha
Γολιάθ	Goliath
Γοργώ	Gorgon
Γουαδελούπη	Guadeloupe
Γουατεμάλα	Guatemala
Γουδή	Goudi
Γουδιάνικα	Goudianika
Γουιάνα	Guyana
Γουινέα	Guinea
Γουινέα Μπισσάου	Guinea-Bissau
Γουλαίικα	Goulaiika
Γουλιέλμος	William
Γραμματικό	Grammatiko
Γρανίτσα	Granitsa
Γρεβενά	Grevena
Γρενάδα	Grenada
Γρηγόριος	Gregory
Γροιλανδία	Greenland
Γυρίσματα	Gyrismata
Γόρδιο	Gordium
Γότθος	Goth
ΔΑΑ	HDI
ΔΕΘ	TIF
ΔΕΚ	ATM
ΔΕΧ	ASM
ΔΙΡΕΚ	ATFM
ΔΙΡΧΕΚ	ATFCM
ΔΚΟ	INN
ΔΛΠ	IAS
ΔΝΤ	IMF
ΔΟΕ	IOC
ΔΠΑΒ	ISBN
ΔΠΧΑ	IFRS
