άρχης	arca
Ευγένιος	Eugenio
Ευγενία	Eugenia
Ευλαλία	Eulalia
Ευπυρίδες	Eupiride
Ευρασία	Eurasia
Ευριπίδης	Euripide
Ευρυδίκη	Euridice
Ευρωζώνη	zona euro
Ευρωομάδα	eurogruppo
Ευρωπαίος	europeo
Ευρωπαϊκή Ένωση	Unione Europea
Ευρωπαϊκή Επιτροπή	Commissione europea
Ευρώπη	Europa
Ευσέβιος	Eusebio
Ευστάθιος	Eustachio
Ευτύχιος	Eutichio
Ευφράτης	Eufrate
Εφεσίους	Efesini
Εφιάλτης	Efialte
Εφραίμ	Efraimo
Εωσφόρος	Lucifero
Εύα	Eva
Εύβοια	Eubea
Εύμηλος	Eumelo
Εύφημος	Eufemo
Ζάγκρεμπ	Zagabria
Ζάκυνθος	Zante
Ζάλογγο	Zalongo
Ζάμπια	Zambia
Ζάρκο	Žarko
Ζήσης	Zísis
Ζαΐρα	Zaira
Ζακχαίος	Zaccheo
Ζαχαρίας	Zaccaria
Ζεβεδαίος	Zebedeo
Ζιμπάμπουε	Zimbabwe
Ζλάτα	Zlata
Ζλάταν	Zlatan
Ζλάτκο	Zlatko
Ζουλού	zulù
Ζυγός	Bilancia
Ζυρίχη	Zurigo
Ζωγράφου	Zografo
Ζωροάστρης	Zoroastro
Ζόλταν	Zoltán
Η/Υ	PC
ΗΒ	RU
ΗΠΑ	USA
Ηγεμόνη	Egemone
Ηλέκτρα	Elettra
Ηλίας	Elia
Ηνίοχος	Cocchiere
Ηνωμένα Αραβικά Εμιράτα	Emirati Arabi Uniti
Ηνωμένες Πολιτείες της Αμερικής	Stati Uniti d’America
Ηνωμένο Βασίλειο	Regno Unito
Ηνωμένο Βασίλειο της Μεγάλης Βρετανίας και της Βορείου Ιρλανδίας	Regno Unito di Gran Bretagna e Irlanda del Nord
Ηπειρώτης	epirota
Ηράκλειο	Candia
Ηρακλής	Ercole
Ηριδανός	Eridano
Ηρόδοτος	Erodoto
Ησίοδος	Esiodo
Ησαΐας	Isaia
Ηωήλ	Gioele
Ηώς	Eos
Θάλασσα Μπάρεντς	mare di Barents
Θέτις	Teti
Θήβα	Tebe
Θαβώρ	Tabor
Θεέ μου	Dio mio
Θεοβάλδος	Teobaldo
Θεοδόσιος	Teodosio
Θεοδώρα	Teodora
Θεοδώριχος	Teodorico
Θεοτόκος	Madre di Dio
Θεού θέλοντος	a Dio piacendo
Θεσσαλία	Tessaglia
Θεσσαλονίκη	Salonicco
Θεόδωρος	Teodoro
Θεόκριτος	Teocrito
Θεός	Dio
Θεόφιλος	Teofilo
Θηρεσία	Teresa
Θησέας	Teseo
Θιβέτ	Tibet
Θορ	Thor
Θορικός	Torico
Θουριγγία	Turingia
Θράκη	Tracia
Θρήνοι	Lamentazioni
Θρία	Tria
Θριάσιο Πεδίο	pianura Triasia
Θυμαιτάδες	Timetade
Θωμάς	Tommaso
Ιάκωβος	Giacomo
Ιάμβλιχος	Iamblico
Ιάπωνας	giapponese
Ιακώβ	Giacobbe
Ιανουάριος	gennaio
Ιανός	Giano
Ιαπωνία	Giappone
Ιβάν	Ivano
Ιβοριανή	ivoriana
Ιγνάτιος	Ignazio
Ιεζεκιήλ	Ezechiele
Ιεράπολη	Hierapolis
Ιερεμίας	Geremia
Ιερουσαλήμ	Gerusalemme
Ιερώνυμος	Girolamo
Ιησούς	Gesù
Ιησούς Χριστός	Gesù Cristo
Ικάριο	Icario
Ιλιάδα	Iliade
Ιμαλάια	Himalaja
Ινδία	India
Ινδιάνος	indiano
Ινδονησία	Indonesia
Ινδός	indiano
Ιντιάνα	Indiana
Ιξίων	Issione
Ιοκάστη	Giocasta
Ιορδάνης	Giordano
Ιορδανία	Giordania
Ιουδαίος	ebreo
Ιουστινιανός	Giustiniano
Ιούδας	Giuda
Ιούλιος	luglio
Ιούνιος	giugno
Ιππάριον	Cavallino
Ιπποκράτης	Ippocrate
Ιράκ	Iraq
Ιράν	Iran
Ιρανός	iraniano
Ιρλανδία	Irlanda
Ισίδωρος	Isidoro
Ισημερινή Γουινέα	Guinea Equatoriale
Ισημερινός	Ecuador
Ισλάμ	islam
Ισλανδία	Islanda
Ισπανία	Spagna
Ισπανίδα	spagnola
Ισπανός	spagnolo
Ισραήλ	Israele
Ισραηλινός	israeliano
Ιστία	Vele
Ισφαχάν	Esfahan
Ιταλία	Italia
Ιταλίδα	italiana
Ιταλός	italiano
Ιφιστιάδες	Ifistiade
Ιχθύες	Pesci
Ιχθύς Ιπτάμενος	Pesce Volante
Ιχθύς Νότιος	Pesce Australe
Ιωάννα	Giovanna
Ιωάννης	Giovanni
Ιωήλ	Gioele
Ιωακείμ	Gioacchino
Ιωνάθαν	Gionathan
Ιωνάς	Giona
Ιωσήφ	Giuseppe
Ιόνιο πέλαγος	Mar Ionio
Ιώ	Io
Ιώβ	Giobbe
ΚΚΣΕ	PCUS
ΚΜΕ	processore
Κάιρο	Il Cairo
Κάμινος	Fornace
Κάννες	Cannes
Κάνσας	Kansas
Κάρολος	Carlo
Κάτω Σαξονία	Bassa Sassonia
Κάτω Χώρες	Paesi Bassi
Κένταυρος	Centauro
Κένυα	Kenia
Κέρβερος	Cerbero
Κέρκυρα	Corfù
Κήτος	Balena
Κίεβο	Kijev
Κίνα	Cina
Καβυλία	Cabilia
Καβύλος	cabilla
Καζακστάν	Kazakistan
Καζαμπλάνκα	Casablanca
Καικιλία	Cecilia
Καινή Διαθήκη	Nuovo Testamento
Καισάρεια	Cesarea
Καισαριανή	Kesariani
Καλάβρυτα	Kalavryta
Καλαί	Calais
Καλαβρία	Calabria
Καλιφόρνια	California
Καλλίπολη	Gallipoli
Καλλιόπη	Calliope
Καμερούν	Camerun
Καμηλοπάρδαλις	Giraffa
Καμπανία	Campania
Καμπούλ	Kabul
Καμπότζη	Cambogia
Καμόρα	Camorra
Καναδάς	Canada
Καπιτώλιο	Campidoglio
Καρακάλλας	Caracalla
Καρκίνος	Cancro
Καρολίνα	Carolina
Καρπάθια	Carpazi
Καρχηδόνα	Cartagine
Κασπία	Caspio
Κασσάνδρα	Cassandra
Κασσιανή	Kassiane
Κασσιόπη	Cassiopea
Κατάνια	Catania
Κατάρ	Qatar
Καταλονία	Catalogna
Κατμαντού	Katmandu
Καύκασος	Caucaso
Κειριάδες	Ciriade
Κεμπέκ	Quebec
Κεντάκι	Kentucky
Κεντρική Αμερική	America centrale
Κεντροαφρικανική Δημοκρατία	Repubblica Centrafricana
Κερατσίνι	Keratsini
Κερύνεια	Kyrenia
Κεφαλή	Cefale
Κεφαλονιά	Cefalonia
Κεϋλάνη	Ceylon
Κηπουρός	Giardinaro
Κηφεύς	Cefeo
Κηφισιά	Kifisià
Κηφισός	Cefiso
Κικέρων	Cicerone
Κινέζος	cinese
Κινσάσα	Kinshasa
Κιργιζία	Chirghizistan
Κιότο	Kyoto
Κλαύδιος	Claudio
Κλεοπάτρα	Cleopatra
Κοίλη	Cele
Κοζάκος	cosacco
Κοινωνία των Εθνών	Società delle Nazioni
Κοκκινοσκουφίτσα	Cappuccetto Rosso
Κολλυτός	Collito
Κολομβία	Colombia
Κολοράντο	Colorado
Κολοσσαείς	Colossesi
Κολωνία	Colonia
Κολωνός	Colono
Κομόρες	Comore
Κονέκτικατ	Connecticut
Κονγκό	Congo
Κονθύλη	Contile
Κοπεγχάγη	Copenaghen
Κοράνιο	Corano
Κορσική	Corsica
Κοσμάς	Cosma
Κουάλα Λουμπούρ	Kuala Lumpur
Κουβέιτ	Kuwait
Κουβεϊτιανός	kuwaitiano
Κουρασάο	Curaçao
Κοϊντίνος	Quintino
Κούβα	Cuba
Κρήτη	Creta
Κρακοβία	Cracovia
Κρατήρ	Cratere
Κρεμλίνο	Cremlino
Κριμαία	Crimea
Κριτές	Giudici
Κριός	Ariete
Κροάτης	croato
Κροάτισσα	croata
Κροίσος	Creso
Κροατία	Croazia
Κρωπίδες	Cropide
Κρόνος	Crono
Κυδαθήναιο	Cidateneo
Κυδαντίδες	Cidantide
Κυθέρεια	Citerea
Κυκλάδες	Cicladi
Κυριάκος	Ciriaco
Κυριακή	domenica
Κυριακή προσευχή	Padre nostro
Κυριακή των Βαΐων	Domenica delle Palme
Κωνσταντίνος	Costantino
Κωνσταντινούπολη	Costantinopoli
Κως	Coo
Κόιντος	Quinto
Κόμη Βερενίκης	Chioma di Berenice
Κόπρος	Copro
Κόρινθος	Corinto
Κόστα Ρίκα	Costa Rica
Κύθηρα	Cerigo
Κύκνος	Cigno
Κύνες Θηρευτικοί	Cani da Caccia
Κύπριος	cipriota
Κύπρος	Cipro
Κύριε ελέησον	Signore, pietà
Κύριλλος	Cirillo
Κύριος	Signore
Κύρος	Ciro
ΛΟΑΤ	LGBT
Λάζαρος	Lazzaro
Λάιος	Laio
Λάνσελοτ	Lancillotto
Λάος	Laos
Λέσβος	Lesbo
Λέτα	Letta
Λέων	Leone
Λέων Μικρός	Leone Minore
Λίβανος	Libano
Λίβυος	libico
Λίγηρας	Loira
Λίμα	Lima
Λίχτενσταϊν	Liechtenstein
Λα Σπέτσια	La Spezia
Λαγκαδάς	Langagdas
Λαγωός	Lepre
Λακεδαιμόνιος	Lacedemone
Λακιάδες	Laciade
Λαμπτρές	Lamptra
Λαπωνία	Lapponia
Λαυρέντιος	Lorenzo
Λαϊκή Δημοκρατία της Κίνας	Repubblica Popolare Cinese
Λαϊκή Δημοκρατία του Κονγκό	Repubblica Democratica del Congo
Λβιβ	Leopoli
Λεία	Lia
Λείθας	Leita
Λειψία	Lipsia
Λεμεσός	Limassol
Λετονία	Lettonia
Λετονός	lettone
Λευκάδα	Leuca
Λευκορωσία	Bielorussia
Λευκορωσίδα	bielorussa
Λευκορώσος	bielorusso
Λευκωσία	Nicosia
Λευϊτικό	Levitico
Λητώ	Latona
Λιβερία	Liberia
Λιβύη	Libia
Λιθουανία	Lituania
Λιθουανός	lituano
Λιμνούπολη	Paperopoli
Λιμόζ	Limoges
Λιντς	Linz
Λιουμπλιάνα	Lubiana
Λισαβόνα	Lisbona
Λοκρίδα	Locride
Λονδίνο	Londra
Λονδρέζα	londinese
Λονδρέζος	londinese
Λουίζα	Luisa
Λουγκάνσκ	Lugansk
Λουιζιάνα	Louisiana
Λουκάς	Luca
Λουκία	Lucia
Λουξεμβούργο	Lussemburgo
Λουχάνσκ	Luhans'k
Λυγξ	Lince
Λυδία	Lidia
Λυκαβηττός	Licabetto
Λυκόβρυση	Likovrissi
Λυτρωτής	Redentore
Λυχνάφτια	Lychnaftia
Λυών	Lione
Λόκι	Loki
Λύκος	Lupo
Λύρα	Lira
Μάγχη	La Manica
Μάιος	maggio
Μάλι	Mali
Μάλτα	Malta
Μάνη	Maina
Μάξιμος	Maxiums
Μάρκος	Marco
Μάρτιος	marzo
Μάρτυρας του Ιεχωβά	Testimone di Geova
Μέγαρα	メガラ
Μέγας Κύων	Cane Maggiore
Μέδουσα	Medusa
Μέιν	Maine
Μέλισσα	Melissa
Μέριλαντ	Maryland
Μέση Ανατολή	Medio Oriente
Μήδεια	Medea
Μίσιγκαν	Michigan
Μαγιοράνα	Majorana
Μαγιότ	Mayotte
Μαδαγασκάρη	Madagascar
Μαδρίτη	Madrid
Μαδριλένα	madrilena
Μαδριλένος	madrileno
Μαθουσάλας	Matusalemme
Μακεδονία	Macedonia
Μακρινίτσα	Makrinitsa
Μαλάουι	Malawi
Μαλαισία	Malaysia
Μαλαχίας	Malachia
