Aachen	Aquisgrana
Beuchhaus	lavanderia
Bevölkerung	populazione
Bewegung	movimento
Beweis	argomento
Bewohner	abitante
Bewusstsein	consapevolezza
Bezahlung	pagamento
Bezeichnung	significato
Beziehung	relazione
Bezirk	circondario
Bibel	Bibbia
Bibliothek	biblioteca
Bibliothekar	bibliotecario
Biene	ape
Bienenkorb	alveare
Bienenstock	alveare
Bienenzucht	apicoltura
Bier	birra
Bilanz	bilancio
Bild	illustrazione
Bildhauerwerk	scultura
Bildsäule	statua
Bildwerk	scultura
Billard	biliardo
Billett	biglietto
Birke	betulla
Birma	Birmania
Birnbaum	pero
Birne	ampolla
Bischof	vescovo
Biskuit	biscotto
Bittschrift	petizione
Blase	vescica
Blatt	foglia
Blaubeere	baccadimirtillo
Blech	latta
Blei	piombo
Bleistift	lapis
Blinder	cieco
Blindheit	cecita
Blitz	baleno
Block	blocco
Blume	fiore
Blumenkohl	cavolfiore
Blumentopf	vasodafiori
Bluse	blusa
Blut	sangue
Blutarmut	anemia
Blödigkeit	timore
Boden	fondo
Bogen	arco
Bohne	fava
Bohrer	succiello
Bollwerk	baluardo
Bombe	bomba
Bon	banconota
Bonbon	confetto
Boot	barca
Bordbrett	asse
Born	fonte
Botschafter	ambasciatore
Brandbombe	bombaincendaria
Brasilianer	brasiliano
Brasilien	Brasile
Bratpfanne	casseruola
Brauch	costume
Brauer	birraio
Brauerei	birreria
Braus	rumore
Brause	doccia
Braut	fidanzata
Breite	larghezza
Bremse	freno
Brennnessel	ortica
Brennpunkt	foco
Brennspiritus	alcooldenaturato
Bretagne	Bretagna
Brett	asse
Brief	lettera
Briefkasten	bucadellelettere
Briefmarke	bollo
Briefträger	portalettere
Briefumschlag	busta
Brille	occhiali
Britannien	GranBretagna
Bronze	bronzo
Brot	pane
Bruder	fratello
Brunnen	fontana
Brust	petto
Brut	covata
Brötchen	panino
Brücke	ponte
Brüderlichkeit	fraternità
Brühe	salsa
Buch	libro
Buche	faggio
Buchhalter	contabile
Buchhandlung	libreria
Buchhändler	librario
Buchrevisor	peritocontabile
Bucht	baia
Bude	granaio
Bug	prua
Bund	banda
Burg	castello
Burgund	Borgogna
Bursche	servire
Bus	autobus
Busen	petto
Butique	negozio
Butter	burro
Buße	pentimento
Bäcker	fornaio
Bäckerei	panetteria
Bär	orso
Bücherschrank	libreria
Büchse	scatola
Büfett	bar
Büffel	bufalo
Bügel	arco
Bügeleisen	ferrodastiro
Bündel	pacco
Bündnis	banda
Bürde	carico
Bürgermeister	sindaco
Büro	ufficio
Bürste	spazzola
Bürzel	coda
Büste	busto
Cent	centesimo
Chauffeur	autista
Chaussee	cammino
Chef	capo
Chemie	chimica
Chile	Cile
China	Cina
Chinese	cinese
Chirurg	chirurgo
Chlor	cloro
Christus	Cristo
Coupon	cedola
Coupé	scompartimento
Cousin	cugino
Crayon	lapis
Cäsar	Cesare
Dach	tetto
Dachs	tasso
Dachziegel	tegola
Daktylus	dattero
Dame	signora
Dank	grazie
Darm	intestino
Dasein	esistenza
Dattel	dattero
Datum	data
Dauer	durata
Daumen	pollice
Daus	asso
Debit	smercio
Deck	coperta
Decke	coperta
Deckel	coperta
Degen	spada
Dekret	decreto
Delegierter	delegato
Delphin	delfino
Denker	filosofo
Denkmal	monumento
Despot	despota
Dessert	dessert
Detachement	brigata
Deutscher	tedesco
Deutschland	Germania
Dezember	dicembre
Dezimeter	decimetro
Diadem	diadema
Dialekt	dialetto
Diamant	diamante
Dichter	poeta
Dichtkunst	poesia
Dichtung	poesia
Dieb	ladro
Diebstahl	furto
Diele	pavimento
Dielung	pavimento
Diener	servire
Dienst	funzione
Dienstag	martedì
Dienstmann	facchino
Dimension	dimensione
Diner	colazione
Ding	affare
Diplom	diploma
Diplomat	diplomatico
Direktor	amministratoredelegato
Dirne	piccola
Distrikt	circondario
Diät	dieta
Doktor	dottore
Dokument	documento
Dolch	pugnale
Dom	catedrale
Donau	Danubio
Donner	tuono
Donnerstag	giovedì
Dorf	villaggio
Dorn	spina
Dorsch	merluzzo
Dosis	dose
Dotation	dote
Drache	drago
Draht	filo
Drang	pressione
Dreck	fango
Dreieck	triangolo
Dreikönigsfest	Befana
Dreirad	triciclo
Dreschtenne	aia
Drohung	minaccia
Druck	pressione
Drücken	pressione
Dudelsack	cornamusa
Duett	duetto
Duft	aroma
Dunkelheit	oscurità
Durst	sete
Dusche	doccia
Dynamit	dinamite
Däne	danese
Dänemark	Danimarca
Düne	duna
Ebbe	bassamarea
Ebene	piano
Eber	cinghiale
Ecke	angolo
Edikt	ordine
Egge	erpice
Ehe	matrimonio
Ehemann	marito
Ehepaar	coniugi
Ehre	onore
Ehrfurcht	rispetto
Ehrgeiz	ambizione
Ei	uovo
Eiche	quercia
Eichel	ghianda
Eichhorn	scoiattolo
Eichhörnchen	scoiattolo
Eid	giuramento
Eidam	genero
Eifer	ardore
Eifersucht	gelosia
Eigenschaftswort	aggettivo
Eigentum	possesso
Eigentümer	proprietario
Eiland	isola
Eile	andatura
Eilzug	trenorapido
Eimer	secchia
Einbildungskraft	fantasia
Eingang	entrata
Eingeständnis	confessione
Einheit	unità
Einigkeit	accordo
Einklang	accordo
Einrichtung	accomodamento
Einspruch	protesta
Einspruch erheben	protestare
Eintracht	accordo
Eintreffen	arrivo
Einverständnis	accomodamento
Einwohner	abitante
Einöde	deserto
Eis	ghiaccio
Eisbär	orsobianco
Eisen	ferro
Eisenbahn	ferrovia
Eisenbahnzug	treno
Eiterbeule	ascesso
Ekel	avversione
Elefant	elefante
Elektrizität	elettricità
Element	elemento
Elend	miseria
Ellbogen	gomito
Elsass‐Lothringen	Alsazia‐Lorena
Elsass	Alsace
Elster	gazza
Elsässer	alsaziano
Eltern	genitori
Empfehlung	raccomandazione
Empfänger	destinario
Ende	fine
Endivie	indivia
Engel	angelo
England	Inghilterra
Engländer	inglese
Enkel	nipote
Enkelin	nipote
Ente	anitra
Entfernung	distanza
Enthusiasmus	entusiasmo
Entschluss	decisione
Entwurf	progetto
Epigone	discendente
Epik	epopea
Epopöe	epopea
Erbauung	costruzione
Erbse	pisello
Erdapfel	patata
Erdbeben	terremoto
Erdbeere	fragola
Erdbeschreibung	geografia
Erdboden	terra
Erde	terra
Erdgeschoss	pianterreno
Erdkunde	geografia
Erdpech	asfalto
Erdschwamm	fungo
Erfolg	risultato
Erfolg haben	riuscire
Ergebnis	risultato
Erinnerung	memoria
Erkältung	raffreddore
Erle	ontano
Erläuterung	spiegazione
Ermahnung	ammonimento
Ernährung	alimento
Errungenschaft	guadagno
Ertrag	beneficio
Erz	bronzo
Erzbischof	arcivescovo
Erzeugung	prodotto
Esche	frassino
Esel	asino
Essig	aceto
Etage	piano
Etagenwohnung	appartamento
Etikette	etichetta
Etsch	Adige
Eule	gufo
Europa	Europa
Europäer	europeo
Europäische Union	UnioneEuropea
Evangelium	vangelo
Examen	esame
Exempel	esempio
Exerzitium	esercizio
Exil	esilio
Existenz	esistenza
Export	esportazione
Fabrik	fabbrica
Fackel	fiaccola
Faden	filo
Fahne	bandiera
Fahrer	autista
Fahrgast	passagiere
Fahrkarte	biglietto
Fahrrad	bicicletta
Fahrstuhl	ascensore
Faktura	fattura
Fall	caso
Fallissement	fallimento
Fallit	fallimento
Falter	farfalla
Familie	famiglia
Familienname	cognome
Farbe	colore
Fasan	fagiano
Faseole	fagiolo
Faust	pugno
Fauteuil	poltrona
Fass	barile
Februar	febbraio
Feder	molla
Fee	fata
Fehlen	mancanza
Fehler	errore
Feier	festa
Feige	fico
Feigenbaum	fico
Feile	lima
Feld	campo
Fell	pelle
Felleisen	valigia
Fels	roccia
Felsen	roccia
Fenster	finestra
Ferse	tallone
Fest	festa
Fett	grasso
Feuer	ardore
Fichte	abete
Fieber	febbre
Figur	figura
Film	film
Finger	dito
First	cima
Fisch	pesce
Fittich	ala
Flagge	bandiera
Flamme	fiamma
Flanell	flanella
Flanke	fianco
Flasche	bottiglia
Fleck	luogo
Fleisch	carne
Fleischer	macellaio
Fleiß	applicazione
Fliege	mosca
Floh	pulce
Flosse	pinna
Fluch	anatema
Flucht	fuga
Flugmaschine	aereo
Flugplatz	aeroporto
Flugzeug	aereo
Flur	corridoio
Flut	altamarea
Fluss	fiume
Flusspferd	ippopotamo
Flöte	flauto
Flügel	ala
Fokus	foco
Folio	pagina
Fontäne	fontana
Forelle	trota
Format	formato
Formel	formula
Forst	bosco
Fortschritt	progresso
Foyer	passeggiata
Frage	domanda
Fraktion	partito
Frange	frangia
Frankatur	affrancatura
Frankreich	Francia
Franse	frangia
Franzose	francese
Frau	moglie
Fregatte	fregata
Freiherr	barone
Freistaat	repubblica
Freitag	venerdì
Fremdenheim	pensione
Freude	piacere
Freund	amico
Freundin	amica
Freundschaft	amicizia
Frevel	delitto
Friede	pace
Friedhof	camposanto
Friseur	parrucchiere
Frisör	parrucchiere
Frosch	rana
Frost	gelo
Frucht	frutta
Frühe	mattina
Frühjahr	primavera
Frühling	primavera
Frühstück	colazione
Fuchs	volpe
Fuhre	carico
Fundament	fondamento
Funke	accendino
Funktion	funzione
Furcht	paura
Futter	alimento
Futur	avvenire
Futurum	avvenire
Fußboden	pavimento
Fußsohle	pianta
Fußweg	sentiero
Föhre	pino
Fühler	antenna
Fühlhorn	antenna
Führer	capotreno
Füller	pennastilografica
Füllfeder	pennastilografica
Gabe	dono
Gabel	forchetta
Gage	paga
Galeere	galera
Galerie	galleria
Galgen	forca
Galle	bile
Gang	marcia
Gans	oca
Ganze	tutto
Garage	autorimessa
Garantie	garanzia
Garderobe	guardaroba
Gardine	cortina
Garn	filo
Garnison	guarnigione
Garten	giardino
Gas	gas
Gasse	vicolo
Gast	ospite
Gatte	marito
Gattung	genere
Gau	circondario
Gaul	cavallo
Gaumen	palato
Gaunersprache	gergo
Gebahren	condotta
Gebein	scheletro
Gebet	preghiera
Gebiet	teritorio
Gebirge	montagne
Gebiss	dentatura
Gebot	ordine
Gebrauch	costume
Geburt	nascita
Geburtstag	compleanno
Gebärde	gesto
Gebäude	edificio
Gebühr	dovere
Gebüsch	arbusto
Gedanke	idea
Gedicht	poema
Geduld	pazienza
Gedächtnis	memoria
Gefahr	pericolo
Gefilde	campagna
Gefängnis	prigione
Gefäß	tenaglie
Gegensatz	contrasto
Gegenstand	cosa
Gehalt	paga
Geheimnis	segreto
Gehilfe	servire
Gehirn	cervello
Gehör	udito
Geist	spirito
Geistes‐	spirituale
Geistliche	ecclesiastico
Geiß	capra
Gelass	luogo
Geld	denaro
Geldstrafe	contravvenzione
Geldstück	moneta
Gelingen	successo
Geltung	valore
Gelächter	risa
Gelände	teritorio
Geländer	parapetto
Gelöbnis	promessa
Gemach	appartamento
Gemahl	marito
Gemahlin	moglie
Gemisch	mistura
Gemälde	pittura
Gemüse	legume
Gemüt	cuore
Generation	generazione
Genf	Ginevra
Genius	spirito
Genosse	collegio
Genua	Genova
Genuss	piacere
Geographie	geografia
Gepflogenheit	costume
Geplauder	pettegolezzo
Gepäck	bagaglio
Gepäckträger	facchino
Gepäckwagen	bagagliaio
Gericht	giudizio
Gerippe	scheletro
Gerste	orzo
Gesamtheit	tutto
Gesandter	ambasciatore
Gesandtschaft	ambasciata
Gesang	canzone
Geschenk	dono
Geschichte	storia
Geschicklichkeit	abilità
Geschlecht	generazione
Geschmack	gusto
Geschoss	piano
Geschwindigkeit	velocità
Geschwulst	ascesso
Geschäft	negozio
Geschäftsbesorger	agente
Geschäftszimmer	ufficio
Gesellschaft	compagnia
Gesicht	aria
Gesichtsfarbe	carnagione
Gespons	marito
Gespräch	conversazione
Gestalt	figura
Geste	gesto
Geständnis	confessione
Gesundheit	salute
Gesäß	sedere
Getränk	bevanda
Gevatter	compare
Gewalt	autorità
Gewaltherrscher	despota
Gewand	abito
Gewandtheit	abilità
Gewehr	fucile
Gewerbe	mestiere
Gewicht	peso
Gewinn	beneficio
Gewohnheit	costume
Gewähr	garanzia
Gezier	affettazione
Gift	veleno
Gipfel	cima
Giraffe	giraffa
Gischt	schiuma
Glas	bicchiere
Gleichgewicht	equilibrio
Gleichheit	eguaglianza
Glied	membro
Globus	globo
Glocke	campana
Glut	ardore
Gläubiger	creditore
Glückwünsch	aŭguro
Gold	oro
Gott	Dio
Gottesacker	camposanto
Gottesdienst	uffiziodivino
Grad	grado
Gras	erba
Grashüpfer	cavalletta
Grat	spina
Grenze	confine
Gräuel	orrore
Grieche	greco
Griechenland	Grecia
Griff	tenaglie
Großeltern	nonni
Großenkel	pronipote
Großherzog	arciduca
Großmutter	nonna
Großneffe	pronipote
Großvater	nonno
Grund	fondo
Grundlage	fondamento
Grundriss	progetto
Grundsatz	assioma
Gruppe	gruppo
Gruß	accoglienza
Gräte	lisca
Grönland	Groenlandia
Größe	grandezza
Grün	verde
Gummi	gomma
Gurgel	gola
Gurt	cintura
Gut	fattoria
Gutachten	giudizio
Gähnen	sbadiglio
Gärtner	giardiniere
Götze	idolo
Gürtel	cintura
Haag	L'Aia
Haar	capelli
Haare	capelli
Habitus	esteriore
Hacke	ascia
Hafen	porto
Hafer	avena
Haft	arresto
Hagel	grandine
Hahn	gallo
Hai	pescecane
Haifisch	pescecane
Halbinsel	penisola
Halde	collina
Hall	suono
Hals	collo
Halsbinde	cravatta
Haltestelle	fermata
Halt machen	fermarsi
Hamburg	Amburgo
Hammel	pecora
Hammelfleisch	carnedimontone
Hammer	martello
Hand	mano
Handel	commercio
Handfläche	palma
Handgelenk	polso
Handhabe	tenaglie
Handkoffer	valigia
Handlung	azione
Handreichung	aiuto
Handtuch	asciugamano
Handwerk	mestiere
Hanke	anca
Harmonie	accordo
Hasard	caso
Hase	lepre
Haselnuss	nocciola
Hast	andatura
Haube	cappotta
Hauch	alito
Haufen	folla
Haupt	capo
Hauptmann	capitano
Haus	casa
Hausdiener	domestico
Hausflur	corridoio
Hausgerät	mobili
Haut	pelle
Hass	odio
Heber	cricco
Hecht	luccio
Heck	poppa
Heer	esercito
Heft	fascicolo
Hehl	segreto
Heidelbeere	baccadimirtillo
Heim	casa
Heimat	patria
Heldengedicht	epopea
Henker	boia
Henne	gallina
Herbst	autunno
Hering	aringa
Herkunft	discendenza
Herr	capo
Herrin	signora
Herz	cuore
Heu	fieno
Heuschrecke	cavalletta
Hieb	colpo
Hilfsoffizier	aiutante
Himbeere	lampone
Himmel	cielo
Hinsicht	relazione
Hinterindien	Indocina
Hippe	falce
Hirn	cervello
Historie	storia
Hobel	pialla
Hochschule	università
Hof	cortile
Hoffnung	speranza
Hofraum	cortile
Holland	Olanda
Holländer	olandese
Holz	legno
Honig	miele
Horizont	orizzonte
Hose	calzoni
Hospital	ospedale
Hospiz	ospedale
Hotel	albergo
Huf	zoccolo
Huhn	pollo
Hummer	aragosta
Hund	cane
Hupe	tromba
Hälfte	metà
Händler	commerciante
Häscher	guardia
Häuptling	capo
Höhe	altitudine
Hüfte	anca
Hügel	collina
Hühnerauge	callo
Hütte	granaio
Idee	idea
Idol	idolo
Igel	riccio
Ihr	tuo
Inbrunst	ardore
Indianer	indiano
Indien	India
Infektion	infezione
Ingenieur	ingegnere
Inhaber	proprietario
Inhalt	contenuto
Insasse	abitante
Insekt	insetto
Insel	isola
Inserat	annuncio
Instrument	strumento
Interesse	interesse
Ire	irlandese
Irland	Irlanda
Irre	pazzo
Irrtum	errore
Islam	Islam
Island	Islanda
Italien	Italia
Italiener	italiano
Jahr	anno
Jahrestag	compleanno
Jahreszeit	stagione
Jalousie	persiana
Januar	gennaio
Japaner	giapponese
Johannisbeere	ribes
Journal	giornale
Journalist	giornalista
Jubel	allegria
Jugoslawien	Iugoslavia
Juli	luglio
Junge	ragazzo
Juni	giugno
Juwelier	gioielliere
Jux	scherzo
Kabel	cavo
Kabeljau	merluzzo
Kabine	cabina
Kadett	cadetto
Kaffee	caffé
Kai	piattaforma
Kairo	Cairo
Kaiserreich	impero
Kaisertum	impero
Kajüte	cabina
Kakao	cacao
Kaktus	cacto
Kalb	vitello
Kalbfleisch	carnedivitello
Kalk	calce
Kalkül	conto
Kampf	battaglia
Kampfplatz	arena
Kanada	Canadà
Kanarische Inseln	Canarie
Kaninchen	coniglio
Kanne	brocca
Kante	orlo
Kantor	cantante
Kapazität	abilità
Kapitän	capitano
Kapotte	cappotta
Karfiol	cavolfiore
Karotte	carota
Karte	biglietto
Kartoffel	patata
Kaserne	caserma
Kaskade	cascata
Kasserole	casseruola
Kastanie	castagna
Kastanienbaum	castagno
Kastell	castello
Kastillien	Castiglia
Kasus	caso
Katalog	catalogo
Kathedrale	catedrale
Katze	gatto
Kaufmann	commerciante
Kautschuck	gomma
Kehle	gola
Kellner	cameriere
Kenntnis	conoscenza
Kennzeichen	segno
Kerze	candela
Kessel	calderotto
Kette	catena
Kiefer	mascella
Kiel	chiglia
Kieme	branchia
Kind	bambino
Kinn	mento
Kinnlade	mascella
Kino	cinema
Kirche	chiesa
Kirchhof	camposanto
Kirschbaum	ciliegio
Kirsche	ciliegia
Kissen	guanciale
Klammeraffe	chiocciola
Klang	suono
Klaue	artiglio
Klaviatur	pianola
Kleid	abito
Kleidung	guardaroba
Kleingeld	spicciole
Kleinigkeit	inezia
Klient	cliente
Klima	aria
Klingel	campana
Klotz	blocco
Klugheit	freccia
Knabe	ragazzo
Knauf	tenaglie
Knie	ginocchio
Knochen	osso
Knochengerüst	scheletro
Knoten	nodo
Knöchel	caviglia
Kochpfanne	casseruola
Koffer	baule
Kognak	cognac
Kohl	cavolo
Kohle	carbone
Koje	cabina
Kollege	collegio
Kollegium	collega
Komitee	comitato
Kommissar	commissario
Kommunist	comunista
Kompagnie	compagnia
Kompass	bussola
Kompromiss	compromesso
Komödie	commedia
Kondukteur	capotreno
Konferenz	conferenza
Konfitüre	marmelata
Konflikt	conflitto
Kongress	congresso
Konkurrenz‐Prüfung	concorso
Konservatorium	conservatorio
Konsul	console
Konsulat	consolato
Kontakt	contatto
Konto	conto
Kontor	ufficio
Kontrast	contrasto
Kontribution	contributo
Konversation	conversazione
Konzert	concerto
Kopf	testa
Kopfkissen	guanciale
Kopfsalat	lattuga
Koran	Corano
Korb	cesto
Korea	Corea
Kork	sughero
Korkenzieher	cavatappi
Korridor	corridoio
Korsika	Corsica
Kostüm	abito
Kot	fango
Kotelett	costoletta
Kotflügel	parafango
Kraft	forza
Kraftfahrrad	motocicletto
Kralle	artiglio
Kramladen	negozio
Krankenhaus	ospedale
Krankenschwester	infermiera
Kraut	erba
Krawatte	cravatta
Krebs	gambero
Kredit	avere
Kreditor	creditore
Krehn	barbaforte
Kreide	creta
Kreis	circolo
Kreuz	croce
