Abissinia	Abessinien
a	an
abaco	Abakus
abate	Abt
abbandonare	entäußern
abbastanza	genug
abbonamento	Abonnement
abete	Fichte
abile	begabt
abilit	Kapazität
abissino	abessinisch
abisso	Abgrund
abitante	Bewohner
abitare	hausen
abito	Anzug
abortire	abortieren
accademia	Akademie
accadere	geschehen
accanto	neben
accappatoio	Bademantel
accelerare	beeilen
accendere	verbrennen
accendino	Funke
accento	Akzent
accettare	annehmen
acciaio	Stahl
accidente	Unfall
acciuga	Anchovis
acclamare	akklamieren
accoglienza	Annahme
accogliere	annehmen
accoglimento	Annahme
accomodamento	Einrichtung
accompagnare	begleiten
accordo	Abkommen
accorgersi	gewahr werden
accumulatore	Akkumulator
accusare	anklagen
aceto	Essig
acido	herb
acino	Traube
acqua	Wasser
acquaforte	Scheidewasser
aculeo	Stachel
acuto	akut
adatto	begabt
addio	adieu
addormentarsi	einschlafen
adorare	anbeten
ad	laut
ad	jäh
aerare	lüften
aereo	Aeroplan
aeroplano	Aeroplan
aeroporto	Flugplatz
affare	Angelegenheit
affascinante	allerliebst
affaticare	strapazieren
affermare	bejahen
afferrare	greifen
affettazione	Gezier
affigere	anlegen
affilato	scharf
affisso	Affiche
affittare	vermieten
affitto	Miete
afflitto	düster
affrancare	frankieren
affrancatura	Frankatur
affrettarsi	eilen
afgano	afghanisch
africano	afrikanisch
agente	Agent
agenzia	Agentur
aggettivo	adjektivisch
aggiungere	addieren
aggredire	ein Anschlag ausführen
agile	behände
agire	agieren
agitato	heftig
agnello	Lamm
ago	Nadel
agonia	Agonie
agosto	August
agro	herb
aia	Dreschtenne
aiutante	Adjutant
aiutare	assistieren
aiuto	Beihilfe
ala	Fittich
alba	Tagesanbruch
albanese	albanesisch
albergo	Hotel
albero	Baum
albicocca	Aprikose
album	Album
alcool	Alkohol
alcool	Brennspiritus
alcova	Alkoven
alfabet	Alphabet
alfabeto	Alphabet
alfabeto italiano	italienisches Alphabet
algerino	algerisch
alice	Anchovis
alimentare	beköstigen
alimento	Ätzung
alito	Atem
allarme	Alarm
allattare	säugen
alla	endlich
allegria	Jubel
allegro	fröhlich
allestire	bereiten
allievo	Schüler
allodola	Lerche
alloggio	Wohnhaus
allora	damals
alloro	Lorbeer
allo	zugleich
alludere	anspielen
allume	Alaun
all	auswärtig
all	anfänglich
almeno	wenigstens
alsaziano	elsässisch
altare	Altar
alta	Flut
alternativa	Alternative
altitudine	Höhe
alto	erhaben
altro	anderer
altrove	anderswo
altura	Höhe
alveare	Bienenkorb
alzare	heben
alzarsi	aufstehen
amabile	allerliebst
amare	gern haben
amaro	bitter
amazzone	Amazone
ambasciata	Gesandtschaft
ambasciatore	Botschafter
ambiente	Umgebung
ambizione	Ehrgeiz
ambra	Bernstein
americano	amerikanisch
amianto	Asbest
amica	Freundin
amichevole	freundlich
amicizia	Freundschaft
amico	Freund
ammalarsi	erkranken
ammazzare	ermorden
amministrare	administrieren
amministratore	Direktor
amministrazione	Verwaltung
ammirabile	bewundernswert
ammiraglio	Admiral
ammirare	bewundern
ammogliarsi	sich verehelichen
ammonimento	Ermahnung
ammortizzare	amortisieren
ammuffito	moderig
amnistia	Amnestie
amo	Angelhaken
ampolla	Birne
amputare	abnehmen
analizzare	analysieren
ananas	Ananas
ananasso	Ananas
anatema	Bann
anca	Hanke
anche	auch
ancora	noch
andare	fahren
andarsene	abreisen
andatura	Eile
anello	Ring
anemia	Blutarmut
anemone	Anemone
angelo	Engel
angolo	Ecke
angoscia	Angst
angoscioso	bang
anguilla	Aal
animale	Tier
anitra	Ente
annegare	ertränken
annegarsi	ersaufen
anno	Jahr
annoiare	verdrießen
anno	Schaltjahr
annuale	jährlich
annualmente	alljährlich
annullare	annullieren
annunciare	ankündigen
annuncio	Annonce
annunziare	ankündigen
annunzio	Auskunft
antartico	antarktisch
antenato	Ahn
antenna	Fühler
anticipare	antizipieren
antico	altertümlich
antisettico	antiseptisch
antologia	Anthologie
antracite	Anthrazit
apatia	Apathie
ape	Biene
aperto	offen
apicoltura	Bienenzucht
apicultura	Bienenzucht
apoplessia	Schlag
apostolo	Apostel
apparecchio	Apparat
apparenza	Anblick
apparire	erscheinen
appartamento	Appartment
appartenere	gehören
appello	Ruf
appena	kaum
appetito	Appetit
appiccicare	kleben
applaudire	applaudieren
applausi	Applaus
applicare	anwenden
applicazione	Fleiß
appoggiare	stemmen
apposta	absichtlich
apprestare	zurichten
apprezzare	abschätzen
approfittare	profitieren
approvare	approbieren
approvazione	Approbation
appuntamento	Rendezvous
appuntato	spitz
aprile	April
aprire	aufmachen
aquila	Adler
arabo	arabisch
aragosta	Hummer
arancia	Apfelsine
arancio	Orangenbaum
aratro	Pflug
arbitrario	beliebig
arbusto	Gebüsch
architetto	Architekt
arciduca	Großherzog
arcivescovo	Erzbischof
arco	Bogen
arcobaleno	Regenbogen
ardere	brennen
ardesia	Schiefer
ardore	Glut
arena	Arena
argentino	Argentinier
argento	Silber
argilla	Lehm
argomento	Argument
aria	Luft
arieggiare	lüften
aringa	Hering
armadio	Schrank
armare	waffnen
armeno	armenisch
arnese	Mittel
arnia	Bienenkorb
aroma	Aroma
arrendersi	sich ergeben
arrestare	arretieren
arrestato	Arrestant
arresto	Arrest
arrischiare	riskieren
arrivare	erlangen
arrivo	Ankunft
arrugginito	rostig
arruolare	werben
arsenale	Arsenal
arteria	Arterie
articolo	Abhandlung
artiglieria	Artillerie
artiglio	Klaue
ascensore	Aufzug
ascesso	Abszess
ascia	Axt
asciugamano	Handtuch
ascoltare	anhören
asfalto	Asphalt
asiatico	asiatisch
asilo	Asyl
asino	Esel
asma	Asthma
asparago	Spargel
aspettare	gewärtigen
aspetto	Anblick
assai	sehr
assale	Achse
assalire	einen Anschlag ausführen
assalto	Anfall
asse	Achse
assediare	belagern
assedio	Belagerung
assegno	Bankanweisung
assegno	Bankanweisung
assente	abwesend
assenza	Abwesenheit
asserire	behaupten
assicurare	behaupten
assicurazione	Assekuranz
assioma	Axiom
assiro	assyrisch
assistente	Assistent
assistere	assistieren
asso	As
assurdo	abgeschmackt
astratto	abstrakt
ateniese	athenisch
atlantico	Atlantik‐
atmosfera	Atmosphäre
atomo	Atom
attaccare	anfallen
attacco	Anfall
attendere	achtgeben
attentato	Anschlag
attento	aufmerksam
attenzione	Achtung
attirare	anziehen
attivo	aktiv
attore	Schauspieler
attraversare	entern
attraverso	hindurch
attuale	aktuell
augurio	Anzeichen
australiano	australisch
austriaco	österreichisch
autista	Chauffeur
auto	Auto
autobus	Autobus
autocarro	Lastauto
autocrate	Autokrat
automa	Automat
automobile	Auto
autore	Autor
autorimessa	Garage
autorit	Autorität
autunale	Herbst-
autunno	Herbst
avambraccio	Unterarm
avanti	hervor
avaro	geizig
avena	Hafer
avere	besitzen
aver	benötigen
aver	fürchten
aviazione	Aviatik
avido	begierig
avvelenare	vergiften
avvenire	Futur
avventura	Abenteuer
avverbio	Adverb
avversione	Abneigung
avvertire	warnen
avviso	Annonce
avvolgere	packen
azione	Handlung
azionista	Aktieninhaber
azzurro	blau
a	billig
a	heim
a	rechts
a	lange
a	auswendig
a	links
a	Glückwünsch
babordo	Backbord
bacca	Beere
bacca	Blaubeere
baciare	küssen
bacillo	Bazillus
bacino	Becken
bacio	Kuss
badare	beaufsichtigen
badia	Abtei
baffi	Schnurrbart
bagagliaio	Gepäckwagen
bagaglio	Bagage
bagassa	Bagasse
bagnante	Badegast
bagnare	baden
bagnato	nass
bagni	Badeort
bagno	Bad
baia	Bai
baionetta	Bajonett
balcone	Altan
balena	Wal
baleno	Blitz
ballare	tanzen
ballata	Ballade
ballo	Ball
baluardo	Bastei
bambino	Kind
bambola	Puppe
bamb	Bambus
banale	abgedroschen
banana	Banane
banca	Bank
banchiere	Bankier
banconota	Bon
banda	Allianz
bandiera	Banner
bandire	bannen
bandito	Bandit
bar	Büfett
baracca	Baracke
barba	Bart
barbabietola	Beete
barbaforte	Krehn
barbaro	Barbar
barbiere	Barbier
barca	Boot
barile	Fass
barometro	Barometer
barone	Baron
barra	Barre
barriera	Barriere
bassa	Ebbe
basso	niedrig
bastardo	Bastard
bastare	ausreichen
bastione	Bastei
battaglia	Kampf
battaglione	Bataillon
battere	hauen
battere	applaudieren
batteria	Batterie
batterio	Bakterie
battesimo	Taufe
battezzare	taufen
baule	Koffer
bazar	Basar
becco	Schnabel
belga	Belgier
bellino	hübsch
bello	hübsch
benche	obgleich
beneficio	Ertrag
benevole	freundlich
benzina	Benzin
bere	trinken
beretta	Barett
bestemmiare	lästern
bestia	Bestie
betulla	Birke
bevanda	Getränk
bianco	weiß
bibita	Getränk
biblioteca	Bibliothek
bibliotecario	Bibliothekar
bicchiere	Glas
bicicletta	Fahrrad
bigio	grau
biglietto	Billett
bilancia	Waage
bilancio	Bilanz
bile	Galle
biliardo	Billard
biondo	blond
birra	Bier
birraio	Brauer
birreria	Brauerei
bisbigliare	flüstern
biscotto	Biskuit
bisnonno	Urahn
bisogno	Bedarf
bistecca	Beefsteak
bloccare	blockieren
blocco	Block
blu	blau
blusa	Bluse
bocca	Mund
boccale	Becher
boia	Henker
bollire	brausen
bollo	Briefmarke
bomba	Bombe
bomba	Brandbombe
bosco	Forst
bottiglia	Flasche
bracchio	Arm
braccialetto	Armband
bramoso	begierig
branchia	Kieme
brasiliano	Brasilianer
breve	bündig
brigante	Bandit
brigata	Abteilung
brillante	blank
brillare	blinken
brillo	berauscht
brocca	Kanne
bronzo	Bronze
bruciare	verbrennen
bruco	Raupe
bruno	braun
brusco	brummig
buca	Briefkasten
buco	Loch
bue	Ochs
bufalo	Büffel
buio	dunkel
buono	gut
burro	Butter
burrone	Abgrund
bussola	Kompass
busta	Briefumschlag
busto	Büste
cabina	Kabine
cacao	Kakao
cacciare	jagen
cacto	Kaktus
cadetto	Kadett
caff	Kaffee
cagna	Hündin
calce	Kalk
calcestruzzo	Beton
calcolare	erachten
calderotto	Kessel
caldo	warm
calice	Becher
callo	Hühnerauge
calmare	besänftigen
calmo	gelassen
calunniare	afterreden
calvo	kahl
calzolaio	Schuhmacher
calzoni	Beinkleid
cambiale	Wechsel
cambiamento	Veränderung
cambiare	ändern
camera	Gemach
camera	Schlafzimmer
cameriera	Zimmermädchen
cameriere	Kellner
camion	Lastauto
camminare	fahren
cammino	Bahn
campagna	Gefilde
campana	Glocke
campione	Muster
campo	Acker
camposanto	Friedhof
candela	Kerze
cane	Hund
canna	Angelrute
cantante	Berufssänger
cantare	singen
canzone	Gesang
capace	begabt
capacit	Kapazität
capanna	Hütte
capelli	Haar
capire	begreifen
capitano	Hauptmann
capo	Befehlshaber
capostazione	Bahnhofsvorsteher
capotreno	Aufseher
capoverso	Absatz
capo	Neujahr
cappotta	Haube
capra	Geiß
capriolo	Reh
capro	Ziegenbock
carattere	Natur
carbone	Kohle
carciofo	Artischocke
caricare	anklagen
carico	Belastung
carino	freundlich
carnagione	Gesichtsfarbe
carne	Fleisch
carne	Hammelfleisch
carne	Kalbfleisch
caro	hold
carota	Karotte
carriera	Karriere
carta	Karte
carta	Löschpapier
carta	Löschpapier
carta	Toilettenpapier
cartellone	Affiche
cartolina	Postkarte
casa	Haus
cascata	Wasserfall
casella	Postfach
caserma	Kaserne
caso	Hasard
cassa	Behälter
cassa	Sarg
casseruola	Bratpfanne
cassetto	Lade
castagna	Kastanie
castagno	Kastanienbaum
castello	Burg
castigare	ahnden
catalogo	Katalog
catedrale	Dom
catena	Kette
catrame	Teer
cattivo	böse
causa	Anlass
causare	antun
cava	Grube
cavalletta	Grashüpfer
cavallo	Gaul
cavatappi	Korkenzieher
cavia	Meerschweinchen
caviglia	Knöchel
cavo	Kabel
cavolfiore	Blumenkohl
cavolo	Kohl
cecita	Blindheit
cedere	abtreten
cedola	Coupon
celebre	berühmt
cella	Zelle
cena	Abendessen
cenere	Asche
censore	Zensor
censura	Zensur
centesimo	Cent
centimetro	Zentimeter
cento	hundert
centrale	zentral
centro	Mittelpunkt
cercare	ausschauen nach
cerchio	Zirkel
certamente	allerdings
certificato	Attest
certo	bestimmt
cervello	Gehirn
cervo	Hirsch
cessare	aufhören
cessione	Zession
cesso	Abort
cestino	Papierkorb
cesto	Korb
che	dass
chiacchierare	plaudern
chiamare	heißen
chiamarsi	heißen
chiamata	Anruf
chiaro	anschaulig
chiave	Schlüssel
chicco	Traube
chiedere	bitten
chiesa	Kirche
chiglia	Kiel
chimica	Chemie
chiocciola	Schnecke
chiocciolina	Klammeraffe
chiodo	Nagel
chirurgo	Chirurg
chiudere	schließen
chiuso	geschlossen
cibo	Ätzung
ciclomotore	Moped
cieco	blind
cielo	Himmel
ciliegia	Kirsche
ciliegio	Kirschbaum
cilindro	Walze
cima	First
cimice	Wanze
cimitero	Friedhof
cinema	Kino
cinese	Chinese
cinghiale	Wildschwein
cinquanta	fünfzig
cinque	fünf
cintura	Gurt
cioccolata	Schokolade
cio	das heißt
cipolla	Zwiebel
cipollina	Schnittlauch
cipresso	Zypresse
circa	annähernd
circo	Zirkus
circolo	Zirkel
circondare	umringen
circondario	Amtsbezirk
citare	anführen
citazione	Zitat
cittadella	Zitadelle
cittadinanza	Staatsangehörigkeit
citt	Ort
ciuco	Esel
civile	bürgerlich
cliente	Klient
clima	Klima
cloro	Chlor
coccodrillo	Krokodil
coda	Bürzel
cognac	Kognak
cognato	Schwager
cognome	Familienname
coincidenza	Anschluss
colazione	Frühstück
colle	Halde
collega	Kollegium
collegio	Amtsbruder
collina	Halde
collo	Hals
colore	Farbe
colpevole	schuldig
colpire	klopfen
colpo	Hieb
coltello	Messer
comandante	Befehlshaber
comando	Befehl
come	als ob
comico	drollig
cominciare	anbrechen
comitato	Ausschuss
commedia	Komödie
commerciante	Händler
commercio	Handel
commestibile	essbar
commettere	anfertigen
commissario	Kommissar
comodo	bequem
compagnia	Gesellschaft
compare	Gevatter
comperare	kaufen
compiere	ausführen
compito	Arbeit
compleanno	Jahrestag
completamente	völlig
completare	vervollständigen
completo	ganz
comportarsi	sich aufführen
comprare	kaufen
compratore	Klient
comprendere	begreifen
comprensibile	begreiflich
compromesso	Kompromiss
comune	gemein
comunicare	anschließen
comunicato	Auskunft
comunista	Kommunist
concernere	betreffs
concerto	Musikaufführung
conchiglia	Muschel
concimare	düngen
conciso	bündig
concludere	ableiten
concordare	beipflichten
concorso	Konkurrenzprüfung
condannare	verdammen
condotta	Aufführung
condotto	Rohr
condurre	führen
condursi	sich aufführen
conferenza	Beratung
confermare	bekräftigen
confessare	anerkennen
confessione	Bekenntnis
confetto	Bonbon
confine	Grenze
conflitto	Konflikt
confrontare	vergleichen
confuso	bestürzt
congedo	Abschied
congelarsi	erfrieren
congiungere	fügen
congiunto	verwandt
congresso	Kongress
coniglio	Kaninchen
coniugi	Ehepaar
conoscenza	Bekannter
conoscere	kennen
conosciuto	bekannt
consapevolezza	Bewusstsein
conservare	aufbewahren
conservatorio	Konservatorium
considerare	berücksichtigen
considerato	da
considerazione	Achtung
consigliare	raten
consiglio	Rat
consolare	trösten
consolato	Konsulat
console	Konsul
consorti	Ehepaar
constatare	als Tatsache feststellen
consueto	geläufig
contabile	Buchhalter
contadino	Bauer
contante	bar
contare	zählen
contatto	Berührung
contenere	enthalten
contento	zufrieden
contenuto	Inhalt
continuare	fortfahren
continuo	fest
conto	Kalkül
contraddire	widersprechen
contrasto	Gegensatz
contratto	Akkord
contravvenzione	Geldstrafe
contributo	Beisteuer
contribuzione	Abgabe
contro	an
controllare	kontrollieren
convegno	Versammlung
conveniente	angemessen
convenire	gehören
conversazione	Gespräch
convertire	bekehren
convertito	Proselyt
convincere	überreden
coperta	Deck
coprire	belegen
coraggio	Mut
cornamusa	Dudelsack
corpo	Körper
correggere	berichtigen
corrente	Strömung
correre	laufen
corretto	recht
corridoio	Gang
corsia	Bahn
corteccia	Baumrinde
cortese	freundlich
cortile	Hof
cortina	Gardine
corto	kurz
corvo	Rabe
cosa	Ding
coscia	Schenkel
cosciente	wissentlich
coscienza	Bewusstsein
costa	Küste
costante	beständig
costare	kosten
costoletta	Kotelett
costoso	teuer
costringere	zwingen
costruire	bauen
costruzione	Erbauung
costume	Anzug
costume	Badeanzug
covare	brüten
covata	Brut
cranio	Schädel
cravatta	Halsbinde
credere	glauben
credito	Kredit
creditore	Gläubiger
crema	Rahm
crepa	Spalte
crepuscolo	Zwielicht
crescere	gedeihen
crescimento	Anwuchs
creta	Kreide
cricco	Heber
criceto	Hamster
crisi	Krisis
criticare	begutachten
croce	Kreuz
crudele	grausam
crudo	arg
cubo	Würfel
cucchiaio	Löffel
cucina	Küche
cugina	Base
cugino	Cousin
cuoca	Köchin
cuocere	backen
cuoio	Leder
cuore	Gemüt
cura	Sorge
curare	pflegen
curato	Geistlicher
curioso	neugierig
curva	Kurve
curvarsi	hängen
curvo	gebogen
cuscino	Kissen
dabbasso	unten
dado	Würfel
danese	Däne
danneggiare	beschädigen
danza	Tanz
dappertutto	allenthalben
dapprima	anfänglich
dapprincipio	anfänglich
dare	erteilen
data	Datum
dattero	Dattel
davanti	früher
davvero	fürwahr
dazio	Akzise
da	lange
debilitare	erschlaffen
debito	Ausstand
debole	flau
decente	gehörig
decidere	beschließen
decimetro	Dezimeter
decisione	Austrag
decisivo	entschieden
decorare	aufputzen
decrepito	abgelebt
decreto	Dekret
dedurre	ableiten
definire	bestimmen
definitivo	definitiv
delegato	Abgeordneter
delfino	Delphin
delicato	delikat
delitto	Frevel
demonio	Teufel
denaro	Geld
denso	dicht
dentatura	Gebiss
denti	Gebiss
dentista	Zahnarzt
dentro	in
denuncia	Anzeige
denunciare	angeben
depresso	flau
deputato	Abgeordneter
derivare	ableiten
derubare	berauben
descrivere	beschreiben
deserto	Einöde
desiderabile	erwünscht
desiderare	wünschen
desiderio	Begehr
despota	Gewaltherrscher
dessert	Dessert
destinare	ausersehen
destinario	Empfänger
destra	Steuerbord
destrezza	Geschicklichkeit
destro	rechter
detenuto	Arrestant
detestare	verabscheuen
di	ab
diabolico	teuflisch
diadema	Diadem
dialetto	Dialekt
diamante	Diamant
diario	Tagebuch
diavolo	Teufel
dicembre	Dezember
dichiarazione	Angabe
diciannove	neunzehn
diciasette	siebzehn
diciotto	achtzehn
dieci	zehn
dieta	Diät
dietro	hinter
difendere	behaupten
difesa	Abwehr
difetto	Verderbnis
differente	verschieden
difficile	schwer
dilettante	Amateur
diligenza	Fleiß
dimensione	Ausdehnung
dimenticare	vergessen
dimorare	hausen
dinamite	Dynamit
dio	Gott
dipendente	abhängig
dipendere	abhängen
dipingere	malen
diploma	Diplom
diplomatico	Diplomat
dire	erwähnen
direttamente	gleich
direttore	Direktor
direzione	Verwaltung
dirigere	administrieren
diritto	Befugnis
disastro	Ungemach
discendente	Abkomme
discendenza	Abkunft
discendere	entspringen
discreto	diskret
discutere	diskutieren
disegnare	zeichnen
disegno	Zeichnung
disfatta	Niederlage
disgrazia	Unfall
disonesto	unredlich
disporre	disponieren
disposto	geneigt zu
dissoluto	unbändig
distante	entlegen
distanza	Abstand
distillare	destillieren
distinguere	auszeichnen
distinto	anschaulich
distretto	Amtsbezirk
distribuire	austeilen
distruggere	umreißen
disturbare	beengen
dito	Finger
dito	Zehe
ditta	Firma
diversamente	andernfalls
divertire	amüsieren
dividere	dividieren
divisione	Sektion
divorzio	Scheidung
dizionario	Wörterbuch
di	früh
di	hinten
di	freilich
di	ihre
di	daher
di	insgeheim
di	abermalig
di	allerlei
di	dann und wann
di	abends
di	oben
doccia	Brause
documento	Dokument
dodici	zwölf
dogana	Zollamt
dolce	süß
dolore	Schmerz
domanda	Gesuch
domandare	fragen
domani	morgen
domenica	Sonntag
domestica	Dienstmädchen
domestico	Hausdiener
dominare	herrschen
donna	Frau
dono	Angebinde
dopo	hinter
dopodomani	übermorgen
doppio	doppelt
dormire	schlafen
dorso	Rücken
dose	Dosis
dotato	begabt
dote	Dotation
dottore	Doktor
dovere	Gebühr
drago	Drache
dragone	Drache
dubbioso	fraglich
dubitare	zweifeln
due	zwei
duellare	sich duellieren
duetto	Duett
duna	Düne
duomo	Dom
dura	hart
durante	während
durare	dauern
durata	Dauer
durevole	fest
duro	hart
d	andernteils
ecc	u. s. w.
eccetto	ausgenommen
ecclesiastico	Geistlicher
economia	Wirtschaft
edificio	Bau
edizione	Abendzeitung
efficace	drastisch
eguaglianza	Gleichheit
eguale	egal
elefante	Elefant
elegante	elegant
eleggere	auslesen
elemento	Element
elemosina	Almosen
elettricit	Elektrizität
elica	Schneckenlinie
energico	forsch
entrare	eintreten
entrata	Eingang
entusiasmo	Begeisterung
epopea	Epik
equatore	Äquator
equilibrio	Gleichgewicht
equipaggio	Mannschaft
erba	Gras
ereditare	erben
erpice	Egge
errare	sich irren
errore	Fehler
esame	Examen
esaminare	examinieren
esatto	akkurat
esca	Köder
eseguire	ausführen
esempio	Beispiel
esercito	Armee
esercizio	Exerzitium
esiliare	bannen
esilio	Acht
esistenza	Bestehen
esistere	bestehen
esitare	schwanken
esito	Erfolg
esortazione	Ermahnung
esportazione	Ausfuhr
esposizione	Ausstellung
esserer	beipflichten
essere	sitzen
essere	dienen
est	Orient
estate	Sommer
esteriore	Äußeres
estero	Ausland
estivo	Sommer-
estorcere	erzwingen
estremamente	meist
estremo	äußerster
eterno	ewig
etichetta	Etikette
et	Alter
europeo	Europäer
evidente	anschaulich
evidentemente	offenbar
evitare	ausweichen
fabbisogno	Bedarf
fabbrica	Fabrik
fabbricare	anfertigen
faccenda	Angelegenheit
facchino	Dienstmann
faccia	Angesicht
facile	geläufig
faggio	Buche
fagiano	Fasan
fagiolo	Faseole
fagiuolo	Faseole
falce	Hippe
fallimento	Bankrott
falso	falsch
famiglia	Familie
famoso	berühmt
fanatico	fanatisch
fango	Dreck
fantasia	Einbildungskraft
farafalla	Schmetterling
fare	anfertigen
fare	boxen
fare	streiken
farfalla	Falter
farmacia	Apotheke
farmacista	Apotheker
faro	Leuchtturm
far	barbieren
far	Schmerz verursachen
fascicolo	Heft
fascino	Anmut
fata	Fee
fatto	Tatsache
fattoria	Bauernhof
fattura	Faktura
fava	Bohne
favola	Märchen
favorire	begünstigen
febbraio	Februar
febbre	Fieber
fecondo	fruchtbar
fedele	gläubig
fegato	Leber
felice	glücklich
felicitare	beglückwünschen
fendere	spalten
ferire	verletzen
ferita	Verwundung
fermare	anhalten
fermarsi	halten
fermata	Haltestelle
fermo	fest
ferro	Eisen
ferrovia	Bahn
ferro	Bügeleisen
fessura	Spalte
festa	Feier
fiaba	Märchen
fiaccola	Fackel
fiamma	Flamme
fiammifero	Streichholz
fianciullo	Kind
fianco	Flanke
fico	Feige
fidanzata	Braut
fiducia	Zuversicht
fieno	Heu
fiero	hochfahrend
figlia	Tochter
figlio	Sohn
figliola	Tochter
figliolo	Sohn
figliuola	Tochter
figura	Abbild
figurarsi	erdichten
film	Film
filo	Draht
filosofo	Denker
finalmente	endlich
fine	Ende
finestra	Fenster
finire	beschließen
finito	fertig
fiore	Blume
fiore	Mehl
fiorire	blühen
firma	Unterschrift
firmare	subskribieren
fisarmonica	Ziehharmonika
fischiare	pfeifen
fissare	befestigen
fiume	Fluss
flanella	Flanell
flauto	Flöte
fluire	fließen
foca	Seehund
foco	Brennpunkt
foglia	Blatt
foglio	Blatt
folla	Haufen
follia	Torheit
fondamento	Fundament
fondere	fundieren
fondo	Boden
fontana	Brunnen
fonte	Born
forbici	Schere
forca	Galgen
forchetta	Gabel
forestiere	Ausländer
formaggio	Käse
formato	Format
formica	Ameise
formula	Formel
fornaio	Bäcker
forse	eventuell
forte	kräftig
forza	Gewalt
forzare	zwingen
forza	Anziehungskraft
fragola	Erdbeere
francese	französisch
francobollo	Briefmarke
frangia	Frange
frase	Phrase
frassino	Esche
fratello	Bruder
fraternit	Brüderlichkeit
fra	bald
freccia	Weisheit
fregata	Fregatte
freno	Bremse
frequentemente	häufig
fresco	frisch
friggere	backen
frizione	Kupplung
fronte	Stirn
frontiera	Grenze
frumento	Weizen
frutta	Frucht
fucilare	erschießen
fucile	Gewehr
fuga	Flucht
fuggire	ausreißen
fumaiuolo	Schornstein
fumare	rauchen
fumatori	Raucherabteil
fumo	Rauch
fungo	Erdschwamm
funzionario	Beamter
funzione	Funktion
fuoco	Feuer
fuori	äußerlich
furibondo	rasend
furioso	rasend
furto	Diebstahl
gabbiano	Möwe
gabinetto	Abort
galera	Galeere
galleria	Galerie
gallina	Henne
gallo	Hahn
gamba	Bein
gambero	Krebs
garanzia	Garantie
garofano	Nelke
gas	Gas
gatto	Katze
gazza	Elster
gelarsi	erfrieren
gelo	Frost
gelosia	Eifersucht
gelso	Maulbeerbaum
gemere	ächzen
generale	allgemein
generalmente	generell
generazione	Generation
genere	Abart
genero	Eidam
gengiva	Zahnfleisch
genitori	Eltern
gennaio	Januar
gente	Leute
gentiluomo	Adlige(r)
geografia	Erdbeschreibung
gergo	Gaunersprache
gestione	Verwaltung
gesto	Gebärde
gettare	schleudern
ghiaccio	Eis
ghianda	Eichel
giallo	gelb
giapponese	Japaner
giardiniere	Gärtner
giardino	Anlage
ginocchio	Knie
giocare	spielen
gioia	Freude
gioielliere	Juwelier
giornale	Journal
giornale	Abendzeitung
giornaliero	täglich
giornalista	Journalist
giorno	Tag
giostra	Karussell
giovamento	Nutzen
