ABC	alfabeto
Russian	russo
Sabbath	sabato
Sardina	Sardegna
Sardinia	Sardegna
Sassenach	inglese
Satan	Satana
Saturday	sabato
Saudi	Arabia Saudita
Scot	scozzese
Scotland	Scozia
Scotsman	scozzese
September	settembre
Shanghai	Sciangai
Siam	Tailandia
Sicily	Sicilia
South	America del Sud
Spain	Spagna
Spaniard	spagnolo
Stockholm	Stoccolma
Sunday	domenica
Swede	svedese
Sweden	Svezia
Swiss	svizzero
Switzerland	Svizzera
Tangier	Tangeri
Thailand	Tailandia
Thames	Tamigi
The	L'Aia
Thursday	giovedì
Tuesday	martedì
Turin	Torino
Turk	turco
Turkey	Turchia
Twelfth‐night	Befana
Tyrrhenian	Mar Tirreno
‐in‐law	per via di matrimonio
USA	America
US	americano
United	America
Uruguay	Uruguai
VAT	IVA
Vatican	Città del Vaticano
Venetia	Venezia
Venice	Venecia
Venus	Venere
Vienna	Vienna
Vietnam	Vietnam
Wales	Galles
Wednesday	mercoledì
West	ovest
Xanthippe	megera
Yugoslavia	Iugoslavia
Yule	Natale
ZIP	CAP
Zurich	Zurigo
...	... fa
a	a
abacus	abaco
abandon	abbandonare
abandonment	cessione
abashed	timido
abate	diminuire
abbess	badessa
abbey	badia
abbot	abate
abbreviation	abbreviazione
abdication	abdicazione
abdomen	ventre
aberration	errore
abet	aiutare
abhor	detestare
abhorrence	orrore
abhorrent	orrendo
abide	aspettare
abiding	continuo
ability	abilità
abject	miserabile
abjure	annullare
ablaze	ardente
able	abile
abnormal	anormale
abode	alloggio
abolish	abolire
abolition	abolizione
abominable	orrendo
abominate	detestare
abomination	orrore
abort	abortire
abortion	aborto
about‐face	cambiamento
about	concernere
above‐board	onesto
above	sopra
above	soprattutto
abridge	limitare
abridgement	sommario
abroad	fuori
abrogate	abolire
abrogation	abolizione
abrupt	ripido
abscess	ascesso
abscond	fuggire
absence	assenza
absent	assente
absent	andarsene
absolute	completo
absolutely	davvero
absolute	autocrate
absorb	disporre
abstract	astratto
abstraction	furto
abstruse	misterioso
absurd	assurdo
abundance	abbondanza
abuse	insultare
abysmal	terribile
abyss	abisso
academic	studente
academy	accademia
academy	conservatorio
accede	concordare
accelerate	accelerare
accelerator	acceleratore
accelerator	acceleratore
accent	accentare
accentuate	accentare
accept	accettare
acceptable	accettabile
acceptance	accoglienza
access	assalto
accession	guadagno
accidence	caso
accident	accidente
acclaim	acclamare
acclamation	applausi
accommodating	servizievole
accommodation	aggiustamento
accomodate	finire
accompany	accompagnare
accomplish	arrivare
accord	accordo
accordance	accordo
accordion	fisarmonica
account	spiegazione
accountable	responsabile
accountant	perito contabile
accounting	contabilità
account	spiegare
accredit	credere
accretion	crescimento
accrue	discendere
accumulation	accumulazione
accumulator	accumulatore
accurate	esatto
accusal	accusa
accusation	accusa
accuse	accusare
accused	accusato
accuser	accusatore
accustom	solere
accustomed	consueto
accustom	abituarsi
ace	asso
acerbic	acuto
acetous	acido
ache	far male
achieve	arrivare
achievement	azione
acid	acido
acknowledge	confessare
acknowledgement	confessione
acolyte	membro
acorn	ghianda
acquaint	informare
acquaintance	conoscenza
acquire	comperare
acquisition	guadagno
acquisitive	avido
acquittal	pagamento
across	attraverso
across	contro
act	agire
action	azione
activate	causare
active	attivo
activity	occupazione
actor	attore
actress	attrice
actual	reale
actually	di fatto
actuate	muovere
act	rappresentare
act	amnistia
acuity	attenzione
acute	acuto
ad	annuncio
adapt	adattare
add	aggiungere
adder	vipera
addled	ignorante
address	indirizzare
address	indirizzario
adherents	partito
adieu	addio
adjacent	vicino
adjectival	aggettivo
adjective	aggettivo
adjust	adattare
adjustable	chiave
adjustment	accomodamento
adjutant	aiutante
administer	amministrare
administer	amministrare gli ultimi sacramenti
administration	amministrazione
admirable	ammirabile
admiral	ammiraglio
admiration	ammirazione
admire	ammirare
admission	accoglienza
admit	confessare
admixture	mistura
admonition	ammonimento
ado	rumore
adopt	adottare
adopted	adottivo
adore	adorare
adorn	decorare
adroit	abile
adulterer	adultero
adulterous	adultero
adultery	adulterio
advance	avvicinarsi
advancement	progresso
advantage	beneficio
advantageous	utile
adventure	avventura
adverb	avverbio
adversary	nemico
adverse	nocivo
advert	aspettare
advertence	attenzione
advertency	attenzione
advertise	annunciare
advertisement	annuncio
advice	avviso
advise	consigliare
advise	sconsigliare
advocate	avvocato
aerate	aerare
aerial	antenna
aeronautics	aviazione
aeroplane	aereo
affable	amichevole
affair	affare
affectation	affettazione
affection	amore
affiliation	parentado
affined	congiunto
affinity	parentado
affirm	assicurare
affirmation	promessa
affix	fissare
affluence	ricchezza
affluent	ricco
afford	permettere
afire	ardente
aflame	ardente
afraid	inquieto
afresh	ancora
after	dietro
afternoon	pomeriggio
afterwards	dietro
again	ancora
against	contro
age	età
agency	agenzia
agent	agente
aggrandize	ingrandire
aggravating	indecente
aggression	assalto
aggressive	aggressivo
aggressor	aggressore
agile	agile
agitation	agitazione
aglow	ardente
agog	curioso
agonize	torturare
agonizing	orrendo
agony	agonia
agrarian	agricoltore
agree	convenire
agreeable	gradevole
agreeably	piacevolmente
agreement	accordo
agriculture	agricoltura
ague	febbre
ahead	davanti
aid	assistente
aide‐de‐camp	aiutante
ailment	malattia
aim	proposito
air	aria
airplane	aereo
airport	aeroporto
airy‐fairy	cattivo
air	aerare
akin	congiunto
alacrity	entusiasmo
alarm	allarme
alarmclock	sveglia
album	album
alcohol	alcool
alcoholic	alcoolico
alcove	alcova
alder	ontano
ale	birra
alien	orrendo
alike	simile
all‐knowing	onnisciente
all‐powerful	onnipotente
all	tutto
alley	vicolo
allow	permettere
allude	alludere
all	dappertutto
all	ad un tratto
all	ancora
all	di ogni genere
all	di ogni genere
all	ogni
almighty	onnipotente
almond	mandorla
almost	quasi
alms	elemosina
alone	solo
alongside	accanto
alphabet	alfabeto
already	già
also	anche
altar	altare
alter	cambiarsi
alteration	cambiamento
alternative	alternativa
although	benche
altitude	altitudine
altogether	tutto
alum	allume
always	sempre
amateur	dilettante
amaze	sbalordire
ambassador	ambasciatore
amber	ambra gialla
ambiguous	ambiguo
ambition	ambizione
ambulance	ambulanza
amnesty	amnistia
amortize	ammortizzare
amount	numero
amount	ammontare a
amputate	amputare
amuse	divertire
amusement	divertimento
amusing	divertente
anaemia	anemia
analyse	analizzare
analyst	analizzatore
analytical	analizzatore
anathema	anatema
anchor	ancora
anchovy	acciuga
ancient	antico
and	eccetera
anemone	anemone
anew	ancora
angel	angelo
angle	angolo
angry	irato
anguish	angoscia
animal	animale
animate	animare
ankle	caviglia
annexation	annessione
anniversary	compleanno
annotation	annotazione
announce	annunciare
announcement	annunzio
annual	annuale
annul	annullare
another	altro
answer	replicare
ant	formica
antenna	antenna
anthology	antologia
anthracite	antracite
antibiotic	antibiotico
anticipate	anticipare
antifreeze	anticongelante
antique	antico
antiseptic	antisettico
anvil	incudine
anxiety	ansia
anywhere	in qualche luogo
apart	separato
apartment	appartamento
apart	eccetto
apathy	apatia
ape	scimmia
apiarist	apicoltore
apologize	scusarsi
apology	scusa
apoplectic	apoplessia
apostle	apostolo
apparatus	apparecchio
apparently	evidentemente
appeal	domanda
appear	apparire
appearance	apparenza
appear	parere
appease	calmare
appellation	nome
appetite	appetito
applaud	acclamare
apple‐tree	melo
apple	mela
applicant	petente
apply	applicare
appoint	nominare
appointment	nomina
appointment	nomina
appraise	apprezzare
appreciate	apprezzare
apprehension	arresto
approach	accesso
appropriate	conveniente
approval	applausi
approve	approvare
approximately	circa
apricot	albicocca
aptitude	ingegno
arbiter	arbitro
arbitrary	arbitrario
arbitrator	arbitro
arbor	albero
arc	arco
archbishop	arcivescovo
archduke	arciduca
architect	architetto
archivist	archivista
ardent	ardente
are	gruppo
arena	arena
argument	argomento
aria	aria
arise	salire
aristocratic	aristocratico
arm	armare
armchair	poltrona
armoury	arsenale
army	esercito
army	cappellano militare
aroma	aroma
around	intorno a
arrange	predisporre
arrangement	accomodamento
arrest	arrestare
arrested	arrestato
arrival	arrivo
arrive	arrivare
arsenal	arsenale
art	arte
artery	arteria
artichoke	carciofo
article	merce
article	abito
artillery	artiglieria
as	come
asbestos	amianto
ascend	salire
ascertain	constatare
ash	cenere
ashtray	portacenere
ask	domandare
ask	chiedere
asparagus	asparago
aspect	apparenza
asphalt	asfalto
ass	asino
assailant	aggressore
assault	attaccare
assemblage	convegno
assembly	accumulazione
assent	affermare
assert	asserire
assertion	asserzione
assets	attivo
assigned	compito
assist	aiutare
assistant	assistente
associate	unirsi
assure	assicurare
asthma	asma
asylum	asilo
as	di fatto
as	d'altronde
as	come se
as	come se
at	a
atmosphere	atmosfera
atom	atomo
atomic	energia atomica
atom	bomba atomica
atpersand	chiocciola
attach	affigere
attack	attaccare
attacker	aggressore
attain	arrivare
attempt	provare
attend	curare
attendance	servizio
attention	attenzione
attentive	attento
attitudinize	posare
attract	attrarre
attraction	forza attrativa
attractive	allettante
attune	adattare
at	all'inizio
at	a casa
at	alla fine
at	almeno
at	tutt'al più
at	direttamente
at	là
at	all'inizio
at	in tempo
at	allo stesso tempo
aubergine	melanzana
audience	udienza
audit	controllare
auditory	uditorio
augment	ingrandire
aunt	zia
aurora	alba
author	autore
authority	autorità
autobus	autobus
autocrat	autocrate
automoton	automa
autumn	autunno
avail	essere utile
available	disponibile
avaricious	avaro
average	medio
aversion	avversione
aviation	aviazione
avoid	evitare
await	aspettare
aware	cosciente
awareness	consapevolezza
away	lontano
awful	orrendo
axe	ascia
axiom	assioma
axis	assale
axle	assale
a	a lungo
a	molto
babysitter	bambinaia
back‐door	porta di dietro
back	dorso
backbiting	maldicenza
background	fondo
backside	sedere
backward	a rovescio
backwards	indietro
back	quartiere popolare
bacon	lardo
bacterium	batterio
bad	cattivo
badger	tasso
badly	male
bag	borsa
bagasse	bagassa
baggage	bagaglio
bairn	bambino
bait	esca
baize	tessuto di lana
bake	cuocere
baker	fornaio
bakery	panetteria
balance	bilancio
balcony	balcone
bale	balla
baleen	osso di balena
ball‐bearing	globo
ball‐frame	pallottoliere
ball	ballo
ballad	ballata
ballade	ballata
ballast	zavorra
ballet	balletto
ballet	ballerino
balloon	pallone
ballpoint	penna a sfera
balustrade	parapetto
bamboo	bambù
ban	anatema
banana	banana
bandit	bandito
banisters	parapetto
bank‐note	banconota
bank	banca
banking	conto bancario
bankrupt	bancarotta
bankruptcy	fallimento
bank	conto bancario
bank	banchiere
bank	banchiere
banner	bandiera
baptism	battesimo
baptismal	fonte battesimale
baptize	battezzare
bar	sbarrare
barbarian	barbaro
barbaric	barbaro
barber	barbiere
bare	nudo
barely	appena
bargain	mercanteggiare
barge	chiatta
bark	corteccia
barley	orzo
barn	baracca
barometer	barometro
baron	barone
barrack	baracca
barracks	caserma
barrel	barile
barren	sterile
barrier	barriera
barring	eccetto
barrister‐at‐law	avvocato
barrister	avvocato
base	basare
basin	bacino
basket	cesto
bass	pesce persico
bast	corteccia
bastard	bastardo
bastion	baluardo
bath	vasca da bagno
bathe	bagnare
bathing‐suit	costume da bagno
bathing	costume da bagno
bathroom	stabilimento balneare
battalion	battaglione
battery	accumulatore
battle	battaglia
bay	baia
bayonet	baionetta
bazaar	bazar
beach	spiaggia
beacon	boa
beak	becco
beam	sciopero
bean	fava
bear	produrre
beard	barba
beast	animale
beat	battere
beautiful	bello
beauty	bellezza
because	considerato che
become	acclimarsi
becoming	conveniente
bed‐clothes	biancheria da letto
bed	letto
bedding	biancheria da letto
bedridden	costretto a letto
bedroom	camera da letto
bee‐keeper	apicoltore
bee‐keeping	apicoltura
bee‐master	apicoltore
bee	ape
beech	faggio
beef	manzo
beefsteak	bistecca
beehive	alveare
beer	birra
beet	barbabietola
befit	convenire
beg	mendicare
beggar	mendicante
begin	cominciare
beginning	inizio
behave	comportarsi
behavior	condotta
behaviour	condotta
behind	di dietro
behind	di nascosto
believe	credere
bell	campana
belly	ventre
belong	appartenere
below	sotto
belt	cintura
bench	panka
bend	curvarsi
beneath	sotto
benefit	beneficio
bent	curvo
beret	beretta
berry	bacca
beside	accanto
besides	d'altronde
besiege	assediare
best	migliore
bet	scommettere
better	migliore
beverage	bevanda
bevy	gruppo
beyond	dopo
be	potere
be	conoscere
be	aver timore
be	vivere
be	vergognarsi
be	dormire
be	combattere
be	osare
be	nascere
be	chiamarsi
be	dipendere da
be	resti dietro
be	convenire
be	trovarsi
be	avere fame
be	solere
be	resti dietro
be	trovarsi
be	maritarsi
be	far male
be	tacere
be	rassomiglare
be	rincrescere
be	prosperare
be	ammalarsi
be	volere
be	valere
be	meritare
bicuit	biscotto
bicycle	bicicletta
bid	offrire
big	grande
bike	bicicletta
bile	bile
bill	becco
billiards	biliardo
bill	cambiale
bind	rilegare
binding	legatura
birch	betulla
bird	uccello
birth	nascita
birthday	compleanno
biscuit	biscotto
bishop	vescovo
bit	pezzo
bite	mordere
bitter	amaro
black	nero
blackbird	merlo
bladder	vescica
blame	riprendere
blameworthy	biasimevole
blank	bianco
blanket	coperta
blaspheme	bestemmiare
bleak	sgradevole
bleat	belare
bleed	sanguinare
bleeding	salasso
blind	cieco
blindness	cecita
blister	bolla
block	bloccare
blockade	bloccare
blond	biondo
blood‐letting	salasso
blood‐relationship	parentado
blood	sangue
bloom	fiore
blotter	carta asciugante
blotting	carta asciugante
blouse	blusa
blow	colpo
blue	azzurro
blueberry	bacca di mirtillo
blunt	smussato
blushing	rosso
boarding	pensione
boarding	pensione
boat	barca
body	corpo
boil	bollire
boiler	calderotto
bold	grosso
bomb	bomba
bon‐bon	confetto
bonbon	confetto
bond	legame
bone	osso
bonnet	cappotta
book‐keeper	contabile
book‐keeping	contabilità
book	libro
bookcase	libreria
bookseller	librario
bookshop	libreria
bookstore	libreria
border	orlo
bore	succiello
bosom	petto
boss	capo
bother	disturbare
bottle	bottiglia
bottom	fondo
bough	ramo
boundary	confine
boutique	negozio
bow	arco
bowl	bacino
box	fare il pugilato
boy	ragazzo
bra	reggiseno
bracelet	braccialetto
brain	cervello
brake	frenare
branch	ramo
brandy	cognac
brass	ottone
bread	pane
bread	fetta di pane
break	rompere
breakfast	colazione
break	demolire
break	perdere l'abitunide di
bream	scardola
breast	petto
breath	alito
breathe	respirare
breed	razza
breeze	brezza
brew	far la birra
brick	mattone
bride	fidanzata
bridegroom	sposo
bridge	ponte
brief	corto
bright	brillante
brilliant	brillante
brim	orlo
bring	portare
brinjal	melanzana
brink	orlo
broad	largo
broadcast	trasmettere
bronze	bronzo
broom	granata
brother‐in‐law	cognato
brother	fratello
brow	sopracciglio
brown	bruno
brush	spazzolare
brutal	brusco
bubble	vescica
bucket	secchia
budget	bilancio
buffalo	bufalo
buffet	bar
bug	insetto
build	costruire
building	edificio
bulb	ampolla
bull	toro
bullet	palla
burden	caricare
bureau	ufficio
burn	ardere
burn	bruciare
burst	crepa
bury	seppellire
bus	autobus
bush	arbusto
business	affare
businessman	commerciante
business	affare
busk	osso di balena
busy	occupato
but	eccetto
butcher	macellaio
butcher's	macelleria
butter	burro
butterfly	farfalla
button	pulsante
buy	comperare
buyer	cliente
by	di
bye	addio
byname	soprannome
by	a caso
by	a caso
by	a memoria
by	per via di matrimonio
by	mediante
by	già
by	in nessun modo
by	a proposito
cabbage	cavolo
cabin	capanna
cabinet	armadio
cable	cavo
cactus	cacto
cake	torta
calabash	zucca
calculate	calcolare
calculation	conto
calf	vitello
call	chiamare
call	visitare
calm	calmo
cancel	annullare un ordine
candle	candela
capable	abile
capitulate	arrendersi
captain	capitano
capture	prendere
car	auto
card	carta
care	cura
careful	cauto
careless	negligente
caress	accarezzare
care	guarire
carnation	garofano
carpet	tappeto
carriage	vagone
carrot	carota
carry	portare
case	affare
cash	contante
casserole	casseruola
cast	calco
castle	castello
cat	gatto
catalogue	catalogo
catch	prendere
catching	infettivo
caterpillar	bruco
cathedral	catedrale
cauldron	calderotto
cauliflower	cavolfiore
cause	causare
caution	avvertire
cautious	cauto
cease	cessare
cede	cedere
ceiling	soffitto
celebrate	celebrare
celebration	festa
celery	sedano
cello	violoncello
cemetery	camposanto
censor	censura
censurable	biasimevole
censure	criticare
cent	centesimo
centennial	secolo
centimetre	centimetro
centipede	millepiedi
central	centrale
centre	centro
century	secolo
certain	certo
certainly	certamente
certificate	atto
chain	catena
chair	sedia
chalk	creta
challenge	contestare
chamber	camera
champagne	champagne
champion	campione
chance	caso
change	variazone
channel	condotto
chaplain	cappellano militare
character	carattere
characteristic	caratteristico
charge	spese
charitable	misericordioso
charity	elemosina
charm	fascino
charming	affascinante
chase	perseguire
chasm	abisso
chat	pettegolezzo
chatter	chiacchierare
chatterbox	chiacchierone
chauffeur	autista
cheap	a buon mercato
cheat	imbroglione
check	controllare
checker	controlore
check	controllare
cheek	guancia
cheerful	allegro
cheers	salute
cheese	formaggio
chef	capocuoco
chemist	farmacista
chemistry	chimica
chemist's	farmacia
cheque	assegno
cherry‐tree	ciliegio
cherry	ciliegia
chest	petto
chestnut‐tree	castagno
chestnut	castagna
chew	masticare
chicken	gallina
chief	capo
chiefly	principalmente
chief	commissario
child	bambino
chilly	freddo
chimney	fumaiuolo
chin	mento
chisel	scalpello
chive	cipollina
chlorine	cloro
chocolate	cioccolata
choice	scelta
choke	soffocare
choose	eleggere
chord	accordo
christen	battezzare
christening	battesimo
chuck	accarezzare
church‐building	chiesa
church	chiesa
cider	sidro
cinder	cenere
cinema	cinema
circle	circolo
circus	circo
citadel	cittadella
citation	citazione
cite	citare
city	città
civil	civile
civilian	civile
clap	applaudire
clarify	spiegare
claw	artiglio
clay	argilla
clean	puro
cleanliness	pulizia
cleanse	pulire
clear	distinto
clergyman	ecclesiastico
clever	abile
client	cliente
climate	aria
climb	salire
cloakroom	guardaroba
clock	orologio
close	chiudere
closed	chiuso
closet	armadio
clothe	vestire
cloud	nube
club	compagnia
clutch	afferrare
coach	vagone
coal	carbone
coast	costa
cock	cazzo
cocoa	cacao
cod	merluzzo
code	codice
codfish	merluzzo
coffee‐pot	caffettiera
coffee	caffé
coffin	cassa sa morto
cognac	cognac
coin	moneta
coition	coito
cold	freddo
colleague	collegio
collect	raccogliere
collection	gruppo
college	collega
colour	colore
comb	pettinare
come	discendere
comedy	commedia
come	accadere
come	incontrare
come	rivenire
come	avvicinarsi
come	avvicinarsi
come	avvicinarsi
come	unirsi
come	fermarsi
comfort	consolare
comfortable	comodo
comfortably	piacevolmente
comic	comico
comical	comico
command	comando
commander	comandante
commence	cominciare
commencement	inizio
commend	lodare
commerce	commercio
commercial‐at	chiocciola
committee	comitato
commodity	merce
common	comune
commonplace	banale
commotion	agitazione
communicate	annunciare
communication	annunzio
communist	comunista
company	compagnia
compare	confrontare
compartment	scompartimento
compass	bussola
compel	costringere
compensate	ricompensare
compensation	ricompensa
competition	concorrenza
complain	lagnarsi
complete	completo
completed	finito
completely	completamente
complexion	carnagione
compliment	complimento
component	ingrediente
composer	compositore
comprise	contenere
computer	computer
concave	cavo
conceal	nascondere
conceited	vanitoso
concentrated	denso
concern	importanza
concerning	concernere
concert	concerto
concise	breve
conclusion	conclusione
concord	accordo
concrete	calcestruzzo
concurrence	accordo
condemn	condannare
condemnable	biasimevole
condemnation	disapprovazione
conduct	condurre
conduct	comportarsi
confectioner	pasticciere
conference	conferenza
confess	confessare
confession	confessione
confidence	fiducia
confine	limitare
confined	costretto a letto
confirm	confermare
conflict	conflitto
confront	far fronte a
congratulate	felicitare
congress	congresso
connect	legare
connection	coincidenza
conquer	conquistare
conscious	cosciente
consciousness	consapevolezza
consecutively	successivamente
consent	concordare
conservation	conservazione
conserve	conservare
consider	considerare
considerable	considerevole
consignee	destinario
console	consolare
constant	costante
construct	costruire
consul	console
consulate	consolato
consultation	consulto
contact	contatto
contagion	contagio
contagious	infettivo
contain	contenere
container	cassa
contamination	contagio
contempt	sprezzo
contented	contento
contention	asserzione
contents	contenuto
contest	concorso
continual	costante
continue	durare
contract	contratto
contradict	contraddire
contrast	contrasto
contribute	contribuire
contribution	contributo
contrite	pentito
control	dominare
controller	controlore
convention	congresso
conversation	conversazione
conversion	cambiamento
convert	convertire
convince	convincere
convoke	convocare
cook	cuoca
cooked	cotto
cookie	biscotto
cool	raffreddare
cool	raffreddare
coping	cresta
copper	rame
copy	copiare
cork	sughero
corkscrew	cavatappi
corn	callo
corner	angolo
corpulent	grosso
correct	corretto
correspond	avere la coincidenza
corridor	corridoio
corroborate	confermare
cost	costare
costly	caro
costume	abito
cough	tossire
counsel	avvocato
counsellor	consigliere
count	calcolare
counter	banco
countermand	annullare un ordine
counting‐frame	pallottoliere
country	campagna
countryside	campagna
couple	coniugi
coupon	cedola
coupé	scompartimento
courage	coraggio
course	piatto
court	cortile
courteous	cortese
courtyard	cortile
cousin	cugina
cover	legatura
covered	coperto
cow	vacca
cowardice	codardia
crack	crepa
cradle	culla
crayfish	gambero
crazy	matto
cream	panna
credit	avere
crevice	crepa
crew	equipaggio
crime	delitto
crisis	crisi
criticism	critica
criticize	criticare
crockery	stoviglie
crocodile	coccodrillo
cross‐cut	tabacco da fumo
cross	irato
crowd	folla
crude	crudo
cruel	crudele
crumble	sgretolarsi
crumble	sgretolarsi
crumble	sgretolarsi
cry	grido
cry	gridare
cultivate	coltivare
cup	tazza
cupboard	armadio
cure	guarire
currant	ribes
current	corrente
currently	oggigiorno
curse	bestemmiare
curtain	cortina
curve	curva
curved	curvo
cushion	cuscino
cuss	bestemmiare
custom	costume
customary	consueto
customer	cliente
customs	dogana
cut	tagliare
cutlet	costoletta
cycle	bicicletta
cylinder	cilindro
cypres	cipresso
dagger	pugnale
daily	giornaliero
daily	giornale
dainty	delicato
damage	avaria
damp	umido
dance	ballo
dancer	ballerina
danger	pericolo
dangerous	pericoloso
dare	osare
dark	buio
darkness	oscurità
dark	blu scuro
darling	prediletto
data	materiale
date	dattero
daughter	figlia
dawn	alba
day	giorno
daybreak	alba
daylight	luce del giorno
dazed	confuso
dead	morto
deaden	ammortizzare
deadly	mortale
deaf	sordo
deaf	sordomuto
deal	trattare
dear	caro
death	morte
death	agonia
debt	debito
decayed	decrepito
deceive	ingannare
deceiver	imbroglione
decent	decente
decide	decidere
decimetre	decimetro
decision	decisione
decisive	decisivo
deck	coperta
declaration	dichiarazione
decline	declinare
decorate	decorare
decrease	diminuire
decree	decreto
decrepit	decrepito
deduce	concludere
deem	credere
deep	fondo
defeat	disfatta
defence	difesa
defend	difendere
defendant	accusato
defense	difesa
define	definire
defining	definito
definite	definitivo
definitive	definitivo
degree	grado
delay	ritardo
delegate	delegato
deliberately	apposta
delicate	delicato
delivery	consegna
demand	smercio
democratic	democratico
demolish	demolire
demolition	demolizione
demonstration	manifestazione
denounce	denunciare
dense	denso
dentist	dentista
deny	negare
depart	andarsene
departure	partenza
depend	dipendere
