α	t
Αράβισσα	arabiska
Αράλη	Aralsjön
Αραβία	Arabien
Αραγονία	Aragonien
Αραράτ	Ararat
Αργεντινή	Argentina
Αργεντινός	argentinare
Αρθούρος	Artur
Αριάδνη	Ariadne
Αριθμοί	Fjärde Moseboken
Αριστοτέλης	Aristoteles
Αριστοφάνης	Aristofanes
Αρκτική	Arktis
Αρλ	Arles
Αρμένια	armenier
Αρμένιος	armenier
Αρμενία	Armenien
Αρούμπα	Aruba
Αρχάγγελσκ	Archangelsk
Αρχιμήδης	Arkimedes
Ασία	Asien
Ασγκαμπάτ	Asjchabad
Ασιάτης	asiat
Ασπίς	Skölden
Ασσυρία	Assyrien
Ασσύριος	assyrier
Αστουριανός	asturier
Αστούρια	Asturien
Αστραχάν	Astrachan
Ατλαντικός Ωκεανός	Atlanten
Αττίλας	Attila
Αττική	Attika
Αυστρία	Österrike
Αυστραλία	Australien
Αυστραλασία	Australasien
Αυστραλός	australier
Αυστριακή	österrikiska
Αυστριακός	österrikare
Αυστροουγγαρία	Österrike-Ungern
Αφγανή	afghanska
Αφγανιστάν	Afghanistan
Αφγανός	afghan
Αφρική	Afrika
Αφρικανός	afrikan
Αφροδίτη	Venus
Αχαιός	Achaios
Αχιλλέας	Akilles
Αϊτή	Haiti
Αϊτινός	haitier
Αύγουστος	augusti
Βάδη-Βυρτεμβέργη	Baden-Wurttemberg
Βάσκος	bask
Βέλγιο	Belgien
Βέλγος	belgare
Βέλος	Pilen
Βέρα	Vera
Βέρβερος	berber
Βέρνη	Bern
Βίβλος	Bibeln
Βίκινγκ	viking
Βίλνιους	Vilnius
Βίμποργκ	Viborg
Βίνταρ	Vidar
Βαβυλωνία	Babylonien
Βαβυλώνα	Babylon
Βαβυλώνιος	babylonier
Βαγδάτη	Bagdad
Βαλέτα	Valletta
Βαλεαρίδες	Balearerna
Βαλεντίνος	Valentin
Βαλκάνια	Balkan
Βαλτική Θάλασσα	Östersjön
Βανκούβερ	Vancouver
Βανουάτου	Vanuatu
Βαντούζ	Vaduz
Βαρκελώνη	Barcelona
Βαρσοβία	Warszawa
Βασιλεία	Basel
Βασιλειών Α'	Första Kungaboken
Βασιλειών Β'	Andra Kungaboken
Βατικανό	Vatikanstaten
Βαυαρία	Bayern
Βαυαρός	bajersk
Βαϊκάλη	Bajkalsjön
Βεατρίκη	Beatrice
Βεγγάζη	Benghazi
Βεγγάλη	Bengalen
Βεγγαλέζος	bengal
Βεζούβιος	Vesuvius
Βελγίδα	belgiska
Βελιγράδι	Belgrad
Βενέδικτος	Bengt
Βενεζουέλα	Venezuela
Βενετία	Venedig
Βενιαμίν	Benjamin
Βεντόζ	ventôse
Βερίγγειος Πορθμός	Berings sund
Βερμούδες	Bermuda
Βερολίνο	Berlin
Βερολινέζος	berlinare
Βερόνικα	Veronika
Βεσσαραβία	Bessarabien
Βεστφαλία	Westfalia
Βηθλεέμ	Betlehem
Βηρυτός	Beirut
Βησιγότθος	västgot
Βιέννη	Wien
Βιεντιάν	Vientiane
Βιετνάμ	Vietnam
Βικιλεξικό	Wiktionary
Βικιπαίδεια	Wikipedia
Βικτωρία	Victoria
Βιστούλας	Wisła
Βιτρέ	Vitré
Βλάσιος	Blasius
Βλαντίμιρ	Vladimir
Βλαχία	Valakiet
Βοημία	Böhmen
Βολίνη	Boline
Βολιβία	Bolivia
Βολιβιανός	bolivian
Βοσνία	Bosnien
Βοσνία Ερζεγοβίνη	Bosnien och Hercegovina
Βουδαπέστη	Budapest
Βουκουρέστι	Bukarest
Βουλγάρα	bulgar
Βουλγάτα	Vulgata
Βουλγαρία	Bulgarien
Βουργουνδία	Bourgogne
Βοϊβοντίνα	Vojvodina
Βούδας	Buddha
Βούλγαρος	bulgar
Βοώτης	Björnvaktaren
Βρέμη	Bremen
Βραζιλία	Brasilien
Βρετάνη	Bretagne
Βρετανική Κολομβία	British Columbia
Βρετανός	britt
Βρυξέλλες	Bryssel
Βυζάντιο	Byzantion
Βωμός	Altaret
Βόλγας	Volga
Βόλφγκανγκ	Wolfgang
Βόρεια Αμερική	Nordamerika
Βόρεια Θάλασσα	Nordsjön
Βόρεια Ιρλανδία	Nordirland
Βόρεια Κορέα	Nordkorea
Βόρεια Μακεδονία	Nordmakedonien
Βόρεια Ρηνανία-Βεστφαλία	Nordrhein-Westfalen
Βόρειος Πόλος	Nordpolen
Βόσνιος	bosnier
Βόσπορος	Bosporen
Βύβλος	Byblos
Γάζα	Gaza
Γάλλος	fransk
Γάνδη	Gent
Γάσπαρης	Jesper
Γένεση	Första Moseboken
Γήινος	jordbo
Γαία	Gaia
Γαβριήλ	Gabriel
Γαλάτες	Galater
Γαλάτσι	Galați
Γαλαξίας	Vintergatan
Γαλικία	Galicien
Γαλλία	Frankrike
Γαλλίδα	fransyska
Γαλλικά νότια και ανταρκτικά εδάφη	Franska sydterritorierna
Γαλλική Πολυνησία	Franska Polynesien
Γερανός	Tranan
Γερμανία	Tyskland
Γερμανίδα	tyska
Γερμανός	tysk
Γεσθημανή	Getsemane
Γεωργία	Georgien
Γεώργιος	Örjan
Γη	Tellus
Γιάννης	Johan
Γιαπωνέζα	japanska
Γιαχβέ	Jahve
Γιβραλτάρ	Gibraltar
Γιερεβάν	Jerevan
Γιουγκοσλαβία	Jugoslavien
Γιουτλάνδη	Jylland
Γιώργος	Göran
Γκάμπια	Gambia
Γκάνα	Ghana
Γκαμπόν	Gabon
Γκντανσκ	Gdansk
Γκούρα	Goúra
Γκρενόμπλ	Grenoble
Γλυφείον	Gravstickeln
Γλύπτης	Bildhuggaren
Γνώμων	Vinkelhaken
Γοδεφρείδος	Gottfrid
Γολγοθάς	Golgata
Γουαδελούπη	Guadeloupe
Γουατεμάλα	Guatemala
Γουιάνα	Guyana
Γουινέα	Guinea
Γουλιέλμος	Vilhelm
Γρενάδα	Grenada
Γρηγόριος	Greger
Γροιλανδία	Grönland
Γότθος	got
ΔΝΤ	IMF
Δέσποινα	Despina
Δήλος	Delos
Δήμητρα	Demeter
Δίας	Jupiter
Δίδυμοι	Tvillingarna
Δίκτυον	Rombiska nätet
Δαμασκός	Damaskus
Δανία	Danmark
Δανιήλ	Daniel
Δανός	dansk
Δαρείος	Darieios
Δεκέμβριος	december
Δελφίν	Delfinen
Δευτέρα	måndag
Δευτερονόμιο	Femte Moseboken
Δημιουργός	skapare
Δημοκρατία της Κίνας	Republiken Kina
Δημοκρατία του Κονγκό	Republiken Kongo
Δημόκριτος	Demokritos
Διαβήτης	Cirkelpassaren
Διαφωτισμός	Upplysningen
Δνείπερος	Dnepr
Δομινίκα	Dominica
Δομινικανή Δημοκρατία	Dominikanska republiken
Δον Κιχώτης	Don Quijote
Δοράς	Svärdfisken
Δουβλίνο	Dublin
Δούμα	duma
Δούναβης	Donau
Δράκων	Draken
Δρακουμέλ	Gargamel
Δυρράχιο	Durrës
Δυτική Βιρτζίνια	Västvirginia
Δυτική Σαχάρα	Västsahara
Δωδεκάνησα	Dodekanisos
Δωροθέα	Dorotea
Δύση	Occidenten
ΕΚΤ	ECB
ΕΟΚ	EEC
ΕΟΧ	EES
ΕΣΣΔ	USSR
ΕΤΠΑ	Eruf
Εβραίος	jude
Εβραίους	Hebreerbrevet
Εγγύς Ανατολή	Främre Orienten
Εγκέλαδος	Enceladus
Εδέμ	Eden
Εδουάρδος	Edvard
Ειρήνη	Irene
Ειρηνικός Ωκεανός	Stilla havet
Εκάβη	Hekabe
Εκκλησιαστής	Predikaren
Εκουαδοριανή	ecuadorianska
Εκουαδοριανός	ecuadorian
Ελ Σαλβαδόρ	El Salvador
Ελένη	Helene
Ελίκη	Helike
Ελβετία	Schweiz
Ελβετός	schweizare
Ελεονώρα	Eleonora
Ελευσίνια Μυστήρια	Eleusinska mysterierna
Ελισάβετ	Elisabet
Ελλάδα	Grekland
Ελληνίδα	grekinna
Ελσίνκι	Helsingfors
Εμμανουήλ	Emanuel
Εμπεδοκλής	Empedokles
Εξάς	Sextanten
Επίκουρος	Epikuros
Εποχή του Λίθου	Stenåldern
Εποχή του Χαλκού	Bronsåldern
Ερμής	Merkurius
Ερρίκος	Henrik
Ερυθραία	Eritrea
Ερυθραίος	eritrean
Ερυθρός Σταυρός	Röda Korset
Εσθήρ	Ester
Εσθονία	Estland
Εσθονός	est
Ετρούσκος	etrusk
Ευαγγελισμός	Jungfru Marie bebådelsedag
Ευαγόρας	Euagoras
Ευγένιος	Eugen
Ευρασία	Eurasien
Ευριπίδης	Euripides
Ευρυδίκη	Eurydike
Ευρωπαίος	europé
Ευρωπαϊκή Ένωση	Europeiska unionen
Ευρωπαϊκή Επιτροπή	Europeiska kommissionen
Ευρώπη	Europa
Ευσέβιος	Eusebios
Ευφράτης	Eufrat
Εφεσίους	Efesier
Εφιάλτης	Efialtes
Εωσφόρος	Lucifer
Εύα	Eva
Εύξεινος Πόντος	Svarta havet
Ζάγκρεμπ	Zagreb
Ζάλογγο	Zalongo
Ζάμπια	Zambia
Ζαχαρίας	Sakarja
Ζερμινάλ	germinal
Ζιμπάμπουε	Zimbabwe
Ζυγός	Vågen
Ζυρίχη	Zürich
ΗΠΑ	USA
Ηλίας	Elia
Ηνίοχος	Kusken
Ηνωμένα Έθνη	Förenta nationerna
Ηνωμένα Αραβικά Εμιράτα	Förenade Arabemiraten
Ηνωμένες Πολιτείες της Αμερικής	Amerikas förenta stater
Ηνωμένο Βασίλειο	Förenade kungariket
Ηνωμένο Βασίλειο της Μεγάλης Βρετανίας και της Βορείου Ιρλανδίας	Förenade konungariket Storbritannien och Nordirland
Ηρακλής	Herkules
Ηριδανός	Floden Eridanus
Ηρόδοτος	Herodotos
Ησίοδος	Hesiodos
Ησαΐας	Jesaja
Ηώς	Eos
Θάλασσα Μπάρεντς	Barents hav
Θάλασσα του Μαρμαρά	Marmarasjön
Θέτις	Thetis
Θεέ μου	herre gud
Θεοδώρα	Teodora
Θεοδώριχος	Didrik
Θεοφάνια	trettondagen
Θεού θέλοντος	om Gud vill det
Θεσσαλία	Thessalien
Θεσσαλονίκη	Thessaloniki
Θεόδωρος	Teodor
Θεός	Gud
Θεόφιλος	Theofilus
Θηρεσία	Teresia
Θησέας	Theseus
Θιβέτ	Tibet
Θορ	Tor
Θουριγγία	Thüringen
Θράκη	Thrakien
Θρήνοι	Klagovisorna
Θωμάς	Thomas
Ιάβα	Java
Ιάκωβος	Jakob
Ιάμβλιχος	Iamblichos
Ιάπωνας	japan
Ιάσονας	Iason
Ιακώβ	Jakob
Ιανουάριος	januari
Ιανός	Janus
Ιαπωνία	Japan
Ιαχβέ	Jahve
Ιβάν	Ivan
Ιβοριανή	ivorianska
Ιβοριανός	ivorian
Ιγνάτιος	Ignatius
Ιεζεκιήλ	Hesekiel
Ιερεμίας	Jeremia
Ιερουσαλήμ	Jerusalem
Ιεχωβά	Jehova
Ιησούς	Jesus
Ιησούς Χριστός	Jesus Kristus
Ιλιάδα	Iliaden
Ιμαλάια	Himalaya
Ινδία	Indien
Ινδιάνος	indian
Ινδονησία	Indonesien
Ινδός	indier
Ιντούν	Idun
Ιξίων	Ixion
Ιορδάνης	Jordan
Ιορδανία	Jordanien
Ιουδαίος	jude
Ιούδας	Judas
Ιούλιος	juli
Ιούνιος	juni
Ιππάριον	Lilla hästen
Ιπποκράτης	Hippokrates
Ιράκ	Irak
Ιράν	Iran
Ιρακινός	irakier
Ιρανός	iranier
Ιρλανδία	Irland
Ισημερινή Γουινέα	Ekvatorialguinea
Ισημερινός	Ecuador
Ισλάμ	islam
Ισλαμαμπάντ	Islamabad
Ισλανδία	Island
Ισπανία	Spanien
Ισπανίδα	spanjorska
Ισπανός	spanjor
Ισραήλ	Israel
Ισραηλινός	israel
Ιστία	Seglet
Ιταλία	Italien
Ιταλίδα	italienska
Ιταλός	italienare
Ιχθύες	Fiskarna
Ιχθύς Ιπτάμενος	Flygfisken
Ιχθύς Νότιος	Södra fisken
Ιωάννα	Johanna
Ιωάννης	Jan
Ιωήλ	Joel
Ιωακείμ	Joakim
Ιωνάθαν	Jonatan
Ιωνάς	Jonas
Ιωσήφ	Josef
Ιωσούας	Josua
Ιόνια νησιά	Joniska öarna
Ιόνιο πέλαγος	Joniska havet
Ιώ	Io
Ιώβ	Job
ΚΚΣΕ	SUKP
Κάιρο	Kairo
Κάμινος	Ugnen
Κάννες	Cannes
Κάρολος	Karl
Κάτεγατ	Kattegatt
Κάτω Σαξονία	Niedersachsen
Κάτω Χώρες	Nederländerna
Κέλσιος	Celsius
Κένταυρος	Kentauren
Κένυα	Kenya
Κέρβερος	Cerberos
Κέρκυρα	Korfu
Κήτος	Valfisken
Κίεβο	Kiev
Κίνα	Kina
Καβυλία	Kabylien
Καζακστάν	Kazakstan
Καζαμπλάνκα	Casablanca
Καινή Διαθήκη	Nya Testamentet
Καλαβρία	Kalabrien
Καλιφόρνια	Kalifornien
Καλλιόπη	Kalliope
Καμερούν	Kamerun
Καμηλοπάρδαλις	Giraffen
Καμπανία	Kampanien
Καμπούλ	Kabul
Καμπότζη	Kambodja
Καναδάς	Canada
Καναδός	kanadensare
Καπιτώλιο	Kapitolium
Καρακάλλας	Carakalla
Καρκίνος	Kräftan
Καρχηδόνα	Karthago
Κασσάνδρα	Kassandra
Κασσιόπη	Cassiopeja
Κατάρ	Qatar
Καταλονία	Katalonien
Κατμαντού	Katmandu
Καύκασος	Kaukasus
Κεμπέκ	Québec
Κεντρική Αμερική	Centralamerika
Κεντροαφρικανική Δημοκρατία	Centralafrikanska republiken
Κερύνεια	Kyrenia
Κεφαλονιά	Kefalinia
Κεϋλάνη	Ceylon
Κηφεύς	Cepheus
Κινέζος	kines
Κιργιζία	Kirgizistan
Κιριμπάτι	Kiribati
Κιότο	Kyoto
Κλαύδιος	Claudius
Κλειώ	Klio
Κοζάκος	kosack
Κοινωνία των Εθνών	Nationernas förbund
Κοκκινοσκουφίτσα	Rödluvan
Κολομβία	Colombia
Κολοράντο	Colorado
Κολοσσαείς	Kolosserbrevet
Κολωνία	Köln
Κομόρες	Komorerna
Κονγκολέζος	kongoles
Κονγκό	Kongo
Κοπεγχάγη	Köpenhamn
Κοράνιο	koranen
Κορσική	Korsika
Κορσικανός	korsikan
Κοσσυφοπέδιο	Kosovo
Κουάλα Λουμπούρ	Kuala Lumpur
Κουβέιτ	Kuwait
Κουβεϊτιανός	kuwaitier
Κουρασάο	Curaçao
Κοϊντίνος	Qvintinus
Κούβα	Kuba
Κούρδος	kurd
Κρήτη	Kreta
Κρακοβία	Kraków
Κρατήρ	Bägaren
Κρεμλίνο	Kreml
Κρητιδική	krita
Κριμαία	Krim
Κριτές	Domarboken
Κριός	Väduren
Κροάτης	kroat
Κροάτισσα	kroatiska
Κροίσος	Krösus
Κροατία	Kroatien
Κρόνος	Saturnus
Κυκλάδες	Kykladerna
Κυπρία	cypriotiska
Κυριακή	söndag
Κυριακή προσευχή	Herrens bön
Κυριακή των Βαΐων	palmsöndag
Κωνσταντίνος	Konstantin
Κωνσταντινούπολη	Konstantinopel
Κως	Kos
Κόιντος	Qvintus
Κόμη Βερενίκης	Berenikes hår
Κόπτης	kopt
Κόρινθος	Korinth
Κόστα Ρίκα	Costa Rica
Κύθηρα	Kythera
Κύκνος	Svanen
Κύνες Θηρευτικοί	Jakthundarna
Κύπρια	cypriotiska
Κύπριος	cypriot
Κύπρος	Cypern
Κύριε ελέησον	Herre, förbarma Dig
Κύριος	Herre
ΛΟΑΤ	HBT
Λάζαρος	Lasaros
Λάνσελοτ	Lancelot
Λάος	Laos
Λέων	Lejonet
Λέων Μικρός	Lilla lejonet
Λίβανος	Libanon
Λίβυος	libyer
Λίγηρας	Loire
Λίμα	Lima
Λίχτενσταϊν	Liechtenstein
Λαγωός	Haren
Λαπωνία	Lappland
Λαυρέντιος	Lars
Λαϊκή Δημοκρατία της Κίνας	Folkrepubliken Kina
Λαϊκή Δημοκρατία του Κονγκό	Demokratiska republiken Kongo
Λεία	Lea
Λειψία	Leipzig
Λεσόθο	Lesotho
Λετονία	Lettland
Λετονός	lett
Λευκορωσία	Vitryssland
Λευκορωσίδα	vitryska
Λευκορώσος	vitryss
Λευκωσία	Nicosia
Λευϊτικό	Tredje Moseboken
Λεωνάρδος	Lennart
Λητώ	Leto
Λιβερία	Liberia
Λιβύη	Libyen
Λιθουανία	Litauen
Λιθουανός	litauer
Λιμνούπολη	Ankeborg
Λιουμπλιάνα	Ljubljana
Λισαβόνα	Lissabon
Λονδίνο	London
Λονδρέζα	Londonbo
Λονδρέζος	Londonbo
Λος Άντζελες	Los Angeles
Λουιζιάνα	Louisiana
Λουκάς	Lukas
Λουκία	Lucia
Λουξεμβουργιανή	luxemburgska
Λουξεμβουργιανός	luxemburgare
Λουξεμβούργο	Luxemburg
Λυδία	Lydia
Λυκαβηττός	Lykabettos
Λυών	Lyon
Λόκι	Loke
Λύκος	Vargen
Λύρα	Lyran
ΜΕΘ	IVA
ΜΚΔ	SGD
Μάγχη	Engelska kanalen
Μάιος	maj
Μάλι	Mali
Μάλτα	Malta
Μάρκος	Markus
Μάρτιος	mars
Μάρτυρας του Ιεχωβά	Jehovas vittne
Μέγας Κύων	Stora hunden
Μέδουσα	Medusa
Μέιν	Maine
Μέλισσα	Melissa
Μέριλαντ	Maryland
Μέση Ανατολή	Mellanöstern
Μαγιότ	Mayotte
Μαδαγασκάρη	Madagaskar
Μαδρίτη	Madrid
Μακεδονία	Makedonien
Μαλάουι	Malawi
Μαλαισία	Malaysia
Μαλαχίας	Malaki
Μαλδίβες	Maldiverna
Μαλτέζος	maltes
Μανάμα	Manama
Μανίλα	Manila
Μαρία	Maria
Μαραθώνας	Marathon
Μαργαρίτα	Margareta
Μαριούπολη	Mariupol
Μαροκινός	marockan
Μαρτινίκα	Martinique
Μαρόκο	Marocko
Μασαχουσέτη	Massachusetts
Μασσαλία	Marseille
Ματθίλδη	Matilda
Ματθαίος	Matteus
Μαυρίκιος	Mauritius
Μαυριτανία	Mauretanien
Μαυροβούνιο	Montenegro
Μαυροβούνιος	montenegrin
Μαυρογένης	Svartskägg
Μεγάλη Άρκτος	stora björnen
Μεγάλη Έκρηξη	Big Bang
Μεγάλη Βρετανία	Storbritannien
Μεγάλη Εβδομάδα	dymmelveckan
Μεγάλη Παρασκευή	långfredag
Μεγαλειότατε	Ers Majestät
Μεκλεμβούργο-Δυτική Πομερανία	Mecklenburg-Vorpommern
Μεξικανός	mexikan
Μεξικό	Mexiko
Μεσιντόρ	messidor
Μεσοποταμία	Mesopotamien
Μεσόγειος	Medelhavet
Μεσόγειος Θάλασσα	Medelhavet
Μεφιστοφελής	Mefistofeles
Μιζούρι	Missouri
Μικρά Ασία	Mindre Asien
Μικρή Άρκτος	Lilla björnen
Μικρονησία	Mikronesien
Μικροσκόπιον	Mikroskopet
Μικρός Κύων	Lilla hunden
Μιλάνο	Milano
Μινσκ	Minsk
Μισισίπι	Mississippi
Μιχάλης	Mikael
Μιχαήλ	Mikael
Μιχαίας	Mika
Μογγολία	Mongoliet
Μογγόλα	mongoliska
Μογκαντίσου	Mogadishu
Μοζαμβίκη	Moçambique
Μονακό	Monaco
Μονεγάσκος	monegask
Μοντσερράτ	Montserrat
Μονόκερως	Enhörningen
Μπέλγκοροντ	Belgorod
Μπέλφαστ	Belfast
Μπέστλα	Bestla
Μπακού	Baku
Μπαλντρ	Balder
Μπαμπ ελ Μαντέμπ	Bab el-Mandeb
Μπανγκλαντές	Bangladesh
Μπανγκλαντεσιανός	bangladeshare
Μπανγκόκ	Bangkok
Μπανταχσάν	Badakhshan
Μπαρμπάντος	Barbados
Μπασκορτοστάν	Basjkirien
Μπαστιά	Bastia
Μπαχάμες	Bahamas
Μπαχρέιν	Bahrain
Μπελίζ	Belize
Μπελμοπάν	Belmopan
Μπενίν	Benin
Μπενελούξ	Benelux
Μπετσουαναλάνδη	Bechuanaland
Μπετόβεν	Beethoven
Μποτσουάνα	Botswana
Μπουένος Άιρες	Buenos Aires
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Μπουτάν	Bhutan
Μπρατισλάβα	Bratislava
Μπρνο	Brno
Μπρουνέι	Brunei
Μπρυζ	Brygge
Μπρυμαίρ	brumaire
Μπόρνχολμ	Bornholm
Μυία	Flugan
Μυκήνες	Mykene
Μωάμεθ	Muhammed
Μωυσής	Mose
Μόναχο	München
Μόντρεαλ	Montréal
Μόσχα	Moskva
ΝΑΤΟ	NATO
Νάντια	Nadja
Νάπολη	Neapel
Νέα Ζηλανδία	Nya Zeeland
Νέα Καληδονία	Nya Kaledonien
Νέα Υόρκη	New York
Νέο Δελχί	New Delhi
Νέος Κόσμος	Ny Värld
Νέρτους	Nerthus
Νήσοι Κουκ	Cooköarna
Νήσοι Μάρσαλ	Marshallöarna
Νίγηρας	Niger
Νίκαια	Nice
Νίκη	Nike
Ναμίμπια	Namibia
Ναούμ	Nahum
Ναούρου	Nauru
Ναταλία	Natalia
Ναϊρόμπι	Nairobi
Νεεμίας	Nehemja
Νεοϋορκέζος	New York-bo
Νεπάλ	Nepal
Νιβόζ	nivôse
Νιγηρία	Nigeria
Νικαράγουα	Nicaragua
Νικόδημος	Nikodemus
Νικόλαος	Nikolaus
Νιούε	Niue
Νοέμβριος	november
Νορβηγία	Norge
Νορβηγίδα	norska
Νορβηγός	norrman
Ντόχα	Doha
Νότια Αμερική	Sydamerika
Νότια Αφρική	Sydafrika
Νότια Καρολίνα	Sydkarolina
Νότια Κορέα	Sydkorea
Νότιο Σουδάν	Sydsudan
Νότιος Πόλος	sydpolen
Νώε	Noah
Ξάνθη	Xánthi
Οβδιού	Obadja
Οδησσός	Odessa
Οδυσσέας	Odysseus
Οδύσσεια	Odysséen
Οθωμανική Αυτοκρατορία	Osmanska riket
Οιδίποδας	Oidipus
Οκρίβας	Målaren
Οκτάς	Oktanten
Οκτώβριος	Oktober
Ολλανδή	holländska
Ολλανδία	Holland
Ολλανδικές Αντίλλες	Nederländska Antillerna
Ολλανδός	holländare
Ολυμπιακοί Αγώνες	Olympiska Spelen
Ομάν	Oman
Ονήσιλος	Onesilos
Ονδούρα	Honduras
Οντίν	Oden
Οξφόρδη	Oxford
Οργανισμός Βορειοατλαντικού Συμφώνου	Nordatlantiska fördragsorganisationen
Οργανισμός Ηνωμένων Εθνών	Förenta nationerna
Ορθόδοξη Εκκλησία	Ortodoxa kyrka
Ορλεάνη	Orléans
Οσάκα	Osaka
Οττάβα	Ottawa
Ουαλία	Wales
Ουαλός	walesare
Ουγγαρία	Ungern
Ουγκάντα	Uganda
Ουζμπεκιστάν	Uzbekistan
Ουκρανή	ukrainska
Ουκρανία	Ukraina
Ουκρανός	ukrainare
Ουλουρού	Ayers Rock
Ουλρ	Ull
Ουρανός	Uranos
Ουρουγουάη	Uruguay
Ουψάλα	Ubsola
Οφηλία	Ofelia
Οφιούχος	Ormbäraren
Ούγγρος	ungrare
ΠΟΠ	SUB
ΠΟΥ	WHO
