έξ	ex
Αικατερίνη	Catherine
Αιμίλιος	Émile
Αιμιλία	Émilie
Αιξ αν Προβάνς	Aix-en-Provence
Αιξ λε Μπεν	Aix-les-Bains
Αιξωνή	Aixonè
Αισχύλος	Eschyle
Ακαθάριστο Εγχώριο Προϊόν	Produit Intérieur Brut
Ακαθάριστο Εθνικό Προϊόν	Produit National Brut
Ακουιτανία	Aquitaine
Ακρόπολη	Acropole
Ακτή Ελεφαντοστού	Côte d'Ivoire
Ακτινοπτερύγιοι	actinomycose
Ακύλας	Aquila
Αλάσκα	Alaska
Αλέξανδρος	Alexandre
Αλή	Ali
Αλίκη	Alice
Αλαμπάμα	Alabama
Αλβέρτος	Albert
Αλβανή	Albanaise
Αλβανία	Albanie
Αλβανός	Albanais
Αλγέρι	Alger
Αλγερία	Algérie
Αλγερινή	Algérienne
Αλγερινός	Algérien
Αλεξάνδρα	Alexandra
Αλεξάνδρεια	Alexandrie
Αλεξανδρούπολη	Alexandroúpoli
Αλιάκμονας	Aliakmon
Αλκμάν	Alcman
Αλλάχ	Allah
Αλμπουκέρκη	Albuquerque
Αλσατή	Alsacienne
Αλσατία	Alsace
Αλσατός	Alsacien
Αλωπεκή	Alopèce
Αλώπηξ	Petit Renard
Αμάν	Amman
Αμάντα	Amanda
Αμαζόνα	Amazone
Αμαζόνιος	Amazone
Αμβέρσα	Anvers
Αμερική	Amérique
Αμερικανίδα	Américaine
Αμερικανική Σαμόα	Samoa américaines
Αμερικανός	Américain
Αμιένη	Amiens
Αμοργός	Amorgos
Αμπχαζία	Abkhazie
Αμφίκλεια	Amphiclée
Αμφίπολη	Amphipolis
Αμφιάλη	Amphiali
Αμώς	Amos
Ανάμ	Annam
Ανάσταση	résurrection
Αναγέννηση	Renaissance
Αναξίμανδρος	Anaximandre
Αναξιμένης	Anaximène
Αναστασία	Anastasie
Ανατολία	Anatolie
Ανατολίτης	Oriental
Ανατολίτισσα	Anatolienne
Ανατολικό Μπλοκ	pays de l'Est
Ανγκολέζα	Angolaise
Ανγκολέζος	Angolais
Ανγκουίλα	Anguilla
Ανγκουλέμ	Angoulême
Ανγκόλα	Angola
Ανδαλουσία	Andalousie
Ανδαλουσιανή	Andaloue
Ανδαλουσιανός	Andalou
Ανδορανή	Andorrane
Ανδορανός	Andorran
Ανδρέας	André
Ανδριάνα	Andrianne
Ανδρομέδα	Andromède
Ανδόρα	Andorre
Ανδόρα λα Βέλια	Andorre-la-Vieille
Ανθεστήρια	Anthestéries
Ανθεστηριώνας	Anthestérion
Ανκόνα	Ancône
Αννίβας	Hannibal
Αντίγκουα και Μπαρμπούντα	Antigua-et-Barbuda
Αντίλλες	Antilles
Αντίμαχος	Antimache
Αντίμπ	Antibes
Ανταναναρίβο	Tananarive
Ανταρκτική	Antarctique
Αντιγκέα	Adyguée
Αντικύθηρα	Anticythère
Αντιόχεια	Antioche
Αντλία	Machine Pneumatique
Αντωνία	Antoinette
Αντώνιος	Antoine
Απάτσι	Apache
Απέννινα	Apennins
Απαλάχια	Appalaches
Αποκάλυψη	Apocalypse
Αποκριά	mardi gras
Απουλήιος	Apulée
Απουλία	Pouille
Απρίλιος	avril
Απόλλων	Apollon
Αράλη	mer d'Aral
Αρίων	Arion
Αραβία	Arabie
Αραγονέζα	Aragonaise
Αραγονέζος	Aragonais
Αρβανίτης	Arvanites
Αργεντινή	Argentine
Αργεντινός	Argentin
Αργυρούπολη	Argyroupoli
Αργώ	Navire Argo
Αρδέννες	Ardennes
Αρετή	Arété
Αρθούρος	Arthur
Αρθρόποδα	arthropoda
Αριάνα	Ariane
Αριζόνα	Arizona
Αριθμοί	Nombres
Αριστογείτων	Aristogiton
Αριστοτέλης	Aristote
Αριστοφάνης	Aristophane
Αρκτική	Arctique
Αρλ	Arles
Αρμένια	Arménienne
Αρμένιος	Arménien
Αρμενία	Arménie
Αρμόδιος	Harmodios
Αρομάνς	Arromanches
Αρούμπα	Aruba
Αρσένιος	Arsène
Αρσινόη	Arsinoé
Αρχάγγελοι	Archanges
Αρχάγγελσκ	Arkhanguelsk
Αρχές	Principautés
Αρχιμήδης	Archimède
Ασία	Asie
Ασγκαμπάτ	Achgabat
Ασιάτης	Αsiatique
Ασιάτισσα	Asiatique
Ασκληπιός	Asclépios
Ασμοδαίος	Asmodée
Ασουάν	Assouan
Ασουνσιόν	Asunción
Ασπίς	Écu de Sobieski
Ασσάμ	Assam
Ασσυρία	Assyrie
Ασσύρια	Assyrienne
Ασσύριος	Assyrien
Αστάνα	Astana
Αστουριανή	Asturienne
Αστουριανός	Asturien
Αστούρια	Asturies
Αστραχάν	Astrakhan
Αταλάντη	Atalante
Ατζαρία	Adjarie
Ατλάντα	Atlanta
Ατλαντικός Ωκεανός	océan Atlantique
Ατρείδης	Atrides
Αττική	Attique
Αυγή	Aurore
Αυγουστίνος	Augustin
Αυγούστα	Augustine
Αυστρία	Autriche
Αυστραλή	Australienne
Αυστραλία	Australie
Αυστραλασία	Australasie
Αυστραλός	Australien
Αυστριακή	Autrichienne
Αυστριακός	Autrichien
Αφγανή	Afghane
Αφγανιστάν	Afganistan
Αφγανός	Afghan
Αφρική	Afrique
Αφροδίτη	Aphrodite
Αχαιός	Achaïos
Αχελώος	Achéloos
Αχιλλέας	Achille
Αχρίδα	Ohrid
Αϊτή	Haïti
Αϊτινός	Haïtien
Αύγουστος	août
ΒΛ	wikt
Βάδη	Bade
Βάδη-Βυρτεμβέργη	Bade-Wurtemberg
Βάι	Vai
Βάνδαλοι	Vandales
Βάρη	Vári
Βάρκιζα	Várkiza
Βάσκος	Basque
Βέλγιο	Belgique
Βέλγος	Belge
Βέλος	Flèche
Βέρβερος	Berbère
Βέρνη	Berne
Βέρνον	Vernon
Βίβλος	Bible
Βίδο	Héracléion
Βίκινγκ	Viking
Βίκτωρ	Victor
Βίνταρ	Vidar
Βαβέλ	Babel
Βαβυλωνία	Babylonie
Βαβυλώνα	Babylone
Βαγδάτη	Bagdad
Βακτριανή	Bactriane
Βαλένθια	Valence
Βαλεαρίδες	Baléares
Βαλεντίνος	Valentin
Βαλκάνια	Balkans
Βαλλονία	Wallonie
Βαλλόνος	Wallon
Βαλτική Θάλασσα	mer Baltique
Βανάτο	Banat
Βανέσσα	Vanessa
Βανουάτου	République de Vanuatu
Βαντεμιέρ	vendémiaire
Βαντούζ	Vaduz
Βαρκελώνη	Barcelone
Βαρνάβας	Barnabé
Βαρσοβία	Varsovie
Βασίλειος	Basile
Βασιλεία	Bâle
Βασιλειών Α'	1 Rois
Βασιλειών Β'	2 Rois
Βασόρα	Bassorah
Βατικανό	Vatican
Βατραχοειδή	batrachoididé
Βαυαρή	Bavaroise
Βαυαρία	Bavière
Βαυαρός	Bavarois
Βαϊκάλη	Baïkal
Βεατρίκη	Béatrice
Βεγγάζη	Benghazi
Βεγγάλη	Bengale
Βεζούβιος	Vésuve
Βελγίδα	Belge
Βελιγράδι	Belgrade
Βενέδικτος	Benoît
Βενεδικτίνη	Bénédictine
Βενετία	Venise
Βενετός	Vénitien
Βενιαμίν	Benjamin
Βεντόζ	ventôse
Βερίγγειος Πορθμός	détroit de Béring
Βερμούδες	Bermudes
Βερνέιγ σιρ Αβρ	Verneuil-sur-Avre
Βερνόν	Vernon
Βερολίνο	Berlin
Βερολινέζα	Berlinoise
Βερολινέζος	Berlinois
Βερσαλλίες	Versailles
Βερόνικα	Véronique
Βεσσαραβία	Bessarabie
Βεστφαλή	Westphalienne
Βεστφαλία	Westphalie
Βεστφαλός	Westphalien
Βηθεσδά	Bethesda
Βηθλεέμ	Bethléem
Βηρυτός	Beyrouth
Βησιγότθος	Wisigoth
Βιέννη	Vienne
Βιβιάνα	Viviane
Βιεννέζος	Viennois
Βιετνάμ	Vietnam
Βιετναμέζος	Vietnamien
Βιθυνία	Bithynie
Βικιβιβλία	Wikilivres
Βικιθήκη	Wikisource
Βικιλεξικό	Wiktionnaire
Βικιπαίδεια	Wikipédia
Βιργινία	Virginie
Βιστούλας	Vistule
Βιτρέ	Vitré
Βλάσιος	Blaise
Βλαντίμιρ	Vladimir
Βλαχία	Valachie
Βοημία	Bohème
Βολιβία	Bolivie
Βονιφάτιος	Boniface
Βοοειδή	bovidés
Βοσνία	Bosnie
Βοσνία Ερζεγοβίνη	Bosnie-Herzégovine
Βουδαπέστη	Budapest
Βουλγάτα	Vulgate
Βουλγαρία	Bulgarie
Βουλιαγμένη	Vouliagméni
Βουλώνη	Boulogne
Βουργουνδία	Bourgogne
Βουρλά	Urla
Βοϊβοντίνα	Voïvodine
Βούλα	Voúla
Βούλγαρος	Bulgare
Βοώτης	Bouvier
Βρέστη	Brest
Βραβάντη	Brabant
Βραδύπορα	tardigrade
Βραζιλία	Brésil
Βρετάνη	Bretagne
Βρετόνη	Bretonne
Βρετόνος	Breton
Βρούτιος	Bruce
Βρυξέλλες	Bruxelles
Βρυξελλιώτης	Bruxellois
Βυζάντιο	Byzance
Βυρτεμβέργη	Wurtemberg
Βωμός	Autel
Βόλγας	Volga
Βόλος	Vólos
Βόλφανγκο	Wolfgang
Βόλφγκανγκ	Wolfgang
Βόρεια Αμερική	Amérique du Nord
Βόρεια Θάλασσα	mer du Nord
Βόρεια Ιρλανδία	Irlande du Nord
Βόρεια Κορέα	Corée du Nord
Βόρεια Μακεδονία	Macédoine du Nord
Βόρειος Πόλος	pôle Nord
Βόσνιος	Bosniaque
Βόσπορος	Bosphore
Βύρωνας	Výronas
ΓΔ	DG
Γάζα	Gaza
Γάλλος	Français
Γάνδη	Gand
Γάσπαρης	Gaspard
Γένεση	Genèse
Γήινος	Terrien
Γαία	Gaïa
Γαβριήλ	Gabriel
Γαλάτες	Galates
Γαλάτης	Gaulois
Γαλάτσι	Galatsi
Γαλαξίας	Voie lactée
Γαλαξίδι	Galaxidi
Γαλατία	Gaule
Γαλικία	Galice
Γαλλία	France
Γαλλίδα	Française
Γαλλικά νότια και ανταρκτικά εδάφη	Terres australes et antarctiques françaises
Γαλλική Γουϊάνα	Guyane Française
Γαλλική Πολυνησία	Polynésie Française
Γαρούνας	Garonne
Γενοβέφα	Geneviève
Γερανός	Grue
Γερμανία	Allemagne
Γερμανίδα	Allemande
Γερμανός	Allemand
Γεσθημανή	Gethsémani
Γεωργία	Géorgie
Γεώργιος	Georges
Γιαπωνέζα	Japonaise
Γιαχβέ	Yahvé
Γιβραλτάρ	Gibraltar
Γιερεβάν	Erevan
Γιουγκοσλαβία	Yougoslavie
Γιουτλάνδη	Jutland
Γιώργος	Georges
Γκίζα	Gizeh
Γκαμπόν	Gabon
Γκοντάρ	Godard
Γκούρα	Goura
Γκρενόμπλ	Grenoble
Γκότσε Ντέλτσεφ	Gotsé Deltchev
Γλυφάδα	Glyfáda
Γλυφείον	Burin
Γλύπτης	Sculpteur
Γνώμων	Règle
Γολγοθάς	Golgotha
Γολιάθ	Goliath
Γοργώ	Gorgone
Γουαδελούπη	Guadeloupe
Γουινέα Μπισσάου	Guinée Bissau
Γουλιέλμος	Guillaume
Γρηγόριος	Grégoire
Γροιλανδία	Groenland
Γότθος	Goth
ΔΑΑ	IDH
ΔΔ	CIG
ΔΚΔ	CIG
ΔΚΟ	DCI
ΔΝΤ	FMI
ΔΟΕ	CIO
ΔΦΑ	API
Δέσποινα	Despina
Δήλος	Délos
Δήμητρα	Déméter
Δίας	Zeus
Δίδυμοι	Gémeaux
Δίκτυον	Réticule
Δαμασκός	Damas
Δανή	Danoise
Δανία	Danemark
Δανιήλ	Daniel
Δανός	Danois
Δαρδανέλλια	Dardanelles
Δαρείος	Darius
Δαχομέη	Dahomey
Δεκέλεια	Décélie
Δεκέμβριος	décembre
Δελφίν	Dauphin
Δευτέρα	lundi
Δευτέρα του Αγίου Πνεύματος	lundi de Pentecôte
Δευτέρα του Πάσχα	lundi de Pâques
Δευτερονόμιο	Deutéronome
Δημήτριος	Démétrius
Δημιουργός	Créateur
Δημοκρατία του Κονγκό	République du Congo
Δημόκριτος	Démocrite
Διάσπαρτες Νήσοι Ινδικού Ωκεανού	îles éparses de l'océan indien
Διαβήτης	Compas
Διακαινήσιμος	Semaine radieuse
Διαφωτισμός	siècle des Lumières
Διεθνές Νομισματικό Ταμείο	Fonds Monétaire International
Διεθνές Σύστημα Μονάδων	Système International d'Unités
Διεθνής Φωνητική Ένωση	Association Phonétique Internationale
Διομήδης	Diomède
Διόνυσος	Dionysos
Δνείπερος	Dniepr
Δνείστερος	Dniestr
Δον Κιχώτης	Don Quichotte
Δοράς	Dorade
Δουβλίνο	Dublin
Δουνκέρκη	Dunkerque
Δούμα	douma
Δούναβης	Danube
Δράκων	Dragon
Δρακουμέλ	Gargamel
Δυνάμεις	Vertus
Δυρράχιο	Durrës
Δωδεκάνησα	Dodécanèse
Δωδεκάνησος	Dodécanèse
Δωδεκανήσιος	Française
Δόρα Ριπάρια	Doire Ripaire
Ε.Σ.Π.Α.	cadre de référence stratégique national
ΕΖΕΣ	AELE
ΕΚ	CE
ΕΚΤ	BCE
ΕΟΚ	CEE
ΕΟΧ	EEE
ΕΠΕ	SARL
ΕΣΣΔ	URSS
ΕΤΠΑ	FEDER
Εβελίνα	Éveline
Εβραία	Juive
Εβραίος	Juif
Εβραίους	Hébreux
Εγίρα	hégire
Εγγύς Ανατολή	Proche-Orient
Εγκέλαδος	Encelade
Εδέμ	Éden
Εδουάρδος	Édouard
Εθνικό Μετσόβιο Πολυτεχνείο	Université polytechnique nationale d'Athènes
Ειρήνη	Irène
Ειρηνικός	Pacifique
Ειρηνικός Ωκεανός	Pocéan Pacifique
Εκάτη	Hécate
Εκδυσόζωα	ecdysozoaire
Εκκλησιαστής	Ecclésiaste
Ελ Γκρέκο	El Greco
Ελ Νίνιο	El Niño
Ελένη	Hélène
Ελασσόνα	Elassóna
Ελαφίδες	Cervidae
Ελαφηβολιών	Élaphébolion
Ελβετία	Suisse
Ελβετίδα	Suissesse
Ελβετός	Suisse
Ελεονώρα	Éléonore
Ελευσίνα	Éleusis
Ελευσίνια Μυστήρια	Mystères d'Éleusis
Ελικώνας	Hélicon
Ελισάβετ	Élisabeth
Ελλάδα	Grèce
Ελλήσποντος	Hellespont
Ελληνίδα	Grecque
Ελληνορώσων	Ellinoróson
Ελσίνκι	Helsinki
Εμμανουέλα	Emmanuelle
Εμμανουήλ	Emmanuel
Εμπεδοκλής	Empédocle
Εξάς	Sextant
Εξκάλιμπερ	Excalibur
Εξουσίες	Puissances
Εξτρεμαδούρα	Estrémadure
Επίδαυρος	Épidaure
Επίκουρος	Épicure
Εποχή του Χαλκού	Âge du bronze
Ερέχθειο	Érechthéion
Ερατώ	Érato
Εργατική Πρωτομαγιά	Fête du Travail
Ερινύα	Érinye
Ερινύες	Érinyes
Ερμής	Mercure
Ερμιόνη	Hermione
Ερρίκος	Henri
Ερριέτα	Henriette
Ερυθραία	Érythrée
Ερυθραίος	Érythréen
Ερυθρός Σταυρός	Croix-Rouge
Εσθήρ	Esther
Εσθονία	Estonie
Εσθονός	Estonien
Εσμεράλδα	Esmeralda
Εσπερία	occident
Εταιρεία των Φιλικών	Société des amis
Ετρούσκοι	Étrusques
Ευαγγελίνα	Évangéline
Ευαγόρας	Evagoras
Ευγένιος	Eugène
Ευγενία	Eugénie
Ευλάλιος	Eulalios
Ευλαλία	Eulalie
Ευμενίδες	Eumenides
Ευμορφία	Belle
Ευρασία	Eurasie
Ευριπίδης	Euripide
Ευρυβιάδης	Eurybiade
Ευρυδίκη	Eurydice
Ευρωζώνη	euroland
Ευρωομάδα	Eurogroupe
Ευρωπαίος	Européen
Ευρωπαϊκή Ένωση	Union Européenne
Ευρωπαϊκή Επιτροπή	Commission européenne
Ευρύκλεια	Euryclée
Ευρώπα Νήσος	île Europa
Ευρώπη	Europe
Ευσέβιος	Eusèbe
Ευστάθιος	Eustache
Ευτέρπη	Euterpe
Ευτύχιος	Eutychius
Εφεσίους	Éphésiens
Εωσφόρος	Lucifer
Εύα	Ève
Εύβοια	Eubée
Εύμαιος	Eumée
Εύμηλος	Eumélos
Εύξεινος Πόντος	mer Noire
Εύφημος	Euphème
Ζάκυνθος	Zacynthe
Ζαΐρ	Zaïre
Ζαρατούστρα	Zarathoustra
Ζαχαρίας	Zacharie
Ζερμινάλ	germinal
Ζιμπάμπουε	Zimbabwe
Ζυγός	Balance
Ζυρίχη	Zurich
Ζωή	Zoé
Ζωγράφου	Zográfou
Ζωροάστρης	Zoroastre
ΗΠΑ	USA
Ηγήσιππος	Hégésippe
Ηγεμόνη	Hégémone
Ηλίας	Élie
Ηλιούπολη	Héliopolis
Ηλιόδωρος	Héliodore
Ημαθία	Imathie
Ημικύκλιο	hémicycle
Ηνίοχος	Cocher
Ηνωμένα Έθνη	Nations Unies
Ηνωμένα Αραβικά Εμιράτα	Émirats arabes unis
Ηνωμένες Πολιτείες της Αμερικής	États-Unis d'Amérique
Ηνωμένο Βασίλειο	Royaume-Uni
Ηράκλειο	Héraklion
Ηρακλής	Hercule
Ηριδανός	Éridan
Ηρόδοτος	Hérodote
Ησίοδος	Hésiode
Ησαΐας	Isaïe
Ηωήλ	Joël
Ηώς	Éos
Θάλασσα Μπάρεντς	mer de Barents
Θάλασσα του Μαρμαρά	Mer de Marmara
Θάλεια	Thalie
Θάσος	Cyclades
Θέλμα	Thelma
Θέτις	Thetis
Θήβα	Thèbes
Θαβώρ	Thabor
Θεέ μου	mon Dieu
Θεία Ευχαριστία	eucharistie
Θεοβάλδος	Thibaut
Θεοδώριχος	Thierry
Θεοφάνια	Épiphanie
Θερμιδόρ	thermidor
Θεσσαλονίκη	Salonique
Θεσσαλός	Thessalien
Θεόδουλος	Théodule
Θεόδωρος	Théodore
Θεόκριτος	Théocrite
Θεός	Dieu
Θεόφιλος	Théophile
Θηρεσία	Thérèse
Θησέας	Thésée
Θιβέτ	Tibet
Θράκη	Thrace
Θρήνοι	Lamentations
Θρόνοι	Trônes
Θωμάς	Thomas
Ιάκωβος	Jacques
Ιάμβλιχος	Iambliche
Ιάπωνας	Japonais
Ιανουάριος	janvier
Ιανός	Janus
Ιαπωνία	Japon
Ιαχβέ	Yahvé
Ιβάν	Ivan
Ιβοριανή	Ivoirienne
Ιβοριανός	Ivoirien
Ιγνάτιος	Ignace
Ιεζεκιήλ	Ézéquiel
Ιερά Εξέταση	Inquisition
Ιερά Οδός	Voie Sacrée
Ιερά Σύνοδος	Saint-Synode
Ιεράπολη	Hierapolis
Ιερεμίας	Jérémie
Ιερουσαλήμ	Jérusalem
Ιερώνυμος	Jérôme
Ιεχωβά	Jéhovah
Ιζαμπώ	Isabeau
Ιησούς	Jésus
Ιησούς Χριστός	Jésus-Christ
Ιλιάδα	Iliade
Ινδία	Inde
Ινδιάνος	Indien
Ινδοευρωπαίος	indo-européen
Ινδονήσιος	Indonésien
Ινδονησία	Indonésie
Ινδός	Indien
Ιντούν	Idunn
Ιξίων	Ixion
Ιοκάστη	Iocasta
Ιονέσκο	Ionesco
Ιορδανία	Jordanie
Ιουδαίος	Juif
Ιουρασική	Jurassique
Ιούδας	Judas
Ιούλιος	juillet
Ιούνιος	juin
Ιππάριον	Petit Cheval
Ιπποκράτης	Hippocrate
Ιράν	Iran
Ιρανός	Iranien
Ιρλανδία	Irlande
Ιρλανδός	irlandais
Ισίδωρος	Isidore
Ισημερινός	Équateur
Ισλάμ	islam
Ισλανδία	Islande
Ισλανδός	Islandais
Ισοζύγιο Τρεχουσών Συναλλαγών	balance courante
Ισπανία	Espagne
Ισπανίδα	Espagnole
Ισπανός	Espagnol
Ισραήλ	Israël
Ισραηλίτης	Israélite
Ισραηλίτισσα	israélite
Ισραηλινός	Israélien
Ιστία	Voiles
Ιστιαία	Istiaía
Ισφαχάν	Ispahan
Ιταλία	Italie
Ιταλίδα	Italienne
Ιταλός	Italien
Ιχθύες	Poissons
Ιχθύς Ιπτάμενος	Poisson Volant
Ιχθύς Νότιος	Poisson Austral
Ιωάννα	Jeanne
Ιωάννης	Jean
Ιωήλ	Joël
Ιωλκός	Iolcos
Ιωνάθαν	Jonathan
Ιωνάς	Jonas
Ιωσήφ	Joseph
Ιόνια νησιά	îles Ioniennes
Ιώ	Io
Ιώβ	Job
ΚΟΚ	code
Κάιρο	Le Caire
Κάμινος	Fourneau
Κάννες	Cannes
Κάρολος	Charles
Κάρπαθος	Karpathos
Κάτω Χώρες	Pays-Bas
Κέα	Kéa
Κέιπ Τάουν	Cape Town
Κέλσιος	Celsius
Κένταυρος	Centaure
Κένυα	Kenya
Κέρβερος	Cerbère
Κέρκυρα	Corfou
Κήτος	Baleine
Κίεβο	Kiev
Κίνα	Chine
Κίσαβος	Kissavos
Καέν	Caen
Καίσαρ	César
Καβάφης	Cavafy
Καβυλία	Kabylie
Καβύλος	Kabyle
Καζαμπλάνκα	Casablanca
Καθαρά Δευτέρα	Lundi pur
Καικιλία	Cécile
Καινή Διαθήκη	Nouveau Testament
Καλαί	Calais
Καλαμπάκα	Kalambáka
Καλιφόρνια	Californie
Καλλίμαχος	Callimaque
Καλλιθέα	Kallithéa
Καλλιόπη	Calliope
Καμερούν	Cameroun
Καμηλοπάρδαλις	Girafe
Καμπανία	Champagne
Καμπότζη	Cambodge
Καναδάς	Canada
Καναδή	Canadienne
Καναδός	Canadien
Καραβάς	Karavás
Καρακάλλας	Caracalla
Καραϊβική	Caraïbes
Καρκίνος	Cancer
Καρκασόν	Carcassonne
Καρολίνα	Caroline
Καρολομάγνος	Charlemagne
Καρπάθια	Carpates
Καρπενίσι	Karpenísi
Κασπία	mer
Κασσάνδρα	Cassandre
Κασσιανή	Cassienne
Κασσιόπη	Cassiopée
Καταλονία	Catalogne
Κατοχή	Occupation
Καύκασος	Caucase
Κεμπέκ	Québec
Κεμπεκουά	Québécois
Κεντρική Αμερική	Amérique centrale
Κεντροαφρικανική Δημοκρατία	République Centrafricaine
Κεραμεικός	Céramique
Κερασούντα	Giresun
Κεργκελέν	Kerguelen
Κεφαλονιά	Céphalonie
Κητώδη	Cétacés
Κηφεύς	Céphée
Κηφισιά	Kephissia
Κηφισός	Céphise
Κικέρων	Cicéron
Κινέζος	Chinois
Κινόστερνο	Kinosternon
Κιργιζία	Kirghizistan
Κλέφτης	klephte
Κλαίρη	Claire
Κλαρίσσες	Clarisses
Κλαύδιος	Claude
Κλείτος	Cleithos
Κλειώ	Clio
Κλεοπάτρα	Cléopâtre
Κνιδόζωα	cnidaires
Κοζάκος	Cosaque
Κοινωνία των Εθνών	Société des Nations
Κοκκινοσκουφίτσα	Petit Chaperon rouge
Κολοράντο	Colorado
Κολοσσαείς	Colossiens
Κολωνάκι	Kolonáki
Κολωνία	Cologne
Κολωνός	Colone
Κομισιόν	Commission
Κομμαγηνή	Commagène
Κομόρες	Comores
Κονγκό	Congo
Κοντέ αν Μπρι	Condé-en-Brie
Κοντορεβυθούλης	Le petit poucet
Κοπεγχάγη	Copenhague
Κοράνιο	Coran
Κοραλία	Coralie
Κορσική	Corse
Κορσικανή	Corse
Κορσικανός	Corse
Κορυδαλλός	Corydalle
Κορώνεια	Coronée
Κορώνη	Coron
Κουάκερος	Quaker
Κουασιμόδος	Quasimodo
Κουβέιτ	Koweït
Κουρασάο	Curaçao
Κοϊντίνος	Quentin
Κούρδισσα	Kurde
Κούρδος	Kurde
Κρήτη	Crète
Κρακοβία	Cracovie
Κρατήρ	Coupe
Κρεμλίνο	Kremlin
Κρητιδική	Crétacé
Κρητιδικός	Crétacé
Κρητικιά	Crétois
Κρητικός	Crétois
Κριμαία	Crimée
Κριτές	Juges
Κριός	Bélier
Κροάτης	Croate
Κροίσος	Crésus
Κροατία	Croatie
Κρόνος	Saturne
Κυδαθήναιο	Cydathénéon
Κυθέρεια	Cythérée
Κυκλάδες	Cyclades
Κυπρία	Chypriote
Κυριακή	dimanche
Κυριακή προσευχή	Notre Père
Κυριακή της Ορθοδοξίας	dimanche de l'Orthodoxie
