ABC	abc
Caspian Sea	mer Caspienne
Cassandra	Cassandre
Castile	Castille
Castilian	Castillan
Castillian	castillan
Catalonia	Catalogne
Catalonian	catalan
Cato	Caton
Caucasus	Caucase
Cedar Brook	ruisseau Cedar
Celt	Celte
Celtic	celte
Central America	Amérique centrale
Cerberus	Cerbère
Ceres	Cérès
Ceylon	Ceylan
Ceylonese	ceylanais
Chad	Tchad
Chaldea	Chaldée
Chaldean	Chaldéen
Chaleur Bay	baie des Chaleurs
Chanion Brook	ruisseau Chanion
Channel	la Manche
Channel Islands	Iles normandes
Charlemagne	Charlemagne
Charybdis	Charybde
Cheeseman Lake	lac des Marets
Chile	Chili
Chilean	chilien
China	Chine
Chinaman	Chinois
Chinese	Chinois
Chisholm Brook	ruisseau Chisholm
Chiyask Bay	baie Chiyask
Christ	Christ
Christian	chrétien
Christian name	prénom
Churchill	Churchill
Churchill River	Churchill
Cicero	Cicéron
Cinderella	Cendrillon
Clarice Lake	lac Clarice
Cleopatra	Cléopâtre
Coast Mountains	chaîne Côtière
Coblenz	Coblence
Cologne	Cologne
Colombia	Colombie
Colombian	colombien
Columbia	Columbia
Columbia River	Columbia
Columbus	Colomb
Comine	Comines
Congo	Congo
Copenhagen	Copenhague
Cordova	Cordoue
Corinth	Corinthe
Corinthian	corinthien
Cornwall	Cornouailles
Corpus Christi	fête‐Dieux
Corsica	Corse
Corsican	corse
Corsican woman	Corse
Costa Rica	Costa Rica
Costa Rican	costaricien
Courtrai	Courtrai
Cracow	Cracovie
Crete	Crète
Crimea	Crimée
Croat	Croate
Croatia	Croatie
Croatian	croate
Cuba	Cuba
Cuban	Cubain
Culbute Channel	chenal de la Culbute
Cupid	Cupidon
Curaçao	Curaçao
Cyclades	Cyclades
Cyprian woman	Chypriote
Cypriot	chypriote
Cypriote	chypriote
Cyprus	Chypre
Czech	tchèque
Czechoslovak	tchécoslovaque
Czechoslovakia	Tchécoslovaquie
Czechoslovakian	tchécoslovaque
Czech language	tchèque
Czech woman	Tchèque
DNA	ADN
Dakar	Dakar
Dalmatia	Dalmatie
Dalmatian	Dalmate
Damascus	Damas
Damocles	Damoclès
Dane	Danois
Danube	Danube
Dardanelles	Dardanelles
Davis Strait	détroit Davis
December	décembre
Delphi	Delphes
Denmark	Danemark
Deschênes Rapids	rapides Deschênes
Detour River	rivière du Détour
Deuteronomy	Deutéronome
Devil's Island	Ile du Diable
Diana	Diane
Diogenes	Diogène
District of Franklin	district de Franklin
District of Keewatin	district de Keewatin
District of Mackenzie	district de Mackenzie
Djibouti	Djibouti
Dominica	Républic Dominicaine
Dominican	dominicain
Donquan Lake	lac Donquan
Don Quixote	don Quichotte
Dorian	dorien
Doric	dorien
Dover	Douvres
Dunkirk	Dunkerque
Dutch	néerlandais
Dutchman	Hollandais
Dutch Flanders	Flandre Zélandaise
Dutch language	néerlandais
Dutch woman	Néerlandaise
East	est
Easter	Pâques
East Natasquan River	rivière Natashquan Est
East Rigaud River	rivière Rigaud Est
Eden	Eden
Edinburgh	Edimbourg
Egypt	Egypte
Egyptian	égyptien
Elba	Elbe
Elbe	Elbe
Ellesmere Island	Ile d'Ellesmere
England	Angleterre
English	anglais
Englishman	Anglais
English Channel	la Manche
English language	anglais
Epiphany	Epiphanie
Equatorial Guinea	Guinée Equatoriale
Eritrea	Erythrée
Esperanto	espéranto
Estonia	Estonie
Estonian	estonien
Estonian woman	Estonienne
Ethiopia	Ethiopie
Ethiopian	éthiopien
Etrurian	étrusque
Etruscan	étrusque
Euphrates	Euphrate
Europa	Europe
Europe	Europe
European	Européen
European Union	Union Européenne
Euxine Sea	Pont‐Euxine
Evening Star	Vénus
Far East	Extrême‐Orient
February	février
Filipino	Philippin
Finland	Finlande
Finn	Finnois
Finnish	finlandais
Finnish woman	Finlandaise
Flanders	Flandre
Flemming	Flamand
Flemmish	flamand
Florida	Floride
Flushing	Flessingue
Fonteneau Lake	lac Fonteneau
Fortune	Fortune
France	France
Frankfort	Francfort
Frankish	franc
Fraser	Fraser
Fraser River	Fraser
French	français
Frenchman	Français
Frenchwoman	Française
French language	français
Friday	vendredi
Friesland	Frise
Frisian	frisonne
Frisian woman	frisonne
Gabon	Gabon
Gaelic	gaélique
Gaelic language	gaélique
Gaillot Lake	lac Gaillot
Galicia	Galice
Galician	galicien
Gallic	gaulois
Ganges	Gange
Gaul	Gaule
Gaulish	gaulois
Genesis	Genèse
Geneva	Genève
Genoa	Gênes
Georgia	Géorgie
Georgian	géorgien
Georgian Bay	baie Georgienne
A	allemand
Germanic	germain
Germany	Allemagne
German language	allemand
German woman	Allemande
Ghana	Ghana
Ghanaian	Ghanéen
Ghent	Gand
Gideon	Gédéon
God	Dieu
God's acre	cimetière
Golgotha	Calvaire
Goth	Goth
Gothic	gothique
Graian Alps	Alpes graies
Grammont	Grammont
Grand Falls	Grand‐Sault
Great Bear Lake	grand lac de l'Ours
Great Britain	Grande‐Bretagne
Great Salt Lake	Grand Lac Salé
Great Slave Lake	grand lac des Esclaves
Greece	Grèce
Greek	grec
Greek woman	Grecque
Greenland	Groënland
Greenlander	Groënlandais
Green River	rivière Verte
Grenada	Grenade
Guadeloupe	Guadeloupe
Guatemala	Guatemala
Guatemalan	guatémaltèque
Guelderland	Gueldre
Guelders	Gueldre
Guinea	Guinée
Guinea Bissau	Guinée‐Bissau
Gulf of Aden	Golfe d'Aden
Gulf of Saint Lawrence	golfe du Saint‐Laurent
Gypsy	gitan
Haiti	Haïti
Hamburg	Hambourg
Hannibal	Annibal
Hanover	Hanovre
Harricanaw River	rivière Harricana
Havana	La Havane
Hawaii	Hawaii
Hawaiian	hawaiien
Hawaiian language	hawaiien
Hebrew	hébraïque
Hebrew language	hébreu
Hebrides	Hébrides
Helen	Hélène
Hellas	Hellade
Hellespont	Dardanelles
Helvetia	Helvétie
Helvetian	Helvète
Heracles	Hercule
Hercules	Hercule
Hermes	Hermès
Himalayas	Himalaya
Hindu	hindou
Hippocrates	Hippocrate
Holden Lake	lac Holden
Holland	Hollande
Hollander	Hollandais
Homer	Homère
Honduran	hondurien
Honduran woman	Hondurienne
Honduras	Honduras
Hongkong	Hong Kong
Hudson Bay	baie d'Hudson
Hungarian	hongrois
Hungarian woman	Hongroise
Hungary	Hongrie
Iberian	ibère
Iceland	Islande
Icelander	Islandais
Icelandic	d'Islande
Iliad	Iliade
India	Inde
Indian	indien
Indian corn	maïs
Indian woman	Indienne
Indo‐China	Indochine
Indonesia	Indonésie
Indonesian	indonésien
Indonesian woman	Indonésienne
Iran	Iran
Iranian	iranien
Iranian woman	Iranienne
Iraq	Irak
Iraqi	irakien
Iraquian	irakien
Ireland	Irlande
Irish	irlandais
Irishman	Irlandais
Irish Sea	mer d'Irlande
Iriswoman	Irlandaise
Islam	islam
Israel	Israël
Italian	italien
Italian woman	Italienne
Italy	Italie
Ivory Coast	Côte d'Ivoire
Jacob	Jacob
Jamaica	Jamaïque
James Bay	baie James
January	janvier
Japan	Japon
Japanese	japonais
Japanese language	japonais
Japanese woman	Japonaise
Java	Java
Javan	javanais
Javanese	javanais
Javanese woman	Javanaise
Jericho	Jéricho
Jerusalem	Jérusalem
Jesus Christ	Jésus‐Christ
Jew	Hébreu
Jewish	hébraïque
Jibuti	Djibouti
Joir River	rivière Joir
Jordan	Jordanie
Jordanian	Jordanien
Joseph	Joseph
Joshua	Josué
Jove	Jupiter
Julian Creek	ruisseau Julian
July	juillet
June	juin
Juno	Junon
Jupiter	Jupiter
Kachekaosipou River	rivière Kachekaosipou
Kashmir	Cachemire
Kenosha Island	Ile Kénosha
Kenya	Kenya
Kenyan	kenyan
Kingroy Lake	lac Kingroy
Koblenz	Coblence
Koran	Coran
Korea	Corée
Korean	coréen
Korean woman	Coréene
Kremlin	Kremlin
Kurd	Kurde
Kurdish	kurde
Kurdistan	Kurdistan
LP	microsillon
Labrador Sea	mer du Labrador
Labyrinth Lake	lac Labyrinthe
Lady Day	Annonciation
Lake Athabasca	lac Athabasca
Lake Champlain	lac Champlain
Lake Huron	lac Huron
Lake Michigan	lac Michigan
Lake Ontario	lac Ontario
Lake Saint Clair	lac Sainte‐Clair
Lake Superior	lac Supérieur
Lake Timiskaming	lac Témiscamingue
Lake Winnipeg	lac Winnipeg
Lake Winnipegosis	lac Winnipeg
Lake of Geneva	Lac Léman
Lake of the Woods	lac des Bois
Laos	Laos
Laotian	laotien
Lapland	Laponie
Laplander	Lapon
Lapp	lapon
Lappish	lapon
Lappish woman	Laponne
Lapponian woman	Laponne
Latin	latin
Latvia	Lettonie
Latvian	letton
Latvian woman	Lettonne
Laurentian Mountains	Laurentides
Lebanese	libanais
Lebanon	Liban
Leghorn	Livourne
Lett	Letton
Lettish	letton
Leyden	Leyde
Liberia	Libéria
Liberian	libérien
Libya	Libye
Libyan	libyen
Lisbon	Lisbonne
Lithuania	Lituanie
Lithuanian	Lituanien
Lithuanian woman	Lituanienne
Little Mecatina River	rivière du Petit Mécatina
Livonia	Livonie
Livonian	livonien
Liège	Liège
London	Londres
Londoner	Londonien
Lorraine	Lorraine
Lost Channel	Chenal Lost
Lothringen	Lorraine
Louvain	Louvain
Lower Narrows	Passe Lower
Lucerne	Lucerne
Lucifer	Satan
Luxemburg	Luxembourg
Luxemburger	Luxemburgeois
Lyons	Lyon
Lyra	Lierre
Mabille Lake	lac Mabille
Macedonia	Macédoine
Macedonian	macédonien
Machiavelli	Machiavel
Mackenzie	Mackenzie
Mackenzie River	Mackenzie
Madagascar	Madagascar
Madawaska River	rivière Madawaska
Madonna	Madone
Madrid	Madrid
Magusi River	rivière Magusi
Majorca	Majorque
Malawi	Malawi
Malay	malais
Malaysia	Malaisie
Malaysian	malaisien
Mali	Mali
Malines	Malines
Malta	Malte
Maltese	maltais
Mammon	Mammon
Manchuria	Mandchourie
Manchurian	mandchou
Manila	Manille
Manitoba	Manitoba
March	mars
Marcus	Marc
Mariana Islands	Mariannes
Maroni	Maroni
Mars	Mars
Marseilles	Marseille
Mary	Marie
Mason	franc‐maçon
Matterhorn	mont Cervin
Mauretanian	mauritanien
Mauritania	Mauritanie
Mauritius	île Maurice
May	mai
Mayence	Mayence
McDiarmid Creek	ruisseau McDiarmid
Mecca	Mecque
Mechlin	Malines
Mediterranean	Méditerranée
Medusa	Méduse
Melanesia	Mélanésie
Melanesian	mélanésien
Mephistopheles	Méphistophélès
Mercereau River	rivière Mercereau
Mercury	Mercure
Mesopotamia	Mésopotamie
Messiah	Messie
Messina	Messine
Methuselah	Mathusalem
Meuse	Meuse
Mexican	mexicain
Mexican woman	Mexicaine
Mexico	Mexique
Mexico City	Mexico
Middle East	Proche‐Orient
Milan	Milan
Minerva	Minerve
Ministikawatin Peninsula	Péninsule Ministikawatin
Miss	demoiselle
Mister	monsieur
Mohammed	Mahomet
Moldavia	Moldavie
Moldavian	moldave
Moluccan	moluquois
Moluccas	Moluques
Monacan	Monégasque
Monaco	Monaco
Monday	lundi
Monegasque	monégasque
Mongolia	Mongolie
Montenegrin	monténégrin
Montenegro	Monténégro
Moor	Maure
Moorish	maure
Moravia	Moravie
Moresque	maure
Moroccan	marocain
Morocco	Maroc
Morpheus	Morphée
Moscow	Moscou
Moselle	Moselle
Moses	Moïse
Mount Caubvick	mont d'Iberville
Mr.	monsieur
Mrs.	madame
Muhammad	Mahomet
Munich	Munich
Muscovite	moscovite
Mycenae	Mycènes
Namur	Namur
Nanking	Nankin
Napetipi River	rivière Napetipi
Naples	Naples
Natashquan River	rivière Natashquan
Neapolitan	napolitain
Nebuchadnezzar	Nabuchodonosor
Negro	nègre
Nelson	Nelson
Nelson River	Nelson
Nemesis	Némésis
Nepal	Népal
Nepalese	népalais
Neptune	Neptune
Newfoundland	Terre‐Neuve
New Brunswick	Nouveau‐Brunswick
New Guinea	Nouvelle‐Guinée
New Orleans	Nouvelle‐Orléans
New South Wales	Nouvelle‐Galles du Sud
New Year	jour de l'an
New Year's Day	jour de l'an
New Year's Eve	Saint‐Sylvestre
New Zealand	Nouvelle‐Zélande
New Zealander	Néo‐Zélandais
Niagara Falls	Chutes Niagara
Nicaragua	Nicaragua
Nicaraguan	nicaraguayen
Niger	Niger
Nigeria	Nigeria
Nigerian	nigérian
Nigerien	nigérien
Nile	Nil
Nimrod	Nemrod
Nimwegen	Nimègue
Nipigon Lake	lac Nipigon
Noah	Noé
Norman	normand
Norman Lake	lac Norman
Norman Rapids	rapides Norman
Norseman	Normand
North	nord
Northern Ireland	Irlande du Nord
Northman	Normand
Northumberland Strait	détroit de Northumberland
Northwest Territories	territoires du Nord‐Ouest
North Africa	Afrique du Nord
North African	nordafricain
North America	Amérique du Nord
North American	de l'Amérique du Nord
North Branch Kedgwick River	rivière Kedgwick
North Branch States Brook	ruisseau States Nord
North Holland	Hollande septentrionale
North Korea	Corée du Nord
North Korean	nord‐coréen
North Saskatchewan	rivière Saskachewan Nord
North Saskatchewan River	rivière Saskachewan Nord
North Sea	mer du Nord
Norway	Norvège
Norwegian	norvégien
Norwegian woman	norvégienne
Nova Scotia	Nouvelle‐Ecosse
Nova Skotia	Nouvelle‐Ecosse
November	novembre
Nuremberg	nurembergeois
Oceania	Océanie
Oceanica	Océanie
October	octobre
Oedipus	Œdipe
Olympus	Olympe
Ontario	Ontario
Opimika Narrows	chenal Opimica
Oporto	Porto
Orange	Orange
Orkneys	Orcades
Orkney Islands	Orcades
Orpheus	Orphée
Ostend	Ostende
Ostende	Ostende
Ostrogoth	Ostrogoth
Ottawa River	rivière des Outaouais
PVC	chlorure de polyvinyle
Pacific	Pacifique
Pacific Ocean	Pacifique
Pakistan	Pakistan
Pakistani	pakistanais
Pakistani woman	Pakistanaise
Palestine	Palestinien
Palestinian	Palestine
Palm Sunday	Rameaux
Pan	Pan
Panama	Panama
Panamanian	panaméen
Panamanian woman	Panaméenne
Pandora	Pandore
Papuan	Papou
Paris	Pâris
Parisian	Parisien
Parthian	part
Patapedia River	rivière Patapédia
Peace River	rivière de la Paix
Pegasus	Pégase
Peiping	Pékin
Peking	Pékin
Penelope	Pénélope
Pentateuch	Pentateuque
Pentecost	Pentecôte
Persia	Iran
Persian	Iranien
Persian Gulf	golfe Persique
Persian woman	Iranienne
Peru	Pérou
Philippine	des Philippines
Philippines	Philippines
Philippine Islands	Philippines
Philippine woman	Philippine
Piscapecassy River	rivière Piscapecassy
Plato	Platon
Pluto	Pluton
Poland	Pologne
Pole	Polonais
Polish	polonais
Polish woman	Polonaise
Pollard Brook	ruisseau Pollard
Polynesia	Polynésie
Polynesian	polynésien
Pomerania	Poméranie
Pontiac Creek	ruisseau Pontiac
Pontleroy Creek	ruisseau Pontleroy
Portugal	Portugal
Portuguese	portugais
Portuguese language	portugais
Portuguese woman	Portugaise
Prague	Prague
Prices Brook	ruisseau Prices
Prince Edward Island	Ile‐du‐Prince‐Edouard
Protestant	protestant
Proteus	Protée
Prussia	Prusse
Prussian	prussien
Ptolemy	Ptolémée
Quebec	Québec
Queen Charlotte Islands	Iles de la Reine‐Charlotte
Queen Elizabeth Islands	Iles de la Reine‐Elisabeth
Quigley Brook	ruisseau Quigley
Raft Channel	chenal Raft
Rainy Lake	lac à la Pluie
Rainy River	rivière à la Pluie
Ratisbon	Ratisbonne
Remic Rapids	rapides Remic
Remprouix Island	Ile Remprouix
Restigouche River	rivière Ristigouche
Rheims	Reims
Rhine	Rhin
Rhineland	Rhénanie
Rhine barge	péniche
Rhodesia	Rhodésie
Rhone	Rhône
Richard	Richard
Rigaud River	rivière Rigaud
Rimouski River	rivière Rimouski
Rocky Mountains	montagnes Rocheuses
Roman	Romain
Romania	Roumanie
Romanian	roumain
Romanian woman	Roumaine
Roman Empire	Empire romain
Rome	Rome
Ross Lake	lac Ross
Rubicon	Rubicon
Rumanian	roumain
Russia	Russie
Russian	russe
Russian language	russe
Russian woman	Russe
Sable Island	Ile de Sable
Sagittarius	Sagittaire
Saguenay River	rivière Saguenay
Sahara	Sahara
Saint Augustin River	rivière Saint‐Augustin
Saint Francis River	rivière Saint‐François
Saint Helena	Sainte‐Hélène
Saint John River	rivière Saint‐Jean
Saint Lawrence	fleuve Saint‐Laurent
Saint Lawrence River	fleuve Saint‐Laurent
Saint Nicholas	Saint‐Nicolas
Saint Paul River	rivière Saint‐Paul
Saint Petersburg	Saint‐Pétersbourg
Samaria	Samarie
San Marino	Saint‐Marin
Sardina	Sardaigne
Sardinia	Sardaigne
Sardinian	Sarde
Sassenach	Anglais
Satan	Satan
Saturday	samedi
Saturn	Saturne
Saugeen Creek	ruisseau Saugeen
Saxe	Saxe
Saxon	Saxon
Saxony	Saxe
Scandinavia	Scandinavie
Scandinavian	scandinave
Scandinavian woman	Scandinave
Scheldt	Escaut
Scilly Islands	îles Sorlingues
Scot	Ecossais
Scotland	Ecosse
Scotsman	Ecossais
Scotswoman	Ecossaise
Scylla	Scylla
Second Falls	deuxième Sault
Sein	Seine
Semite	Sémite
Semitic	sémitique
Senegal	Sénégal
Senegalese	Sénégalais
September	septembre
Serb	serbe
Serbia	Serbie
Seville	Séville
Seychelles	Seychelles
Siam	Siam
Siamese	siamois
Siberia	Sibérie
Siberian	sibérien
Sicilian	sicilien
Sicilian woman	Sicilienne
Sicily	Sicile
Singapore	Singapour
Singaporean	singaporien
Sisson Brook	ruisseau Sisson
Slav	Slave
Slavic	slave
Slavonian	slavon
Slovak	slovaque
Slovakia	Slovaquie
Slovak woman	Slovaque
Slovene	Slovène
Slovenia	Slovénie
Slovenian	slovène
Sofia	Sophie
Somali	somalien
Somalia	Somalie
Somalian	somalien
Sout‐East Asia	Asie du Sud‐Est
Southern Cross	Croix du Sud
South Africa	Afrique du Sud
South African	sud‐africain
South America	Amérique du Sud
South American	sud‐américain
South Korea	Corée du Sud
South Saskatchewan	rivière Saskachewan Sud
South Saskatchewan River	rivière Saskachewan Sud
Spain	Espagne
Spaniard	Espagnol
Spanish	espagnol
Spanish language	espagnol
Spanish woman	Espagnole
Sparta	Sparte
Spitsbergen	Spitzberg
St. Nicholas	Saint‐Nicolas
Strait of Belle Isle	détroit de Belle Ile
Strasbourg	Strasbourg
Styria	Styrie
Styx	Styx
Sudan	Soudan
Sudanese	soudanais
Sunday	dimanche
Sunday Creek	ruisseau Sunday
Sunrise Creek	ruisseau Sunrise
Surinam	Surinam
Surinamer	Surinamien
Surinamese	surinamien
Surinamese woman	Surinamienne
Swede	Suédois
Sweden	Suède
Swedish	suédois
Swiss	suisse
Switzerland	Suisse
Syria	Syrie
Syrian	syrien
Sénécal Lake	lac Sénécal
TV	télévision
Tagus	Tage
Talmud	Talmud
Tangier	Tanger
Tantalus	Tantale
Tanzania	Tanzanie
Tanzanian	tanzanien
Tartar	Tatare
Tatar	tatare
Teed Brook	ruisseau Teed
Teuton	Germain
Teutonic	germain
Texan	Texan
Texan woman	Texane
Texas	Texas
Thai	siamois
Thailand	Siam
Thai woman	Thaïlandaise
Thames	Tamise
The Hague	La Haye
Thursday	jeudi
Tiber	Tibre
Tiberius	Tibère
Tibet	Tibet
Tibetan	tibétain
Tigris	Tigre
Togo	Togo
Togoland	Togo
Tokyo	Tokyo
Tom Thumb	Petit Poucet
Torngat Mountains	monts Torngat
Transylvania	Transylvanie
Treves	Trèves
Trojan	Troyen
Troy	Troie
Tuesday	mardi
Tunis	Tunis
Tunisia	Tunesie
Turcotte River	rivière Turcotte
Turin	Turin
Turk	Turc
Turkey	Turquie
Turkish lady	Turque
Turkish woman	Turque
Turkmenistan	Turkménistan
Twelfth‐night	Epiphanie
Tyrrhenian Sea	mer Tyrrhénienne
‐able	‐able
‐er	‐iste
‐ever	n'importe
‐ible	‐able
‐in‐law	par alliance
‐ish	‐al
‐ist	‐iste
‐ity	‐té
‐like	‐al
‐ness	‐té
‐or	‐iste
‐ship	‐té
‐th	‐ième
‐y	suffixe qui indique un lieu pour quelque chose
USA	Etats‐Unis
US citizen	Américain
Ukraine	Ukraine
Ukrainian	ukrainien
Ukrainian woman	Ukrainienne
Ulysses	Ulysse
Ungava Bay	baie d'Ungava
United States of America	Etats‐Unis
Ural	Oural
Uruguay	Uruguay
Valencia	Valence
Vancouver Island	Ile de Vancouver
Vatican	Vatican
Venetian blind	store vénitien
Venice	Venise
Venus	Vénus
Victoria	Victoria
Vienna	Vienne
Viennese	viennois
Viennese woman	Viennoise
Vietnam	Viêt‐nam
Vietnamese	vietnamien
Vietnamese woman	Vietnamienne
Visigoth	Visigoth
Vistula	Vistule
Volga	Volga
Volt	volt
Vosges	Vosges
Vulcan	Vulcain
Vulgate	Vulgate
Walachia	Valachie
Wales	Galles
Wallachia	Valachie
Wallonia	Wallonie
Walloon	wallon
Warsaw	Varsovie
Wednesday	mercredi
Welsh	gallois
Welshman	Gallois
West	occident
Western Islands	Hébrides
Westphalia	Westphalie
West German	de l'Allemagne occidentale
West Germany	Allemagne de l'Ouest
Whitsunday	Pentecôte
Woolsey Narrows	défilé Woolsey
Yemen	Yémen
Yemeni	Yéménite
Yemeni woman	Yéménite
Ypres	Ypres
Yugoslav	yougoslave
Yugoslavia	Yougoslavie
Yugoslavian	yougoslave
Yugoslav woman	Yougoslave
Yukon	Yukon
Yukon River	Yukon
Yukon Territory	territoire du Yukon
Zaire	Congo
Zambia	Zambie
Zambian	zambien
Zanzibar	Zanzibar
Zaïre	Zaïre
Zealand	Zélande
Zealander	Zélandais
Zeus	Zeus
Zimbabwe	Zimbabwe
Zulu	Zoulou
... ago	il y a ...
... to	... à
a	à
abacus	abaque
abandon	abdiquer
abandoned	abandonné
abandonment	abandon
abase	abaisser
abasement	abaissement
abase oneself	s'humilier
abashment	embarras
abate	s'abaisser
abatement	abaissement
abattoir	abattoir
abbatial	abbatial
abbess	abbesse
abbey	abbaye
abbot	abbé
abbreviate	abréger
abbreviation	abrégement
abdicate	abdiquer
abdication	abdication
abdomen	abdomen
abdominal	abdominal
abductor	abducteur
aberrant	aberrant
aberration	erreur
abet	agiter
abhor	abhorrer
abhorrence	abomination
abhorrent	abject
abide	attendre
abide by	se conformer
abiding	permanent
ability	aptitude
abiogenesis	abiogenèse
