ADN	DNA
Chypriote	Kıbrıslı
Cisjordanie	Batı Şeria
Cizre	Cizre
Clèves	Kleve
Coca-Cola	Coca-Cola
Coccinelle	Kaplumbağa
Cocher	Arabacı
Cologne	Köln
Colombe	Güvercin
Colombie	Kolombiya
Colombie-Britannique	Britanya Kolumbiyası
Colombien	Kolombiyalı
Commission européenne	Avrupa Komisyonu
Commonwealth	İngiliz Milletler Topluluğu
Communauté européenne du charbon et de l’acier	Avrupa Kömür ve Çelik Topluluğu
Communauté économique européenne	Avrupa Ekonomik Topluluğu
Compas	Pergel
Conakry	Konakri
Connacht	Connacht
Constance	Konstanz
Constantinople	Konstantinopolis
Constanța	Köstence
Copenhague	Kopenhag
Coran	Kur'an
Corbeau	Karga
Cordoue	Córdoba
Cordélia	Cordelia
Corfou	Korfu
Corinthe	Korint
Corne de l’Afrique	Afrika Boynuzu
Corse	Korsika
Corée	Kore
Corée du Nord	Kuzey Kore
Corée du Sud	Güney Kore
Costa Rica	Kosta Rika
Costa-Rica	Kosta Rika
Coupe	Kupa
Couronne australe	Güneytacı
Couronne boréale	Kuzeytacı
Cressida	Cressida
Crimée	Kırım
Croate	Hırvat
Croatie	Hırvatistan
Croissant fertile	Bereketli Hilal
Croix du Sud	Güneyhaçı
Cronos	Kronus
Crète	Girit
Crésus	Krezüs
Crétacé	Kretase
Cthulhu	Cthulhu
Cuba	Küba
Cupidon	Cupid
Cyclades	Kiklad Adaları
Cygne	Kuğu
Cénozoïque	Senozoik
Céphalonie	Kefalonia
Céphée	Kral
Cérès	Ceres
Cérès	Ceres
Côte d’Azur	Fransız Rivierası
DDT	DDT
Damas	Şam
Danemark	Danimarka
Danube	Tuna nehri
Daphnis	Daphnis
Daphné	Dafni
Dardanelles	Çanakkale Boğazı
Dauphin	Yunus
David	Davut
Decca	Decca
Dehkanabad	Dehkanabad
Delhi	Delhi
Denys	Deniz
Desdémone	Desdemona
Despina	Despina
Didymes	Didim
Dieu	Tanrı
Dingo	Gufi
Dioné	Dione
Djibouti	Cibuti
Dniepr	Dinyeper
Dodécanèse	On İki Ada
Doha	Doha
Dominique	Dominik
Don	Don
Don Quichotte	Don Kişot
Dorade	Kılıçbalığı
Douchanbé	Duşanbe
Dr	Dr.
Dragon	Ejderha
Dresde	Dresden
Dublin	Dublin
Durrës	Dıraç
Déimos	Deimos
Démosthène	Demosthenes
Dévonien	Devoniyen
Empire ottoman	Osmanlı İmparatorluğu
Encelade	Enceladus
Erriapo	Erriapo
Erriapus	Erriapo
Eschyle	Aiskhylos
Esdras	Üzeyir
Espagne	İspanya
Estonie	Estonya
Ethernet	Ethernet kartı
Euphrate	Fırat
Eurasie	Avrasya
Euripide	Euripides
Europe	Avrupa
Europe centrale	Orta Avrupa
Europe du Sud	Güney Avrupa
Européen	Avrupalı
Extrême-Orient	Uzak Doğu
Extrême-Orient russe	Uzak Doğu Rusyası
Farbauti	Farbauti
Fenrir	Fenrir
Ferdinand	Ferdinand
Fidji	Fiji
Finlandais	Fin
Finlande	Finlandiya
Finnois	Fin
Flandre	Flandre
Florence	Floransa
Floride	Florida
Flèche	Okçuk
Force	Güç
Fornjot	Fornjot
Fourneau	Ocak
Franc	Frenk
France	Fransa
Franche-Comté	Franche-Comté
Francisco	Francisco
Français	Fransız
Fès	Fes
Gabon	Gabon
Galata	Galata
Galatée	Galatea
Galice	Galiçya
Galicie	Galiçya
Galicien	Galiçyalı
Galilée	Celile
Gambie	Gambiya
Gand	Gent
Ganymède	Ganymede
Garamantes	Garamantlar
Gendarmerie nationale	Ulusal Jandarma
Genève	Cenevre
Georges	Jorj
Ghana	Gana
Gibraltar	Cebelitarık
Girafe	Zürafa
Glasgow	Glasgow
Goudjarati	Gujarati
Grand Chien	Büyük Köpek
Grand Turc	Osmanlı Padişahı
Grande Baie australienne	Büyük Avustralya Körfezi
Grande Ourse	Büyük Ayı
Grande-Bretagne	Büyük Britanya
Grands Lacs	Büyük Göller
Grenade	Granada
Grenoble	Grenoble
Groenland	Grönland
Groenlandais	Grönlandlı
Groupe local	Yerel Grup
Grue	Turna
Grèce	Yunanistan
Guadeloupe	Guadeloupe
Guam	Guam
Guatemala	Guatemala
Guernesey	Guernsey
Guinée	Gine
Guinée équatoriale	Ekvator Ginesi
Guinée-Bissau	Gine Bissau
Gujarati	Gujarati
Guyana	Guyana
Guyane	Fransız Guyanası
Gémeaux	İkizler
Géorgie	Gürcistan
Gérone	Girona
Gênes	Cenova
Hadès	Hades
Hambourg	Hamburg
Hanoukka	Hanuka
Hati	Hati
Hautes-Alpes	Hautes-Alpes
Hawaï	Hawaii
Haïti	Haiti
Haïtien	Haitili
Helsinki	Helsinki
Hercule	Herkül
Himalia	Himalia
Hippocrate	Hipokrat
Hiérosolymitain	Kudüslü
Hollande	Hollanda
Homs	Humus
Homère	Homeros
Honduras	Honduras
Hong Kong	Hong Kong
Hongrie	Macaristan
Hongrois	Macar
Honshu	Honşu
Horloge	Saat
Hun	Hun
Hydra	Hydra
Hydre	Suyılanı
Hydre mâle	Küçüksuyılanı
Hygie	Hygieia
Hypérion	Hyperion
Hyrrokkin	Hyrokkin
Hégire	Hicret
Hélène	Helene
Héra	Hera
Héraklion	Kandiye
IMC	VKİ
IPv6	IPv6
IRM	MR
Ibiza	İbiza
Ienisseï	Yenisey Irmağı
Ijiraq	Ijiraq
Ille-et-Vilaine	Ille-et-Vilaine
Inde	Hindistan
Indien	Hint
Indien	Hintli
Indonésie	Endonezya
Internet	İnternet
Io	Io
Iran	İran
Iranien	İranlı
Iraq	Irak
Irkoutsk	İrkutsk
Irlande	İrlanda
Irlande du Nord	Kuzey İrlanda
Isaac	İshak
Isis	İsis
Islamabad	İslamabad
Islande	İzlanda
Israélien	İsrailli
Israël	İsrail
Istanbul	İstanbul
Italie	İtalya
Italien	İtalyan
Ithaque	İthaka
Ixion	İksion
Izmir	İzmir
Jack l’Éventreur	Karındeşen Jack
Jacob	Yakup
Jacques	Yakup
Jakarta	Cakarta
Jamaïque	Jamaika
Jan Mayen	Jan Mayen
Janus	Janus
Japet	Iapetus
Japon	Japonya
Japonais	Japon
Java	Java
Jean	Yahya
Jephté	Yeftah
Jersey	Jersey
Jeux olympiques	Olimpiyat Oyunları
Jeux paralympiques	Paralimpik Oyunları
Job	Eyyub
Jordanie	Ürdün
Joseph	Yusuf
Judas	Yehuda
Juges	Hakimler
Juif	Musevi
Juliette	Juliet
Jupiter	Jüpiter
Jutland	Yutland
Jutland central	Orta Danimarka
Jutland du Nord	Kuzey Danimarka
Jéricho	Eriha
Jérusalem	Kudüs
Jésus	İsa
Jésus-Christ	İsa Mesih
Kaboul	Kâbil
Kabylie	Kabiliye
Kalmoukie	Kalmukya
Kara-Koum	Karakum
Karachi	Karaçi
Karakoum	Karakum
Kari	Kari
Kaunas	Kaunas
Kazakhstan	Kazakistan
Kazan	Kazan
Kenya	Kenya
Khartoum	Hartum
Khrouchtchev	Kruşçev
Kiel	Kiel
Kiev	Kiev
Kirghizistan	Kırgızistan
Kiribati	Kiribati
Kiviuq	Kiviuq
Klingon	Klingon
Kobané	Arab-Pınar
Konya	Konya
Kosovo	Kosova
Koweït	Kuveyt
Košice	Košice
Krasnodar	Krasnodar
Kremlin	Kremlin
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kurde	Kürt
Kurdistan	Kürdistan
Kyoto	Kyoto
Kâmasûtra	Kama Sutra
La Haye	Lahey
La Mecque	Mekke
Lahore	Lahor
Laomédie	Laomedeia
Laos	Laos
Larissa	Larissa
Lattaquié	Lazkiye
Laurasie	Laurasia
Lausanne	Lozan
Le Caire	Kahire
Le Cap	Cape Town
Leinster	Leinster
Leipzig	Leipzig
Lena	Lena Nehri
Lesotho	Lesoto
Lettonie	Letonya
Liban	Lübnan
Libye	Libya
Licorne	Tekboynuz
Liechtenstein	Lihtenştayn
Lilith	Lilith
Lima	Lima
Limerick	Limerick
Lion	Aslan
Lisbonne	Lizbon
Lituanie	Litvanya
Liverpool	Liverpool
Lièvre	Tavşan
Ljubljana	Ljubljana
Loge	Loge
Lombardie	Lombardy
Londres	Londra
Lorraine	Lorraine
Los Angeles	Los Angeles
Louisiane	Louisiana
Loup	Kurt
Lucky Luke	Red Kit
Lune	Ay
Luxembourg	Lüksemburg
Lydie	Lidya
Lynx	Vaşak
Lyon	Lyon
Lyre	Çalgı
Léda	Leda
Léna	Lena Nehri
Lénine	Lenin
Léningrad	Leningrad
Léthé	Lethe
Lézard	Kertenkele
Lübeck	Lübeck
L’Aquila	L’Aquila
M. Je-Sais-Tout	çokbilmiş
Mab	Mab
Macao	Makao
Machine pneumatique	Pompa
Machrek	Maşrek
Macédoine	Makedonya
Madagascar	Madagaskar
Madame	hanım
Mademoiselle	bayan
Madrid	Madrid
Maghreb	Mağrip
Mahomet	Muhammed
Maison Blanche	Beyaz Saray
Majorque	Mayorka
Malaisie	Malezya
Malawi	Malavi
Maldives	Maldivler
Mali	Mali
Malte	Malta
Manbij	Menbic
Manche	Manche
Manchester	Manchester
Manitoba	Manitoba
Marguerite	Margaret
Marie	Meryem
Marmara	Marmara
Maroc	Fas
Marrakech	Marakeş
Mars	Mars
Marseille	Marsilya
Marsupilami	Marsupilami
Martinique	Martinique
Mauritanie	Moritanya
Maya	Maya
Mayotte	Mayotte
Medjidieh	Mecidiye
Melbourne	Melbourne
Melilla	Melilla
Mercure	Merkür
Mexique	Meksika
Miami	Miami
Michel	Mikail
Micronésie	Mikronezya
Microscope	Mikroskop
Milan	Milano
Mimas	Mimas
Minorque	Minorka
Minsk	Minsk
Miranda	Miranda
Misrata	Misurata
Mogadiscio	Mogadişu
Moires	Mireler
Moldavie	Moldova
Monaco	Monako
Mongol	Moğol
Mongolie	Moğolistan
Mongolie intérieure	İç Moğolistan
Monsieur	beyefendi
Montréal	Montreal
Montserrat	Montserrat
Monténégro	Karadağ
Moravie	Moravya
Moscou	Moskova
Mouche	Sinek
Moustapha	Mustafa
Moyen Âge	Orta Çağ
Moyen-Orient	Orta Doğu
Mozambique	Mozambik
Moïse	Musa
Mundilfari	Mundilfari
Munich	Münih
Murcie	Murcia
Muse	Müz
Myanmar	Myanmar
Méandre	Menderes
Méditerranée	Akdeniz
Méduse	Medusa
Mékong	Mekong
Méphistophélès	Mephistopheles
Mésoamérique	Mezoamerika
Mésopotamie	Mezopotamya
Mésopotamien	Mezopotamyalı
Mésozoïque	Mezozoik
Métis	Metis
Namibie	Namibya
Nankin	Nankin
Naples	Napoli
Napoléon	Napolyon
Narcisse	Narkissos
Narva	Narova
Narvi	Narvi
Nauru	Nauru
Nauruan	Naurulu
Navarre	Navarra
Naïade	Naiad
Neptune	Neptün
New Delhi	Yeni Delhi
New York	New York
Nicaragua	Nikaragua
Nicosie	Lefkoşa
Niger	Nijer Nehri
Nigeria	Nijerya
Nigérian	Nijeryalı
Nigérien	Nijerli
Nil	Nil
Nil Blanc	Beyaz Nil
Nil Bleu	Mavi Nil
Nioué	Niue
Nix	Nix
Normandie	Normandiya
Norouz	nevruz
Norvège	Norveç
Norvégien	Norveçli
Notre Père	Babamız
Nouveau Testament	Yeni Ahit
Nouveau-Brunswick	New Brunswick
Nouveau-Mexique	New Mexico
Nouvelle-Calédonie	Yeni Kaledonya
Nouvelle-Espagne	Yeni İspanya
Nouvelle-France	Yeni Fransa
Nouvelle-Zemble	Novaya Zemlya
Nouvelle-Zélande	Yeni Zelanda
Noé	Nuh
Noël	Noel
Numidie	Numidya
Nunavut	Nunavut
Néogène	Neojen
Népal	Nepal
Népalais	Nepalli
Néréide	Nereid
Néso	Neso
Nîmes	Nîmes
OACI	USHÖ
ONU	BM
OTAN	NATO
Obéron	Oberon
Octant	Sekizlik
Océanie	Okyanusya
Odessa	Odessa
Odin	Odin
Oghouzes	Oğuz
Oiseau de paradis	Cennetkuşu
Olympus Mons	Olympus Mons
Oman	Umman
Omsk	Omsk
Ophélie	Ophelia
Ordovicien	Ordovisyen
Organisation de l’aviation civile internationale	Uluslararası Sivil Havacılık Örgütü
Organisation des Nations Unies	Birleşmiş Milletler
Organisation du traité de l’Atlantique Nord	Kuzey Atlantik Antlaşması Örgütü'nün kısaltması
Organisation mondiale de la santé	Dünya Sağlık Örgütü
Orion	Orion
Orléans	Orléans
Osiris	Osiris
Oslo	Oslo
Ottawa	Ottawa
Oudmourtie	Udmurtya
Ouganda	Uganda
Ougandais	Ugandalı
Oulan-Bator	Ulan Batur
Oural	Ural
Ouranos	Uranüs
Ouzbek	Özbek
Ouzbékistan	Özbekistan
PCI	PCI
PSDC	AGSP
Paaliaq	Paaliaq
Padoue	Padova
Pakistan	Pakistan
Palaos	Palau
Palerme	Palermo
Palestine	Filistin
Palestinien	Filistinli
Pallène	Pallene
Paléogène	Paleojen
Pan	Pan
Panama	Panama
Panaméen	Panamalı
Pandore	Pandora
Paon	Tavus
Papouasie-Nouvelle-Guinée	Papua Yeni Gine
Paraguay	Paraguay
Parallel ATA	ATA
Paris	Paris
Paris ne s’est pas fait en un jour	Sabreden dervis muradına ermis
Pasiphaé	Pasiphae
Pays de Galles	Galler
Pays-Bas	Hollanda
Peintre	Ressam
Pennsylvanie	Pensilvanya
Pentagone	Pentagon
Perdita	Perdita
Permien	Permiyen
Persée	Perseus
Petit Chaperon rouge	Kırmızı Başlıklı Kız
Petit Cheval	Tay
Petit Chien	Küçük Köpek
Petit Lion	Küçük Aslan
Petit Renard	Tilkicik
Petite Ourse	Küçük Ayı
Petites Antilles	Küçük Antiller
Phanariote	fenerli
Pharaon	firavun
Philadelphie	Philadelphia
Philippines	Filipinler
Phnom Penh	Phnom Penh
Phobos	Phobos
Phocée	Foça
Phénicie	Fenike
Phénix	Anka
Phœbé	Phoebe
Piémont	Piyemont
Platon	Eflatun
Plovdiv	Filibe
Pluton	Plüton
Podgorica	Podgorica
Poisson austral	Güneybalığı
Poisson volant	Uçanbalık
Poissons	Balıklar
Pokémon	Pokémon
Pollux	Polydeuces
Pologne	Polonya
Polynésie française	Fransız Polinezyası
Poméranie	Pomeranya
Porte	Bâb-ı Âli
Portia	Portia
Porto Rico	Porto Riko
Portugais	Portekizli
Portugal	Portekiz
Pouilles	Puglia
Poupe	Pupa
Poutine	Putin
Prague	Prag
Première Guerre mondiale	I. Dünya Savaşı
Proche-Orient	Yakın Doğu
Prométhée	Prometheus
Prospéro	Prospero
Protée	Proteus
Provence	Provence
Prusse	Prusya
Psamathée	Psamathe
Puck	Puck
Pyongyang	Pyongyang
Pyrénées	Pireneler
Pâques	paskalya
Pégase	Kanatlıat
Pékin	Pekin
Péloponnèse	Mora
Pérou	Peru
Pérouse	Perugia
Pétaouchnok	ebesinin amında
Qatar	Katar
Qatari	Katarlı
Quito	Quito
Québec	Quebec
RDA	DAC
RFA	AFC
Rachel	Rahel
Ragnarök	Ragnarök
Ratisbonne	Regensburg
Rennes	Rennes
Reykjavik	Reykjavík
Rhin	Ren
Rhodes	Rodos
Rhéa	Rhea
Rhône	Rhône
Riga	Riga
Riyad	Riyad
Roi-Soleil	Güneş Kral
Rome	Roma
Rome ne s’est pas faite en un jour	Sabreden dervis muradına ermis
Rosalinde	Rosalind
Roskilde	Roskilde
Rotterdam	Rotterdam
Roumain	Romanyalı
Roumanie	Romanya
Roumélie	Rumeli
Royaume-Uni	Birleşik Krallık
Royaume-Uni de Grande-Bretagne et d’Irlande du Nord	Büyük Britanya ve Kuzey İrlanda Birleşik Krallığı
Russe	Rus
Russie	Rusya
Russien	Rusyali
Rwanda	Ruanda
Règle	Cetvel
Région de Bruxelles-Capitale	Brüksel Başkent Bölgesi
République Démocratique du Congo	Demokratik Kongo Cumhuriyeti
République centrafricaine	Orta Afrika Cumhuriyeti
République de Chine	Çin Cumhuriyeti
République de Corée	Kore Cumhuriyeti
République dominicaine	Dominik Cumhuriyeti
République du Congo	Kongo Cumhuriyeti
République d’Afrique du Sud	Güney Afrika Cumhuriyeti
République d’Irlande	İrlanda Cumhuriyeti
République française	Fransa Cumhuriyeti
République fédérale d’Allemagne	Almanya Federal Cumhuriyeti
République populaire de Chine	Çin Halk Cumhuriyeti
République populaire de Donetsk	Donetsk Halk Cumhuriyeti
République populaire de Lougansk	Lugansk Halk Cumhuriyeti
République tchèque	Çek Cumhuriyeti
Réticule	Ağcık
Réunion	Reunion
Révolution française	Fransız Devrimi
Rê	Ra
SPARQL	SPARQL
SQL	SQL
Sagittaire	Yay
Sahara occidental	Batı Sahra
Saint-Cloud	Saint-Cloud
Saint-Empire romain germanique	Kutsal Roma Cermen İmparatorluğu
Saint-Esprit	Kutsal Ruh
Saint-Marin	San Marino
Saint-Vincent-et-les Grenadines	Saint Vincent ve Grenadinler
Sainte-Hélène	Saint Helena
Sainte-Lucie	Saint Lucia
Salvador	El Salvador
Samarcande	Semerkand
Samoa	Samoa
Samoa américaines	Amerikan Samoası
San Francisco	San Francisco
Sao	Sao
Sao Tomé-et-Principe	Sao Tome ve Principe
Sardaigne	Sardinya
Satan	Şeytan
Saturne	Satürn
Saxe	Saksonya
Scandinave	İskandinav
Scandinavie	İskandinavya
Schtroumpf	Şirinler
Schtroumpfette	Şirine
Scorpion	Akrep
Scrabble	kelime oyunu
Sculpteur	Heykeltraş
Seconde Guerre mondiale	II. Dünya Savaşı
Seine	Sen Nehri
Serbie	Sırbistan
Serbie-et-Monténégro	Sırbistan-Karadağ
Serial ATA	SATA
Serpent	Yılan
Serpentaire	Yılancı
Sextant	Altılık
Seychelles	Seyşel Adaları
Shanghaï	Şanghay
Shiva	Şiva
Siarnaq	Siarnaq
Sibérie	Sibirya
Sicile	Sicilya
Sicilien	Sicilyalı
Sierra Leone	Sierra Leone
Silistra	Silistre
Silivri	Silivri
Silurien	Silüryen
Singapour	Singapur
Skathi	Skathi
Skoll	Skoll
Skopje	Üsküp
Slave	Slav
Slovaque	Slovak
Slovaquie	Slovakya
Slovénie	Slovenya
Small Computer System Interface	SCSI
Smyrne	İzmir
Société des Nations	Milletler Cemiyeti
Socrate	Sokrates
Sofia	Sofya
Sogdiane	Soğdiana
Soleil	Güneş
Soliman	Süleyman
Somalie	Somali
Sophocle	Sophokles
Sotchi	Soçi
Soudan	Sudan
Souleymane	Süleyman
Spartacus	Spartaküs
Sparte	Sparta
Spider-Man	Örümcek Adam
Sri Lanka	Sri Lanka
Stockholm	Stokholm
Strasbourg	Strazburg
Stuttgart	Stuttgart
Stéphane	İstefanos
Stéphano	Stephano
Sucre	Sucre
Suisse	İsviçreli
Suisse	İsviçre
Sumatra	Sumatra
Superman	Superman
Suriname	Surinam
Surtur	Surtur
Suttungr	Suttungr
Suède	İsveç
Suédois	İsveçli
Svalbard	Svalbard
Swaziland	Swaziland
Sycorax	Sycorax
Sydney	Sidney
Syrie	Suriye
Sébastopol	Sivastopol
Sénégal	Senegal
Séoul	Seul
Sétébos	Setebos
Séville	Sevilla
Table	Masa
Tachkent	Taşkent
Tadjikistan	Tacikistan
Taipei	Taipei
Tallinn	Tallinn
Tamise	Thames
Tanger	Tanca
Tanzanie	Tanzanya
Tanzanien	Tanzanyalı
Tarse	Tarsus
Tartous	Tartus
Tarvos	Tarvos
Tasmanie	Tazmanya
Tatar	Tatar
Taureau	Boğa
Taïwan	Tayvan
Taïwanais	Tayvanlı
Tbilissi	Tiflis
Tchad	Çad
Tcheliabinsk	Çelyabinsk
Tchernobyl	Çernobil
Tchécoslovaque	Çekoslovak
Tchécoslovaquie	Çekoslavakya
Tchéquie	Çekya
Tchétchénie	Çeçenistan
Terre	Dünya
Terrebonne	Terrebonne
Territoire du Nord	Kuzey Toprakları
Territoires du Nord-Ouest	Northwest Territories
Texas	Teksas
Thalassa	Thalassa
Thanatos	Thanatos
Thaïlande	Tayland
Thessalie	Tesalya
Thessalonique	Selanik
Thor	Thor
Thora	Tevrat
Thrace	Trakya
Thrymr	Thrymr
Thuringe	Türingiya
Thébé	Thebe
Tibet	Tibet
Tibre	Tiber
Timisoara	Temeşvar
Timor oriental	Doğu Timor
Titan	Titan
Titania	Titania
Togo	Togo
Tokelau	Tokelau
Tokyo	Tokyo
Tonga	Tonga
Toronto	Toronto
Toscane	Toskana
Toucan	Tukan
Trabzon	Trabzon
Transdanubie	Transdanubia
Transylvanie	Erdel
Triangle	Üçgen
Triangle austral	Güney Üçgeni
Trias	Trias
Trinculo	Trinculo
Trinité-et-Tobago	Trinidad ve Tobago
Triton	Triton
Troie	Troya
Tunis	Tunus
Tunisie	Tunus
Turc	Türk
Turin	Torino
Turkménistan	Türkmenistan
Turquie	Türkiye
Tuvalu	Tuvalu
Tyrannosaurus rex	tyrannosaurus
Télescope	Dürbün
Télesto	Telesto
Téthys	Tethys
URSS	SSCB
Udine	Udine
Ukraine	Ukrayna
Ulm	Ulm
Ulysse	Odisseas
Umbriel	Umbriel
Unicode	Evrensel Kod
Union des républiques socialistes soviétiques	Sovyet Sosyalist Cumhuriyetler Birliği
Union européenne	Avrupa Birliği
Union soviétique	Sovyetler Birliği
Uranus	Uranüs
Uruguay	Uruguay
Valachie	Eflak
Valles Marineris	Valles Marineris
Vancouver	Vancouver
Vanuatu	Vanuatu
Varsovie	Varşova
Vatican	Vatikan
Venezuela	Venezuela
Venise	Venedik
Versailles	Versay
Verseau	Kova
Vienne	Viyana
Viennois	Viyanalı
Vierge	Başak
Vietnam	Vietnam
Vietnamien	Vietnamlı
Vilnius	Vilnüs
Vistule	Vistül
Vladivostok	Vladivostok
Voie lactée	Samanyolu
Voiles	Yelken
Volga	Volga
