crazia	κρατία
Cina	Κίνα
Cipro	Κύπρος
Ciro	Κύρος
Città del Capo	Κέηπ Τάουν
Città del Messico	Πόλη του Μεξικό
Città del Vaticano	Βατικανό
Claudia	Κλαύδιος
Claudio	Κλαύδιος
Colombia	Κολομβία
Colorado	Κολοράντο
Columbia Britannica	Βρετανική Κολομβία
Corea	Κορέα
Corea del Sud	Νότια Κορέα
Corinzi	Κορινθίους
Cornovaglia	Κορνουάλη
Corrado	Κονράδος
Corsica	Κορσική
Costantino	Κωνσταντίνος
Cracovia	Κρακοβία
Creta	Κρήτη
Cristiano	Χριστιανός
Cristoforo	Χρήστος
Croazia	Κροατία
Crostacei	οστρακόδερμο
Dafne	Δάφνη
Dalmazia	Δαλματία
Daniele	Ντάνιελ
Danimarca	Δανία
Danubio	Δούναβης
Dario	Δαρείος
Davide	Δαβίδ
Deuteronomio	Δευτερονόμιο
Dio	Θεός
Domenica delle Palme	Κυριακή των Βαΐων
Domenico	Δομήνικος
Dublino	Δουβλίνο
Ebrei	Εβραίους
Ecclesiaste	Εκκλησιαστής
Ecuador	Ισημερινός
Edoardo	Εδουάρδος
Eduardo	Εδουάρδος
Efesini	Εφεσίους
Egitto	Αίγυπτος
Eleonora	Ελεονώρα
Elio	Ἥλιος
Ellade	Ελλάδα
Emanuele	Εμμανουήλ
Eocene	Ηώκαινος
Erasmo	Έρασμος
Ernesto	Ερνέστος
Eros	Έρως
Esdra	Έσδρας
Esodo	Έξοδος
Ester	Εσθήρ
Estonia	Εσθονία
Etiopia	Αιθιοπία
Etna	Αίτνα
Ettore	Έκτορας
Eugenia	Ευγενία
Eugenio	Ευγένιος
Europa	Ευρώπη
Eva	Εύα
Ezechiele	Ιεζεκιήλ
Federica	Φρειδερίκη
Federico	Φρήντριχ
Filemone	Φιλήμων
Filippine	Φιλιππίνες
Finlandia	Φινλανδία
Fiorenzo	Φλωρεντία
Firenze	Φλωρεντία
Florida	Φλόριντα
Foresta Nera	Μέλανας Δρυμός
Francesca	Φραγκίσκα
Francesco	Φραγκίσκος
Francia	Γαλλία
Franco	Φρανκ
Franconia	Φραγκονία
Gabriele	Γαβριήλ
Galles	Ουαλία
Gallia	Γαλατία
Gand	Γάνδη
Gazzella	γαζέλα
Gemelli	Δίδυμοι
Genesi	Γένεση
Genova	Γένοβα
Georgia	Γεωργία
Geova	Γιεχωβά
Gerardo	Γεράρδος
Geremia	Ιερεμίας
Germania	Γερμανία
Germanio	γερμάνιο
Gerusalemme	Ιερουσαλήμ
Giacobbe	Ιακώβ
Giacomo	Ιάκωβος
Giamaica	Τζαμάικα
Giano	Ιωάννης
Giappone	Ιαπωνία
Gibilterra	Γιβραλτάρ
Gibuti	Τζιμπουτί
Gioacchino	Ιωακείμ
Giobbe	Ιώβ
Gioele	Ιωήλ
Giona	Ιωνάς
Giorgio	Γεώργιος
Giosuè	Ιησούς
Giovanna	Ιωάννα
Giovanni	Γιάννης
Giove	Δίας
Giuda	Ιούδας
Giudici	Κριτές
Giulia	Ιουλία
Giura	Ιουράς
Giuseppe	Ιωσήφ
Gran Bretagna	Μεγάλη Βρετανία
Grecia	Ελλάδα
Groenlandia	Γροιλανδία
Guglielmo	Γουλιέλμος
Gujarat	Γκουτζαράτ
Gustavo	Γουσταύος
IVA	ΦΠΑ
Ignazio	Ιγνάτιος
Il Cairo	Κάιρο
Immaginifico	ευφάνταστος
Impero Romano	Αρχαία Ρώμη
India	Ινδία
Indocina	Ινδοκίνα
Indonesia	Ινδονησία
Inghilterra	Αγγλία
Iran	Ιράν
Irlanda	Ιρλανδία
Irlanda del Nord	Βόρεια Ιρλανδία
Isaia	Ησαΐας
Islanda	Ισλανδία
Isole Fær Øer	Νήσοι Φερόες
Isole Vergini	Παρθένοι Νήσοι
Isole Åland	Άαλαντ
Israele	Ισραήλ
Istanbul	Κωνσταντινούπολη
Italia	Ιταλία
Ittiosauro	ιχθυόσαυρος
Iugoslavia	Γιουγκοσλαβία
Ivan	Γιάννης
Jacopo	Ιάκωβος
Katowice	Κατοβίτσε
Kolkata	Καλκούτα
L'Aia	Χάγη
Lamentazioni	Θρήνοι
Laos	Λάος
Laura	Λαύρα
Lazio	Λάτιο
Lei	εσείς
Leonardo	Λεονάρδος
Leone	Λέων
Leopoli	Λβιφ
Lepre	Λαγωός
Lettonia	Λεττονία
Levitico	Λευϊτικό
Libano	Λίβανος
Liguria	Λιγυρία
Lituania	Λιθουανία
Livorno	Λιβόρνο
Lombardia	Λομβαρδία
Londra	Λονδίνο
Lubiana	Λιουμπλιάνα
Luca	Λουκάς
Lucio	Λούκιος
Luigi	Λουδοβίκος
Luna	σελήνη
Lusazia	Λουσατία
Macedonia del Nord	Βόρεια Μακεδονία
Madagascar	Μαδαγασκάρη
Maghreb	Μαγκρέμπ
Maiorca	Μαγιόρκα
Malachia	Μαλαχίας
Mali	Μάλι
Malta	Μάλτα
Manciuria	Μαντζουρία
Mantova	Μάντοβα
Mar Mediterraneo	Μεσόγειος Θάλασσα
Marco	Μάρκος
Margherita	Μαργαρίτα
Maria	Μαρία
Mario	Μάριος
Marocco	Μαρόκο
Marsiglia	Μασσαλία
Marte	Άρης
Martino	Μαρτίνος
Matteo	Ματθαίος
Mauritania	Μαυριτανία
Maurizio	Μαυρίκιος
Medioevo	Μεσαίωνας
Mediterraneo	Μεσόγειος Θάλασσα
Meno	Μάιν
Mercurio	Ερμής
Messico	Μεξικό
Messina	Μεσσήνη
Michea	Μιχαίας
Michele	Μιχάλης
Milano	Μιλάνο
Minerva	Μινέρβα
Miocene	Μειόκαινο
Moldavia	Μολδαβία
Monaco di Baviera	Μόναχο
Mongolia	Μογγολία
Montagne Rocciose	Βραχώδη Όρη
Montenegro	Μαυροβούνιο
Moro	Μαυριτανός
Mosca	Μόσχα
Myanmar	Βιρμανία
Napoli	Νάπολη
Natale	Χριστούγεννα
Naum	Ναούμ
Neemia	Νεεμίας
Neolitico	νεολιθική
Nettuno	Ποσειδώνας
Nicola	Νικόλαος
Niger	Νίγηρας
Nilo	Νείλος
Norimberga	Νυρεμβέργη
Normandia	Νορμανδία
Norvegia	Νορβηγία
Novokuzneck	Νοβοκουζνέτσκ
Numeri	Αριθμοί
Nuova Scozia	Νέα Σκωτία
Nuova York	Νέα Υόρκη
Nuovo Messico	Νέο Μεξικό
Nuovo Mondo	Νέος Κόσμος
OMS	ΠΟΥ
ONU	Ηνωμένα Έθνη
Occidente	Δύση
Oceania	Ωκεανία
Oceano Atlantico	Oceano Atlantico
Oceano Indiano	Ινδικός Ωκεανός
Oceano Pacifico	Ειρηνικός
Olanda	Ολλανδία
Oliviero	Όλθφες
Osea	Ωσηέ
PCUS	ΚΚΣΕ
PIL	ΑΕΠ
Padova	Πάδοβα
Paesi Bassi	Κάτω Χώρες
Pakistan	Πακιστάν
Paleolitico	Παλαιολιθική
Palermo	Παλέρμο
Paolo	Παύλος
Paraguay	Παραγουάη
Parigi	Παρίσι
Pasqua	Πάσχα
Pechino	Πεκίνο
Pentecoste	Πεντηκοστή
Perù	Περού
Pesci	Ιχθύες
Piemonte	Πεδεμόντιο
Pietro	Πέτρος
Pirenei	Πυρηναία
Pisa	Πίζα
Pleistocene	Πλειστόκαινο
Pliocene	Πλειόκαινο
Plutone	Πλούτωνας
Polonia	Πολωνία
Porto Rico	Πουέρτο Ρίκο
Portogallo	Πορτογαλία
Poznań	Πόζναν
Praga	Πράγα
Puglia	Απουλία
Raffaele	Ραφαήλ
Raimondo	Ραϋμόνδος
Ratisbona	Ρέγκενσμπουργκ
Re	Βασιλείς
Rea	Ρέα
Regno Unito	Ηνωμένο Βασίλειο
Regno Unito di Gran Bretagna e Irlanda del Nord	Ηνωμένο Βασίλειο της Μεγάλης Βρετανίας και της Βορείου Ιρλανδίας
Renania	Ρηνανία
Renania Settentrionale-Vestfalia	Βόρεια Ρηνανία-Βεστφαλία
Reno	Ρήνος
Repubblica Ceca	Δημοκρατία της Τσεχίας
Repubblica Dominicana	Δομινικανή Δημοκρατία
Rinascimento	Αναγέννηση
Roberto	Ρομπέρ
Roma	Ρώμη
Romani	προς Ρωμαίους
Romania	Ρουμανία
Rossana	Ρωξάνη
Russia	Ρωσία
Rut	Ρουθ
SNC	ΚΝΣ
Sagittario	Τοξότης
Sahara	Σαχάρα
Salmi	Ψαλμοί
Samuele	Σαμουήλ
San Marino	Άγιος Μαρίνος
Saragozza	Σαραγόσα
Sardegna	Σαρδηνία
Sassonia	Σαξονία
Sassonia-Anhalt	Σαξωνία-Άνχαλτ
Satana	σατανάς
Saturno	Κρόνος
Saverio	Ξαβέρης
Scorpione	Σκορπιός
Scozia	Σκωτία
Sebastiano	Σεβαστός
Senegal	Σενεγάλη
Serbia	Σερβία
Siberia	Σιβηρία
Sicilia	Σικελία
Signore	Κύριος
Silvestro	Συλβέστρος
Simone	Σίμωνας
Siracusa	Συρακούσες
Slesia	Σιλεσία
Slovacchia	Σλοβακία
Slovenia	Σλοβενία
Sofonia	Σοφονίας
Sole	ανατολή
Somalia	Σομαλία
Spagna	Ισπανία
Spirito Santo	Άγιο Πνεύμα
Stati Uniti d'America	Ηνωμένες Πολιτείες
Stefano	Στέφανος
Stoccolma	Στοκχόλμη
Sudafrica	Νότια Αφρική
Svevia	Σουαβία
Svezia	Σουηδία
Svizzera	Ελβετία
Taipei	Ταϊπέι
Tamigi	Τάμεσης
Tanzania	Τανζανία
Taranto	Τάραντας
Telemaco	Τηλέμαχος
Teresa	Θηρεσία
Terra	Γη
Thailandia	Ταϊλάνδη
Timoteo	Τιμόθεος
Tirana	Τίρανα
Tirolo	Τιρόλο
Tito	Τίτος
Tommaso	Θωμάς
Torino	Τορίνο
Toro	Ταύρος
Toscana	Τοσκάνη
Transilvania	Τρανσυλβανία
Treviri	Τριέρη
Tunisia	Τυνησία
Turchia	Τουρκία
Turingia	Θουριγγία
Ucraina	Ουκρανία
Udine	Ούντινε
Uganda	Ουγκάντα
Ugo	Ούγος
Ungheria	Ουγγαρία
Unione Europea	Ευρωπαϊκή Ένωση
Unione Sovietica	Σοβιετική Ένωση
Urano	Ουρανός
Uruguay	Ουρουγουάη
Varsavia	Βαρσοβία
Velletri	Ουελιτραι
Venerdì Santo	Μεγάλη Παρασκευή
Venere	Αφροδίτη
Veneto	Βένετο
Venezia	Βενετία
Venezuela	Βενεζουέλα
Vergine	Παρθένος
Verona	Βερόνα
Veronica	Βερενίκη
Vespasiano	Βεσπασιανός
Vestfalia	Βεστφαλία
Vienna	Βιέννη
Wikizionario	Βικιλεξικόν
Zaccaria	Ζαχαρίας
Zagabria	Ζάγκρεμπ
Zambia	Ζάμπια
Zenon	ξένο
Zurigo	Ζυρίχη
a caso	τυχαία
a mezz'asta	μεσίστια
a piedi	με τα πόδια
a vanvera	όπως όπως
abaca	αβάκα
abaco	άβακας
abacà	αβάκα
abasia	αβασία
abat-jour	αμπαζούρ
abate	ηγούμενος
abavo	πρόγονος
abbacchiare	κατακυρώνω
abbacchiato	κάτω σε
abbacchio	αρνάκι
abbacinare	θαμπώνω
abbacinato	αμήχανος
abbagliante	εκπληκτικός
abbagliare	θαμπώνω
abbaglio	γκάφα
abbaiare	γαβγίζω
abbandonare	εγκαταλείπω
abbandonato	εγκαταλελειμμένος
abbandono	εγκατάλειψη
abbassalingua	γλωσσοπίεστρο
abbassare	καταβιβάζω
abbassarsi	λυγίζω
abbastanza	αρκετά
abbattere	κατακυρώνω
abbattimento	υλοτομία
abbattuto	άθυμος
abbazia	αβαείο
abbellire	εξωραΐζω
abbeverare	ποτίζω
abbeveratoio	ποτίστρα
abbiente	εύπορος
abbigliamento	abbigliamento
abbigliare	ντύνομαι
abbinamento	ταιριαστός
abbinare	ζευγάρι
abbindolare	αγύρτης
abbiocco	νύστα
abbonamento	συνδρομή
abbonato	άλμα
abbondante	γεμάτος
abbondanza	αφθονία
abbordabile	προσιτός
abbottonato	ρεζερβέ
abbozzare	νούμερο
abbozzo	λήμμα προς επέκταση
abbracciare	αγκαλιάζω
abbracciata	αγκάλιασμα
abbraccio	αγκάλιασμα
abbreviare	συντομεύω
abbreviato	συντετμημένη
abbreviazione	περιληψη
abbronzatura	μαυρίζω
abbrustolire	καβουρδίζω
abbrutire	αποβλακώνω
abbuffata	γιορτή
abbuono	ανάγλυφο
abburattare	κοσκινίζω
abdicare	απαρνούμαι
abdicazione	παραίτηση
abdurre	απάγω
aberrare	παρεκκλίνω
aberrazione	εκτροπή
abete	έλατο
abietto	αχαρακτήριστος
abile	επιδέξιος
abilitato	προσοντούχος
abilità	δεξιοτεχνία
abiogenesi	αβιογένεση
abissale	αβυσσαίος
abisso	άβυσσος
abitacolo	κόκπιτ
abitante	κάτοικος
abitare	μένω
abitativo	δόμηση
abitato	κατοικούμενος
abitazione	οίκος
abito	φόρεμα
abituale	κανονική
abitualmente	συνήθως
abituare	συνηθίζω
abitudine	συνήθεια
abiurare	απαρνούμαι
ablativo	αφαιρετικός
ablativo	αφαιρετικός
abluzione	πλύσιμο
abnegazione	αυταπάρνηση
abnorme	έκτακτος
abolire	καταλύω
abolizione	κατάργηση
abominare	απεχθάνομαι
abominevole	απαίσιος
abominio	έκτρωμα
aborrire	απεχθάνομαι
abortire	αποβάλλω
aborto	έκτρωση
abradere	λειαίνω
abrasione	αποξύρηση
abside	αψίδα
abusare	κατάχρηση
abusivamente	έκνομα
abuso	κατάχρηση
acacia	ακακία
academia	ακαδημία
acalasia	αχαλασία
acaro	άκαρι
accademia	ακαδημία
accademico	ακαδημαϊκός
accademismo	ακαδημαϊσμός
accadere	γίνομαι
accaduto	επεισόδιο
accaldata	ζεστός
accampamento	κατασκήνωση
accamparsi	θηλυπρεπής
accanimento	λυσσομανώ
accanito	επιμελής
accanto	ακοστάρισμα
accantonamento	τεταρτιασμός
accantonare	σημείωμα
accantonato	ανάμεσα
accapigliarsi	λυσσομανώ
accappatoio	μπουρνούζι
accarezzare	χαϊδεύω
accasciare	λιώνω
accatastare	στοίβα
accattivante	ελκυστικός
accattone	επαίτης
accavalcare	γινόμενο
accecare	τυφλώνω
accedere	γκο
accelerare	επιταχύνω
accelerato	βαθύς
accelerazione	επιτάχυνση
accelerometro	επιταχυνσιόμετρο
accendere	ανάβω
accendino	αναπτήρας
accennare	κάνω
accenno	αναφορά
accensione	ανάφλεξη
accentare	υπογράμμιση
accento	τονισμός
accentuare	τονίζω
accerchiare	περικυκλώνω
accertamento	διακρίβωση
accertare	ανακόπτω
acceso	ανοικτό
accessibile	προσιτός
accesso	είσοδος
accessorio	βοηθητικός
accessorio	αξεσουάρ
accetta	ευπρόσδεκτος
accettabile	αποδεκτός
accettare	δέχομαι
accettazione	αποδοχή
accetto	αποδεκτός
accezione	συναισθάνομαι
acchiappare	πιάνω
acchito	βούλα
acciaccare	σπάζω
acciaiare	ατσάλι
acciaieria	χαλυβουργείο
acciaio	ατσάλι
acciaio inossidabile	ανοξείδωτος χάλυβας
acciambellare	θόρυβος
accidentale	τυχαίος
accidentalmente	τυχαία
accidente	ατύχημα
accidenti	αναθεματίζω
accidia	νωθρότητα
accidioso	όξινος
accigliato	σαστισμένος
accingere	περικλείω
acciuga	γαύρος
accivettare	καλοπιάνω
acclamato	γιορτασμένος
acclamazione	επευφημώ
acclimatazione	εγκλιματισμός
acclive	ανοδοδικός
accogliente	άνετος
accoglienza	καλωσόρισμα
accogliere	καλωσορίζω
accolito	ακόλουθος
accoltellare	μαχαιρώνω
accomiatarsi	αποχαιρετώ
accomodamento	συμφωνία
accomodare	επιδιόρθωση
accomodarsi	νοικοκυρεύομαι
accomodevole	διαλλακτικός
accompagnamento	μπαράζ
accompagnare	συνοδεύω
accompagnarsi	σύζυγος μονάρχη
accompagnato	ανάμεσα
accomunare	κοινοποιώ
acconciatura	κούρεμα
accondiscendente	πρόθυμος
accondiscendere	δέχομαι
acconsentire	υποχωρώ
accontentare	ικανοποιώ
acconto	κατάθεση
accoppare	κατακρεουργώ
accoppiamento	ένωση
accoppiare	ζευγαρώνω
accorato	ειλικρινής
accorciamento	αναγωγή
accorciare	συμπτύσσω
accordare	επιδότηση
accordo	συμφωνία
accorgersi	αντιλαμβάνομαι
accorpamento	ένωση
accorto	επιφυλακτικός
accostamento	ταιριαστός
accostare	προσέγγιση
accostarsi	προσέγγιση
accostato	ανάμεσα
accotonare	ξεμπλέκω
account	αναφορά
accovacciarsi	κάθομαι οκλαδόν
accovonare	δέσμη
accozzaglia	στριμώχνω
accreditamento	επιβεβαίωση
accreditare	τεκμηριώνω
accredito	δίνω εγγύηση
accrescere	μεγαλώνω
accrescersi	μεγαλώνω
accrescimento	επαύξηση
accrescitivo	αυξητικός
accucciarsi	κουλουριάζω
accudire	μεριμνώ
accumulare	αποθησαυρίζω
accumulatore	αποθησαυριστής
accumulazione	συσσώρευση
accumulo	συσσώρευση
accuratamente	επιμελώς
accurato	ακριβής
accusa	κατηγορία
accusare	κατηγορώ
accusarsi	accusarsi
accusativo	αιτιατική
accusato	κατηγορούμενος
accusatore	κατήγορος
acefalo	ακέφαλος
acerbo	ξινισμένος
acerina	περκάκι
acero	σφενδάμι
acetammide	αιθαναμίδιο
acetilcolina	ακετυλοχολίνη
acetilene	ακετυλένιο
aceto	ξίδι
acetofenone	ακετοφαινόνη
acetone	προπανόνη
acidificazione	οξίνιση
acido	οξύ
acido acetico	οξικό οξύ
acido acetilsalicilico	ακετυλοσαλικυλικό οξύ
acido aspartico	ασπαραγινικό οξύ
acido carbonico	ανθρακικό οξύ
acido carbossilico	καρβονικό οξύ
acido citrico	κιτρικό οξύ
acido cloridrico	υδροχλωρικό οξύ
acido folico	φυλλικό οξύ
acido glutammico	γλουταμινικό οξύ
acido grasso	λιπαρό οξύ
acido lattico	2-υδροξυπροπανικό οξύ
acido malico	μηλικό οξύ
acido nitrico	νιτρικό οξύ
acido nucleico	νουκλεϊκά οξέα
acido piruvico	πυροσταφυλικό οξύ
acido solforico	θεϊκό οξύ
acidosi	οξέωση
acino	μούρο
acme	απόγειο
acne	ακμή
acqua	νερό
acquaio	ψύκτρα
acquaplano	υδρολίσθηση
acquaporina	υδατοπορίνες
acquarello	υδατογραφία
acquasanta	αγίασμα
acquasantiera	κολυμβήθρα
acquatico	υδρόβιος
acquavite	ρακί
acquedotto	υδραγωγείο
acquirente	αγοραστής
acquisire	αποκτώ
acquisito	γνωστός
acquistare	αγοράζω
acquisto	αγορά
acquitrino	πλημμυρίζω
acquolina	σαλιάζω
acquoso	βροχερός
acre	αψύς
acredine	αγουράδα
acrimonioso	οξύς
acrobata	ακροβάτης
acrobatismo	ακροβασία
acronimo	ακρωνύμιο
acropoli	Ακρόπολη
acrostico	ακροστιχίδα
actina	ακτίνη
acufene	εμβοές
acuire	ακονίζω
acume	οξυδέρκεια
acuminare	ακονίζω
acustica	ακουστική
acustico	ακουστικός
acutezza	οξυδέρκεια
acutizzare	εντατικοποιώ
acuto	έξυπνος
adacquare	κόβω
adagio	αργά
adagio	απόφθεγμα
adattabile	ευπροσάρμοστος
adattamento	προσαρμογή
adattare	ρυθμίζω
adattatore	προσαρμογέας
adatto	κατάλληλος
addebitamento	χρέος
addebitare	ανάληψη
addebito	ανάληψη
addenda	προσάρτημα
addestramento	εκπαίδευση
addestrare	στρέφω
addestratore	εκπαιδευτής
addetto	επιδιωκόμενος
addetto	υπάλληλος
addiaccio	μαντρί
addio	αντίο
addirittura	επίσημος
additare	δείχνω
additivo	επιπλέον
addivenire	γίνομαι
addizionare	αθροίζω
addizione	πρόσθεση
addobbare	διακοσμώ
addobbo	διακόσμηση
addolciare	ενθαρύνω
addolcire	γλυκαίνω
addolorato	άθλιος
addome	κοιλιά
addomesticare	εξημερώνω
addomesticato	ήμερος
addoppiare	διπλάσιος
addormentare	στέλνω
addormentarsi	αποκοιμιέμαι
addormentato	ναρκωμένος
addosso	ανοικτό
addugliare	θόρυβος
adeguamento	διαβάθμηση
adeguarsi	ίσος
adeguato	αρκετός
adempiere	επιτυγχάνω
adempimento	βελτιστοποίηση
adenina	αδενίνη
adenite	αδενίτιδα
adenosina	αδενοσίνη
adenosintrifosfato	τριφωσφορική αδενοσίνη
adepto	ρυμούλκα
aderente	οπαδός
aderire	συνένωση
adescare	δόλωμα
adesione	συνοχή
adesivo	κόλλα
adesso	τώρα
adipe	λιπώδης ιστός
adiposità	παχυσαρκία
adiposo	λιπώδης
adirato	γινόμενο
adolescente	έφηβος
adolescente	έφηβη
adolescenza	εφηβεία
adombrare	αποκρύπτω
adoperare	καταναλώνω
adorabile	αξιέραστος
adorare	λατρεύω
adoratore	λάτρης
adorazione	ευλάβεια
adornare	διακοσμώ
adottare	υιοθετώ
adozione	υιοθεσία
adrenalina	αδρεναλίνη
adsorbimento	προσρόφηση
adsorbire	προσροφώ
adulare	κολακεύω
adulatore	γαλίφης
adulazione	κολακεία
adultera	μοιχαλίδα
adulterare	νοθεύω
adulterio	μοιχεία
adultero	μοιχός
adulto	ενήλικος
adunanza	συνάθροιση
adunare	μαζεύω
adunco	αγκιστροειδής
adunghiare	νυχιάζω
adunque	δηλαδή
adusare	συνηθίζω
aerare	αέρας
aereo	αεροπλάνο
aerobica	αεροβικός
aerobico	αερόβιος
aerobio	αεροβικός
aerobiologia	αεροβιολογία
aerobiosi	αεροβίωση
aerodinamica	αεροδυναμική
aerodinamico	αεροδυναμικός
aerodromo	αεροδρόμιο
aerofagia	αεροφαγία
aeromezzo	αεροσκάφος
aeromobile	αεροσκάφος
aeronautica	αεροναυτική
aeronautico	αεροναυτική
aeroplano	αεροπλάνο
aeroporto	αεροδρόμιο
aeroportuale	αεροδρόμιο
aerotrainare	ρυμουλκό
afasia	αφασία
afelio	αφήλιο
affabile	αγαθός
affaccendato	πολυάσχολος
affacciare	αβάντζο
affamare	πεθαίνω της πείνας
affamato	νηστικός
affannare	έγνοια
affannato	άπνους
affanno	άγχος
affardellare	αμπαλάρω
affare	μοιράζω
affaristico	επιχείρηση
affascinante	συναρπαστικός
affascinato	μαγεμένος
affastellare	στοίβα
affaticare	κουράζω
affaticarsi	κουράζομαι
affaticato	κουρασμένος
affatto	καθόλου
affatturare	νοθεύω
affermare	βεβαιώ
affermarsi	αθωώνω
affermazione	εντολή
afferrare	αιχμαλωτίζω
affettare	φέτα
affettazione	νάζι
affettivo	συναισθηματικός
affetto	ασθένεια
affettuoso	ανιδιοτελής
affezione	ασθένεια
affiancare	αναθέτω
affiancarsi	συνένωση
affiatamento	νοημοσύνη
affiatare	ακούω
affibbiato	σγουρός
affibbiatura	βλέμμα
affidabile	αξιόπιστος
affidabilità	αξιοπιστία
affidamento	βεβαιότητα
affidare	υποχωρώ
affidarsi	καταπίστευμα
affievolire	αμβλύνω
affilare	ακονίζω
affilato	κοφτερός
affine	παρόμοιος
affinità	συγγένεια
affiochire	αμυδρός
affiorare	αναδύομαι
affittacamere	σπιτονοικοκυρά
affittare	αγκαζάρω
affitto	νοίκιασμα
affittuario	ένοικος
afflato	αέρας
affliggere	ενοχλώ
affliggersi	έγνοια
afflizione	θλίψη
affluenza	είμαι ένα με
affluire	είμαι ένα με
afflusso	είμαι ένα με
affogare	πνίγομαι
affollare	πλήθος
affollarsi	κοπάδι
affossare	αυλάκι
affrancare	απελευθέρωση
affranto	εξαντλημένος
affratellare	ενώνω
affrescare	νωπογραφία
affresco	νωπογραφία
affricato	προστριβόμενο
affrontare	διατρέχω τον κίνδυνο
affrontato	μαχητής
affronto	ύβρις
affumicare	καπνίζω
affusolare	λεπτύνω
afgano	Αφγανή
afnio	άφνιο
aforisma	αφορισμός
aforismo	απόφθεγμα
afoso	αποπνικτικός
africano	Αφρικανός
afrikaans	Αφρικάνικα
afrodisiaco	αφροδισιακό
afrore	μπόχα
agenda	διάταξη
agente	πράκτορας
agente di borsa	χρηματιστής
agente di polizia	αστυνομικός
agenzia	οίκος
agevolare	βοηθός
agevolato	απλοποιημένος
agevolazione	εκχώρηση
agevolmente	εύκολα
agganciare	άγκιστρο
aggelare	παγώνω
aggettivare	επιθετοποιώ
aggettivo	επίθετο
aggetto	διάκριση
